horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
13:08:17.229434224,1857937,53268862,1019684,500725,35852400,7991810,115769,3.374,3431106,1753600,38.69,3.62,0,13.45,39.03
13:08:19.565065117,94866,2094780,1137005,553147,32495043,7471522,115336,3.605,3199718,1665561,29.96,12.57,0.17,10.87,39.24
13:08:21.869986801,85868,1947659,8086345,3745060,1353869443,313103369,4738693,3.391,139756903,63435893,47.24,5.01,0.15,3.08,33.18
13:08:24.298775422,206072,3810408,3668842,1624312,43494317,9676318,189646,4.399,4311282,1983011,51.49,6.18,0.25,5.31,30.45
13:08:26.649234156,740800,25289822,1394061,729760,87658921,17308974,338636,3.985,8497196,3626432,30.14,12.10,0.27,13.66,35.07
13:08:28.960295317,110622,2297710,2774251,1355773,38101733,8497239,137487,3.831,3588347,1841114,36.26,9.85,0.28,10.98,31.88
13:08:31.301541186,279541,5273096,1499354,771115,39452796,8766283,143093,3.851,3715292,1895157,45.96,4.38,0,9.08,32.11
13:08:33.643411452,131866,3205922,1779478,893706,42375588,8824649,158306,4.070,3889336,1888525,32.82,13.20,0.92,12.88,34.06
13:08:36.001540961,121655,2512185,1448440,756939,39013922,8652471,141174,3.852,3664751,1871825,53.54,5.98,0.10,4.90,28.85
13:08:38.449401266,140952,2833593,1205169,626501,42643841,9253061,156127,3.941,3962086,1990132,34.48,10.09,0.32,8.12,43.05
13:08:40.792628753,121202,2488849,2337312,927215,84228245,17535764,342954,4.010,8551592,3659811,22.21,0.47,9.45,0.45,21.25
13:08:43.385971138,112847,2392763,1391633,701294,35323933,7828703,122908,3.727,3297422,1731471,31.06,13.31,0.29,9.49,38.53
13:08:45.720319811,118899,2561678,1228551,618444,38519180,8562857,135401,3.776,3585420,1873638,9.73,3.50,0.26,4.70,58.64
13:08:48.074573452,101492,2218070,1507108,781391,36000521,7801154,117631,3.596,3271415,1737560,26.19,15.79,0.20,13.00,36.95
13:08:50.386896367,101894,2375984,1282808,620123,33657963,7580597,112828,3.611,3124650,1678414,53.02,7.28,0.11,7.67,26.99
13:08:52.719159459,101188,2261191,1300605,637212,36468895,8008579,121479,3.648,3329708,1780347,24.00,14.50,0,12.94,44.16
13:08:55.051929527,89119,2056502,6918082,2296501,97930989,19351873,357476,3.824,9348117,4061990,31.65,10.04,1.03,17.41,37.06
13:08:57.373169203,377064,14738126,2930024,1264368,40531938,9038594,141454,3.740,3782467,1972955,36.12,10.32,0.20,10.77,36.15
13:08:59.672575620,269611,4895074,1258305,590667,35491658,8147558,120107,3.574,3360500,1781153,34.31,10.57,0.28,9.47,40.90
13:09:02.111308984,222061,4779689,19912329,7187069,398835581,81539359,1222704,3.331,36706378,16101274,31.43,9.66,0.46,11.49,40.63
13:09:04.436367697,193905,4225455,1706909,781961,36830680,8866160,123456,3.279,3764857,1964316,55.67,6.68,0.07,5.15,29.04
13:09:06.775652473,119674,2567462,1298436,632582,38739194,7944224,121079,3.661,3307342,1756761,32.13,3.63,0.27,11.48,44.12
