horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
02:15:08.148326325,1642571,50212663,3553287,1430658,211716623,62146465,786983,2.805,28053759,12520673,29.52,13.10,0.21,14.23,34.08
02:15:10.499196590,306687,6896636,1276554,558679,32481843,7409476,106525,3.426,3109068,1638349,27.15,11.16,0.37,10.87,43.85
02:15:12.812810044,87787,2136229,16372182,7128867,1474832771,328571397,5816077,4.006,145170866,61186739,13.71,4.24,0.29,2.55,39.79
02:15:15.315984027,208388,4295926,2220545,1049461,43433039,9746312,193291,4.421,4372078,1971611,63.19,4.64,,3.90,22.58
02:15:17.614177100,252669,5402603,1461448,715677,42553522,9371221,151748,3.803,3989846,2031239,39.66,10.05,0.22,7.27,37.36
02:15:19.933318080,140102,3194236,1466227,713268,80940601,17179085,345415,4.160,8302274,3507186,33.50,10.11,0.11,12.57,39.03
02:15:22.266901719,149347,3536307,2774706,1365248,40230983,9331246,139661,3.492,3999634,1996679,32.02,13.53,0.14,8.94,38.21
02:15:24.576833977,295558,5962815,1526568,772099,46126243,10162892,164106,3.839,4275061,1999721,36.05,6.98,0.63,11.92,39.83
02:15:26.906648074,124986,2961634,1416710,693258,173260735,34301763,437535,3.079,14208414,6668213,29.64,10.68,0.77,14.31,35.77
02:15:29.245105892,106458,2320881,1436997,732642,41365913,9156193,151977,3.921,3876123,1977803,35.20,10.50,0.11,8.29,40.90
02:15:31.591923800,123724,2629948,1240526,635826,41368593,9196300,153063,3.880,3945061,1983185,37.29,8.07,0.11,8.37,39.15
02:15:34.100565810,3851605,65935470,3419563,1456315,89385416,19308087,370182,4.030,9185820,3965500,39.02,9.86,0.14,6.50,34.45
02:15:36.436358157,110673,2492120,2828612,1296834,42265063,9591215,148817,3.674,4050122,2101749,46.77,9.42,0.31,9.60,27.10
02:15:38.787823028,634071,15639670,1262204,635460,38685340,9204194,143767,3.751,3832848,2021597,32.10,8.21,0.37,6.35,44.37
02:15:41.101444040,94612,2155522,1355570,672388,43447500,9159760,145037,3.767,3849790,1993005,31.38,15.42,0.43,14.01,32.23
02:15:43.429338874,100612,2347714,1383975,700211,37930365,8258063,118818,3.471,3423089,1859041,53.45,6.33,0.14,7.59,26.89
02:15:45.777238465,104924,2398051,1319394,654248,36105932,8007869,116660,3.516,3318135,1736166,31.79,5.90,0.47,10.85,42.87
02:15:48.358980899,246043,8246089,8171444,2629582,87496952,15064589,291523,3.982,7321537,3171790,31.89,11.95,0.12,10.09,36.41
02:15:50.674388853,102054,2294309,2888940,1365919,39309530,8594062,134032,3.705,3617712,1834525,35.47,9.41,0.31,11.54,34.52
02:15:53.017213124,279762,5701246,4049807,1911957,2184353891,287780082,6558155,5.132,127800758,52858099,35.23,0.84,1.21,0.79,33.13
02:15:55.648936434,159702,4054969,1436099,725416,35799054,8708297,126041,3.490,3611427,1915782,59.95,5.45,0.25,6.52,22.04
