horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
22:51:43.257241718,1573656,49989241,1004234,512200,31104003,6772537,96475,3.393,2843502,1487319,35.70,4.02,0.04,4.27,35.54
22:51:45.596922023,109600,2572155,1065015,525438,33995185,7451552,111844,3.555,3146003,1646624,27.85,17.06,0.19,16.03,32.53
22:51:47.944532591,87421,2026101,18816001,8303738,1588189594,345654509,5758830,3.734,154215400,65335470,25.81,4.28,0.13,2.89,39.77
22:51:50.380750486,176539,3219217,2442457,1093206,43723017,9890744,188425,4.288,4394549,2010329,36.30,11.19,0.17,10.13,39.02
22:51:52.669751114,295371,5610803,1413769,700810,49217710,10561183,175751,3.841,4575274,2273271,36.75,10.60,0.11,11.26,36.07
22:51:55.008405827,141696,3052203,2171390,957883,44567852,9357872,163072,4.072,4004325,1982545,36.15,14.92,0.17,13.39,31.20
22:51:57.330649342,235837,4895205,1437613,711164,41100265,8952215,152157,3.986,3817095,1900838,65.43,4.62,,4.21,22.59
22:51:59.699286541,128467,2617645,1424682,707393,58147692,12276444,194731,3.785,5144180,2528063,33.31,9.93,0.19,9.53,36.94
22:52:02.025126843,129126,2678273,4149143,1355609,78843275,15549410,328563,4.323,7600498,3175361,40.62,4.29,0.28,11.29,35.94
22:52:04.339397205,130761,2719408,3429971,1450858,45241350,10243810,157193,3.534,4448227,2228671,38.21,8.79,0.13,9.08,36.81
22:52:06.694349911,286111,5116921,1256315,627277,70984369,16226340,278022,3.903,7122585,3299854,32.75,12.62,0.13,13.77,35.22
22:52:09.208131501,232309,5131302,2097260,1036904,39778141,8899079,137803,3.675,3750131,1956480,31.70,5.60,,10.52,46.52
22:52:11.514547145,109675,2428041,9451075,2583820,44965305,9013462,139854,3.693,3787309,1945879,35.70,8.79,0.16,5.72,40.52
22:52:14.023487851,112425,2506672,1259833,564544,82695705,15275891,311408,4.257,7314719,3156721,30.80,5.84,0.86,15.48,42.38
22:52:16.367121877,133182,3187141,1314710,648939,40931579,8661316,131540,3.637,3617173,1902706,36.43,11.45,,11.92,32.80
22:52:18.694033978,120030,2638406,1299711,619491,43107302,9724120,150184,3.712,4045499,2116676,33.84,12.60,0.11,9.68,36.40
22:52:21.031373114,123081,2611903,1431437,648347,38091575,8500263,127966,3.619,3536251,1854140,30.14,13.93,0.36,13.91,35.50
22:52:23.503308477,127687,3058250,1272807,629227,43765098,9898459,143966,3.503,4109808,2132285,55.74,7.54,0.63,7.16,24.98
22:52:25.826391142,113346,2471292,1152472,554802,41669460,8791993,135146,3.690,3662041,1877511,30.83,15.57,0.14,15.49,33.45
22:52:28.151360853,105715,2400761,34524352,13938968,2141466847,288771627,6540493,4.872,134259923,51290169,44.00,1.02,1.32,0.86,36.06
22:52:30.553402589,111759,2694226,2744124,1200062,37012660,8047383,104679,3.169,3303193,1759121,46.33,2.52,0.51,8.05,33.29
22:52:33.621176865,119593,2667352,1462864,667118,38980116,8750341,133349,3.647,3656560,1916076,51.97,7.24,0.24,6.80,27.69
22:52:35.945254382,124458,2671848,1339818,638590,35571922,8204445,117486,3.500,3356868,1844890,55.26,8.31,,6.07,25.42
22:52:38.529092611,452919,12800298,1256922,626406,37902290,8650021,124607,3.483,3577412,1884420,25.60,13.08,0.21,16.18,38.00
22:52:40.852246863,110874,2440197,2044579,1008575,38337768,8785586,129296,3.568,3623641,1950378,38.17,11.01,0.12,10.31,33.15
22:52:43.154406561,438229,13403491,1445780,668411,49724700,11165312,147667,3.267,4519977,2331919,37.00,2.18,0.40,15.49,35.24
22:52:45.468003195,102730,2430743,1439002,689074,45263218,9088534,137999,3.644,3786574,1982813,28.30,11.84,0.35,9.89,37.86
22:52:47.782330682,112878,2520231,1178056,558327,170875202,45869477,564346,2.959,19069716,9156356,26.04,1.63,0.08,1.41,37.72
22:52:50.265380362,135950,3062983,1377911,656141,33334662,8282370,119370,3.551,3361875,1704401,37.15,5.94,0.15,16.56,35.34
22:52:52.616777245,96209,2250726,1347536,657981,330439689,53557618,632371,2.953,21413436,9832484,31.41,11.45,0.28,17.14,34.54
22:52:54.955782911,106868,2495539,2363477,1157168,34341264,7702211,111005,3.494,3177143,1718416,45.31,6.14,0.19,9.94,31.04
22:52:57.258821663,358805,7731794,1277003,600914,39899331,8436118,137146,3.902,3514904,1796565,72.33,0.77,0.12,3.41,19.00
22:52:59.570010533,124445,3232452,1280776,634882,46240660,9342913,132017,3.342,3950587,2046541,30.37,4.31,0.38,13.38,45.10
22:53:02.029943039,184997,4835432,1205445,588870,38645430,8773782,128069,3.557,3600971,1936870,57.70,1.25,0.42,6.99,27.80
22:53:04.355415473,107643,2414357,1230322,604427,36280427,8006128,118247,3.564,3318161,1734113,29.23,13.19,0.30,11.11,38.63
22:53:06.670086357,92143,2178351,1610382,722222,131273082,26068600,463151,3.727,12427882,5332392,37.26,11.99,0.29,11.84,32.23
22:53:09.018338980,4936898,84219825,6520689,2950966,102088687,19866870,341218,4.002,8525737,4214174,23.70,6.62,0.20,7.04,46.05
22:53:11.389394114,257433,4769023,1212276,565801,39387347,8818235,132435,3.626,3652332,1950022,38.56,9.90,0.27,12.11,32.98
22:53:13.739510384,124450,3240100,1333015,574404,43934895,9580926,145980,3.698,3947556,2090548,33.39,6.87,0.53,14.62,38.24
22:53:16.070376229,102703,2287721,1265571,614690,39520497,8617946,127315,3.566,3570142,1895202,56.82,5.78,0.45,4.18,26.06
22:53:18.400066049,370913,10279683,1220270,586130,36073004,8319772,113216,3.312,3417981,1848818,34.84,11.68,1.58,9.86,34.22
22:53:20.711831182,84701,2044753,1722193,790994,71202139,14039087,286213,4.264,6712193,2967154,33.79,1.06,0.20,15.70,40.22
22:53:23.021240130,106216,2380643,1171189,577350,41854519,10089936,139029,3.279,4239880,2198196,43.81,6.57,0.31,8.32,35.43
22:53:25.342571781,109880,2362108,1143163,524946,40926726,8999529,135289,3.620,3737089,1939691,43.68,2.55,,15.49,33.63
22:53:27.642819644,252842,5156461,1315215,615903,48188385,11576608,166992,3.360,4969996,2502008,2.89,0.10,2.45,0.36,35.89
