horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
13:10:28.813556028,1614967,49847771,9694409,3327962,29614021,6862936,97808,3.408,2869827,1533185,32.49,6.62,0.16,13.91
13:10:31.160998237,92429,2203212,936865,461649,33215182,7632923,115220,3.532,3261851,1680646,27.96,17.20,0.16,17.54
13:10:33.492199204,99177,2627777,16312923,7180803,1455406274,333582930,5050371,3.383,149283001,67295196,51.10,6.48,0,7.10
13:10:35.903905467,206883,3746038,2951505,1168029,41623880,9664339,185779,4.340,4280479,1975534,41.00,8.96,0,7.68
13:10:38.212762889,405643,10761168,2180593,873567,36278303,8140864,136401,3.891,3505693,1765274,34.04,9.21,0.21,14.31
13:10:40.569694740,224711,5022370,1410599,716666,47181233,10813329,183547,3.863,4751661,2066319,31.56,9.37,0.18,13.29
13:10:42.877876070,350533,12331447,3535991,1466319,41310940,9606914,143549,3.527,4070343,2111294,32.91,13.64,0.74,15.23
13:10:45.258714328,297790,5953669,1417355,725928,34814533,8035574,127182,3.750,3391722,1779081,36.39,12.66,0.14,12.31
13:10:47.578730864,110710,2363625,1945740,854342,46611032,11946660,190346,3.585,5308872,2564185,32.72,11.34,0.17,9.20
13:10:49.918606554,109618,2319228,1490958,757533,64348771,14504902,238806,3.737,6389660,2958773,55.94,3.59,0,7.89
13:10:52.244340027,110928,2317953,2678427,1016699,118122150,22893620,261496,2.856,9157516,4484044,36.07,11.74,0.13,10.19
13:10:54.716896095,138045,2869037,2036961,1002663,92445792,15344629,305505,4.043,7556750,3198911,29.41,10.64,0.29,13.47
13:10:57.012543543,105235,2318237,2772944,1293273,47549786,9307568,153751,3.909,3933051,2002634,29.88,12.95,0.34,9.93
13:10:59.370510723,279191,5271429,1312906,678450,37590724,8293602,130923,3.758,3483678,1811395,47.03,5.56,0.23,6.55
13:11:01.718133055,107905,2409773,1289196,665496,34089537,7635765,118801,3.698,3212575,1707344,14.33,8.28,0.09,6.88
13:11:04.057899281,98167,2250778,1277851,638895,35749458,8064899,122829,3.694,3325009,1767713,58.61,2.82,0,6.77
13:11:06.401792888,108862,2287043,1286577,637829,35227169,7739662,117961,3.667,3216870,1713666,31.43,10.03,1.02,13.45
13:11:08.745192864,115507,2655485,7089345,2360645,74983293,14262521,290269,4.206,6900883,2998645,28.43,12.67,0.23,10.23
13:11:11.051015085,104808,2525298,3081943,1337063,35593941,8179140,129905,3.778,3438042,1795744,33.04,8.95,0.41,8.12
13:11:13.373798827,504017,15350590,1241944,600661,1196757490,203885844,4520520,4.908,92110503,41041059,43.96,0.85,0.51,0.60
13:11:16.261620297,105147,2243931,1319020,647664,34545238,7517860,112363,3.600,3120840,1675561,54.75,5.92,0.39,5.12
13:11:18.632591673,145120,3293682,1060550,514242,44723137,8761963,138546,3.806,3640224,1908236,38.45,12.40,0.48,11.19
13:11:20.972610579,122764,2957401,1252257,581153,76554585,14493311,301109,4.335,6945387,3000547,37.41,8.19,0.11,11.89
13:11:23.298702072,107002,2399387,2847789,1274388,35282360,7959910,122640,3.715,3300905,1748769,37.48,10.46,0.45,8.38
13:11:25.634353947,261118,4873615,1093286,526184,40469356,8814004,136849,3.757,3642365,1969517,26.96,9.47,0.49,11.67
13:11:27.970774813,107613,2358311,1125248,555050,153678911,30872495,350416,2.869,12212830,6066920,30.42,10.84,0.36,11.99
13:11:30.473949800,188539,4148035,1387611,648440,34869639,7805746,114791,3.556,3228379,1726332,27.35,11.22,0.23,8.93
13:11:32.823625623,96217,2163012,1289843,617689,37190365,8211818,122868,3.622,3392335,1813733,6.26,0.52,5.23,0.42
13:11:35.298864072,153371,3275490,2406662,1156635,37579078,8643912,129905,3.652,3556660,1912545,34.89,10.18,0.29,9.05
13:11:37.638003302,284886,5726886,1172710,558909,36383516,8369933,131927,3.802,3470366,1810982,29.53,9.70,0.30,12.88
13:11:39.974154952,103164,2292588,1139210,551351,78314737,16051471,258681,3.724,6946749,3316649,32.27,14.71,0,11.68
13:11:42.342076567,105899,2623293,1564929,709332,34589313,8423175,128160,3.746,3421560,1687729,50.11,6.75,0,8.81
13:11:44.684449007,138352,3275985,1232923,592429,32721637,7291790,109012,3.609,3020452,1577287,30.23,11.33,0.18,13.56
13:11:47.062717786,102449,2449261,1183184,585486,67182866,13529364,281929,4.310,6540905,2819349,34.59,3.72,1.16,10.56
13:11:49.411069924,101160,2254851,2485385,1227712,44237113,10766929,145387,3.139,4631211,2350177,28.57,10.39,0.19,8.42
13:11:51.731954457,100366,2299002,1641977,681304,39791197,9873607,133552,3.194,4181887,2224584,27.28,11.01,0.23,11.03
13:11:54.091420284,1216813,21167646,50560947,20582393,68580583,14714323,229703,3.700,6208985,3119963,29.44,7.34,0.10,6.12
13:11:56.461934243,103623,2233040,1968831,708530,40143331,8236436,126838,3.721,3408934,1815303,39.75,12.85,0.23,12.41
13:11:58.829948805,104113,2346023,6778667,2137879,273736571,48071939,485546,2.614,18578277,8930991,57.09,6.06,0.35,6.81
13:12:01.160623049,105485,2646942,1254509,615497,34303104,7418363,117453,3.796,3093763,1586283,32.70,11.58,1.08,9.62
13:12:03.506128415,92882,2132253,1252657,630365,33560352,7597038,108443,3.477,3119229,1681398,26.94,8.53,0.53,10.66
13:12:05.853647436,99389,2263598,1504510,687075,36660757,8544797,124721,3.568,3495154,1932234,37.19,13.82,1.18,12.46
13:12:08.189515911,97472,2276368,1722076,662009,33741678,7724768,114124,3.589,3179870,1734076,24.31,13.01,0.20,12.59
13:12:10.640314504,196271,4634942,1295944,646052,33936975,7689274,109897,3.479,3158822,1733798,57.62,6.02,0.26,7.34
