horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
16:19:40.683324167,0.25,2234302,62909068,1093272,538477,34260348,7032611,110670,3.721,2973930,1519945,2.07
16:19:42.995314225,0.25,88863,1890072,1086262,538355,62114634,14457786,235067,3.661,6420519,2961751,7.06
16:19:45.270867160,0.25,87065,1912797,1205932,531907,32864090,7013969,111876,3.751,2982258,1540641,13.91
16:19:47.563071902,0.25,99795,2681413,1551000,591466,44309368,9310591,151672,3.674,4127755,1901041,14.06
16:19:49.882950019,0.25,109010,2501602,2401689,1144335,26808873,5998574,85769,3.411,2514701,1333482,12.42
16:19:52.175045738,0.25,311110,6964795,1055219,485323,29943933,7758636,117860,3.662,3218148,1618163,15.44
16:19:54.476990556,0.25,75551,1770636,1080012,539728,30496286,6641251,102536,3.633,2822560,1457470,10.52
16:19:56.760164263,0.25,91851,2037348,964215,490514,29561083,6350195,96695,3.578,2702740,1389722,15.23
16:19:59.057136161,0.25,86870,1906483,942321,465470,31541418,7284440,109787,3.612,3039898,1631234,9.34
16:20:01.373137252,0.25,107607,2635145,11597687,3030814,156982466,43472009,505605,2.764,18294111,8568881,13.25
16:20:03.681552350,0.25,195071,4503338,1314703,573180,76886051,14697014,280822,3.871,7253634,3086673,8.92
16:20:05.988536337,0.25,86728,1975685,2816945,1238114,31301021,7812928,107435,3.175,3383319,1744635,6.05
16:20:08.275217669,0.25,235753,4433319,943530,439039,29183506,6583949,91647,3.393,2701222,1475288,8.07
16:20:10.579312019,0.25,85874,2295270,1225566,507724,31202753,6951283,101189,3.500,2890753,1548120,0.29
16:20:12.869128044,0.25,103631,2747988,999992,469732,26007423,6070175,82048,3.282,2499893,1347628,10.89
16:20:15.174451190,0.25,97381,2578165,887422,414591,30170028,6776053,94065,3.378,2784257,1534833,1.73
16:20:17.496108629,0.25,72884,1744290,1045025,519780,27926802,6454975,88967,3.335,2667641,1444397,6.72
16:20:19.797076720,0.25,92547,2352285,1153320,524756,67676621,13063316,256749,3.989,6437038,2761399,13.40
16:20:22.100306821,0.25,434759,14387949,3133427,1238382,31299533,7035085,99854,3.455,2889990,1570460,9.05
16:20:24.374594280,0.25,79842,1778537,950378,458523,28755614,7108715,83229,2.992,2782071,1491268,11.06
16:20:26.712691131,0.25,116769,3211135,884580,394250,28548513,6219081,88242,3.403,2593086,1378689,14.98
16:20:29.029660774,0.25,72554,1821165,1009595,465929,29073625,6801781,93206,3.368,2767200,1532481,13.54
16:20:31.507720609,0.25,3035277,47998087,31962985,15677252,55358988,12358482,269114,4.764,5648424,2433508,7.71
16:20:33.793449242,0.25,303209,6488171,6024491,2131223,44588178,8661015,148962,4.067,3662533,1859467,10.83
16:20:36.109809589,0.25,117624,2475198,1226139,622659,44022612,9371081,152268,3.881,3923393,2045937,10.28
16:20:38.415364052,0.25,113802,2372540,2987458,1315743,35251447,8145506,124287,3.655,3400757,1780234,9.87
16:20:40.691440585,0.25,302102,5791910,1238790,598857,40379356,9102881,147703,3.877,3809251,1965308,2.88
16:20:43.009151365,0.25,288294,10492331,1379900,694035,76571209,16054761,253796,3.596,7058537,3300387,9.77
16:20:45.289166674,0.25,131564,2944940,1385304,657757,43912319,9157136,149136,3.881,3842698,1961717,5.28
16:20:47.607903652,0.25,124731,2582226,1209126,603964,42059069,9065060,150922,3.958,3812840,1938743,5.16
16:20:49.934414945,0.25,111379,2409453,1404011,691978,36396582,8169537,132297,3.859,3428281,1802945,0.41
16:20:52.459223206,0.25,100933,2193105,8022798,2462003,66534475,12580844,165535,3.199,5174023,2510168,6.56
16:20:54.750147487,0.25,269228,4907176,1150715,552585,36450499,8194776,133577,3.867,3454675,1797197,10.63
16:20:57.060170133,0.25,94719,2213776,1386263,671910,41263700,8986888,142484,3.833,3717427,1977923,11.69
16:20:59.368114213,0.25,100928,2222156,1252813,616809,41996368,8747534,138818,3.794,3658776,1908596,10.15
16:21:01.668474748,0.25,133213,3121839,7030846,2168074,46685355,12058937,173093,3.255,5317132,2633485,6.42
16:21:03.979937618,0.25,113472,2458837,1343064,661584,34916505,7707524,122239,3.820,3200100,1677521,8.65
16:21:06.311283108,0.25,97861,2103645,1691081,707341,69128904,14198297,294237,4.301,6841844,2939968,9.10
16:21:08.610927119,0.25,117672,2610122,2521878,1227713,35743072,7622051,120851,3.822,3161744,1639538,10.09
16:21:10.899326671,0.25,449014,8118270,51786805,19692930,1219991278,208929077,4413294,4.844,91099240,43281970,0.34
16:21:13.467740598,0.25,94409,2194562,3018686,1240892,35848127,7892511,115722,3.548,3261231,1723147,8.27
16:21:15.943394709,0.25,125916,2979556,1331176,658685,36684043,8053330,117230,3.526,3324279,1771235,5.37
16:21:18.247474413,0.25,95326,2279216,1310919,627660,63111191,12257000,232445,4.054,5734065,2546466,8.90
