horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:05:03.277824764,0.25,1583762,49284110,2326708,1073498,31969134,7339132,101864,3.361,3030494,1627967,13.19
12:05:05.560529503,0.25,576066,15005454,986077,490388,251750730,46030235,431415,2.433,17731343,8644383,14.47
12:05:07.872259908,0.25,83437,1963532,4907544,2307283,1672644425,432927684,5785762,2.960,195439294,83984886,4.77
12:05:10.186784757,0.25,157059,3082004,1803996,852240,42389925,8974229,164886,4.158,3965573,1865584,5.44
12:05:12.457091633,0.25,174722,3262238,1821467,854764,37594176,8473507,154400,4.147,3722758,1751607,5.80
12:05:14.739986964,0.25,117682,2467735,1246440,619648,175196328,44655204,551358,2.937,18773277,8858667,12.53
12:05:17.039076386,0.25,121250,2602326,1148716,590590,88149007,19155538,358338,3.841,9330044,3984022,11.15
12:05:19.348049609,0.25,105220,2383237,2342630,1198163,39121075,8626864,131668,3.637,3620613,1905082,5.66
12:05:21.635224355,0.25,165335,3380314,1196140,578113,38779229,8511265,127603,3.596,3548687,1846885,14.42
12:05:23.917323930,0.25,252816,5163089,1095266,513427,40277189,9926826,150309,3.726,4034596,2030284,12.94
12:05:26.233930617,0.25,96507,2159065,3319701,1304657,163529940,29274706,297936,2.605,11435736,5458611,10.16
12:05:28.491388173,0.25,3294589,60395520,1520435,727825,103407699,17238402,295489,3.958,7466304,3621117,5.46
12:05:31.089597471,0.25,90304,2043391,1313248,621718,156983974,28459643,412252,3.326,12393292,5351720,7.24
12:05:33.353293250,0.25,98810,2294576,1447429,642497,39394394,8581005,125812,3.552,3542005,1850169,12.31
12:05:35.651732156,0.25,102646,2274121,2908543,1203194,44633494,10699750,140646,3.053,4606914,2342810,1.17
12:05:37.941599767,0.25,244752,4540961,1199822,554497,34284442,7802292,114257,3.559,3210058,1714560,10.78
12:05:40.234345635,0.25,95475,2167414,1162312,565272,43058543,10397402,149578,3.421,4372200,2263678,14.78
12:05:42.517019613,0.25,91709,2100751,1275972,628427,48014559,11444973,170294,3.487,4883454,2124442,13.45
12:05:44.767712680,0.25,99222,2227131,1146321,557768,159730259,44837710,520931,2.781,18731902,8961556,6.80
12:05:47.068180638,0.25,96235,2230791,1224112,591314,35534163,8149156,114764,3.495,3283713,1740002,0.48
12:05:49.629117223,0.25,500150,12729133,6283443,2662593,45519953,9958664,169116,3.861,4380223,2075485,13.14
12:05:51.913234747,0.25,99569,2173385,6471239,1796183,132935202,23412573,254721,2.751,9260320,4357188,9.96
12:05:54.226556218,0.25,120747,2858094,1123161,528722,38340137,8360275,127554,3.673,3472844,1843460,6.07
12:05:56.565531296,0.25,195622,4349210,1317314,642306,33574157,7468893,107925,3.481,3100422,1651808,14.29
12:05:58.892119160,0.25,96643,2323639,1179915,566261,38067411,8120683,122376,3.648,3354330,1801562,7.09
12:06:01.210493501,0.25,106256,2369363,1108764,534303,35834259,7857099,120566,3.670,3285219,1740550,3.22
12:06:03.551622258,0.25,86943,2082730,1129158,562444,67680767,13478836,273395,4.201,6507620,2803984,13.24
12:06:05.896626320,0.25,112541,2784839,2305599,1102442,70999169,15207189,230708,3.451,6684786,3150566,4.67
12:06:08.219642816,0.25,230288,4407179,31471008,14058104,47347732,9801054,145511,3.601,4040758,2114277,8.57
12:06:10.555190519,0.25,93246,2136866,1277565,613753,34889757,7724445,111694,3.494,3196821,1729091,10.34
12:06:12.856382921,0.25,286654,10341349,4445500,1266884,43890642,10998565,145048,3.092,4690641,2411346,5.84
12:06:15.184397679,0.25,107081,2349535,6359262,1971201,33737294,7919132,113705,3.490,3257601,1768072,2.47
12:06:17.470328651,0.25,86096,2005766,1201382,572863,36242173,7950871,113283,3.471,3263766,1761775,14.35
12:06:19.787522312,0.25,87258,2032388,1471053,663493,35473154,7717126,106776,3.392,3148081,1717119,5.53
12:06:22.119695897,0.25,94368,2163200,2183226,1076587,46520850,11370049,149335,3.063,4875897,2501990,14.52
12:06:24.494288816,0.25,254986,5090248,1114517,531169,35799088,8070594,120876,3.651,3310482,1764151,5.67
12:06:26.798424305,0.25,106394,2486619,1275162,599705,34459794,7388615,108483,3.567,3041008,1617881,10.82
12:06:29.129077388,0.25,379403,7178734,1404598,679630,33331066,7472868,105798,3.448,3068298,1673128,4.36
12:06:31.446588458,0.25,88443,2090299,1182570,555161,33985240,7666566,111287,3.528,3154407,1702808,11.67
12:06:33.771082792,0.25,87102,2098711,1249529,599594,68669161,13368454,265122,4.148,6391516,2803467,3.95
12:06:36.108730110,0.25,82567,1950221,4092089,1713607,34797853,7708488,109687,3.515,3120170,1693299,13.69
12:06:38.429537953,0.25,174531,3570832,1225532,577393,32426225,7282981,101919,3.405,2993093,1644279,12.97
12:06:40.748757544,0.25,97535,2477195,1184525,556009,34888173,7992122,119473,3.610,3309190,1785794,12.70
12:06:43.103003825,0.25,110909,2932376,4116724,1313870,126101489,23585266,237778,2.540,9361018,4459345,7.99
12:06:45.414935136,0.25,403985,11062704,1147007,552672,33347784,7143611,105543,3.574,2952989,1558630,9.86
12:06:47.769609248,0.25,93625,2247080,1183282,557032,325508608,64599122,1393683,4.743,29383507,13627351,2.26
12:06:50.372563969,0.25,330283,7467733,2571013,1134629,36132540,8460884,126504,3.605,3509203,1889256,13.86
12:06:52.733166933,0.25,237822,4579243,1053458,489886,33828125,8447285,120268,3.508,3427907,1779073,13.96
12:06:55.052945495,0.25,91134,2175538,7209032,2234158,32107271,7387136,105151,3.463,3036718,1663614,11.86
12:06:57.389466128,0.25,91096,2184087,1099510,525214,41050511,9896489,132842,3.205,4144655,2181218,2.77
12:06:59.710603693,0.25,100297,2282568,1092331,529359,30993618,7098459,97682,3.379,2890513,1586920,12.58
12:07:02.056054852,0.25,95268,2208620,1115976,518961,67811175,13586543,270193,4.172,6476201,2851944,12.48
12:07:04.372379327,0.25,95232,2237744,2336624,1034365,31802117,6908303,96504,3.405,2834138,1544207,7.98
12:07:06.711895150,0.25,249750,4924974,1299791,599128,35682745,7948328,113646,3.497,3250031,1784645,10.86
12:07:09.065321572,0.25,316230,10316299,3483114,1637183,133440038,25271795,280032,2.810,9966496,4768055,15.30
12:07:11.371233497,0.25,101880,2584233,1088773,524770,39649302,9199872,137011,3.521,3891738,2042433,5.71
12:07:13.712320654,0.25,101424,2325674,1079801,496212,95770588,18115643,203123,2.835,7165341,3628430,10.87
12:07:16.057413228,0.25,119294,2772160,1032289,495043,40631267,8635131,126466,3.560,3552268,1920241,12.04
12:07:18.362425410,0.25,90686,2153760,1096517,518659,73306450,12256713,222084,3.868,5741453,2554716,2.57
12:07:20.774276429,0.25,99082,2297538,1055983,509325,32244331,7525786,105646,3.434,3076285,1693540,10.55
12:07:23.135802616,0.25,93087,2120813,1425316,592916,36166115,8248751,121669,3.604,3375665,1835806,2.00
12:07:25.460816586,0.25,393504,11047642,1199579,585742,37368849,8870372,130524,3.558,3668590,1990807,15.74
12:07:27.797779591,0.25,97925,2286209,1185496,571007,48352005,11986250,186962,3.687,5070984,2702636,10.74
12:07:30.313897325,0.25,91081,2159253,1153847,561377,70084254,13999485,275750,4.080,6759004,2901159,9.46
12:07:32.633268851,0.25,88735,2116499,2562496,1144862,33388446,7500448,102660,3.320,3092256,1683158,9.52
12:07:34.933501034,0.25,119401,3527038,4102945,1179062,36958142,7763183,109857,3.465,3170629,1703935,13.24
12:07:37.254405640,0.25,83660,1946652,1090405,532057,39085611,8270380,119051,3.512,3390072,1825290,11.99
12:07:39.582805502,0.25,86935,2063405,1179463,575468,37442269,7502754,109324,3.548,3081479,1666587,13.81
12:07:41.915115162,0.25,87667,2118874,1159038,547503,32001891,7358578,104164,3.477,2995962,1638516,6.89
12:07:44.271553113,0.25,89301,2158789,1230689,584679,250573478,43883204,432287,2.540,17022318,8247195,11.44
12:07:46.592856001,0.25,186088,4472710,1184485,575382,62040918,12717376,254772,4.146,6144495,2671684,4.33
12:07:48.914772826,0.25,2738757,63706834,21844784,8208132,64206533,14116890,255480,4.014,6364358,2962419,13.08
12:07:51.261934065,0.25,228559,4513421,1239336,585890,32437823,7310507,101167,3.378,2994910,1627327,17.96
12:07:53.589135941,0.25,89104,2105780,1272369,584006,34251179,7564976,113661,3.634,3127598,1675595,15.21
12:07:56.067125583,0.25,95237,2223394,1164551,551865,36590401,7906630,109671,3.411,3215036,1764495,7.71
12:07:58.396704783,0.25,93637,2215066,1181730,562230,31484921,7246680,103056,3.459,2979210,1616939,12.59
12:08:00.706341920,0.25,86904,2024296,1146032,563073,66177095,12959000,254447,4.069,6253342,2671792,13.96
12:08:03.031950195,0.25,86559,2070503,2212344,1074360,32303265,7388054,103823,3.450,3008936,1632302,4.76
12:08:05.352817431,0.25,640854,17745752,6100357,1662858,37524758,7920292,116224,3.564,3261104,1763655,15.83
12:08:07.688936946,0.25,82133,1995465,1196350,567718,34879127,7601399,108752,3.501,3106291,1674808,4.00
12:08:10.075241860,0.25,97137,2205758,1199153,567956,37043599,7951307,115156,3.549,3244412,1756172,8.05
12:08:12.412081861,0.25,94515,2177689,1060607,501298,36972470,7968601,117004,3.548,3297818,1776761,14.74
12:08:14.713671407,0.25,95992,2278468,1105863,507915,205925026,50220670,661375,3.040,21758504,10024349,12.46
12:08:17.160851832,0.25,103071,2373050,2162104,1038766,35244203,7835072,112229,3.520,3188210,1735131,8.80
12:08:19.486049613,0.25,241673,4711144,1045576,498619,40268307,8362271,119408,3.528,3385033,1858499,10.13
12:08:21.795816998,0.25,101205,2362772,1186093,562793,32671588,7388171,106961,3.536,3024495,1647823,16.47
12:08:24.129195074,0.25,92188,2159268,1185576,561094,37513032,8285415,118824,3.508,3386998,1838514,3.15
12:08:26.434160186,0.25,134102,3101300,1260979,589748,33744211,7664686,106781,3.365,3172906,1718530,13.57
12:08:28.745657240,0.25,2032873,34221730,4830799,2167685,110318762,19654807,367472,4.330,8487126,4227505,14.67
12:08:31.073894001,0.25,86652,2083908,1139334,557094,63888269,12777233,264194,4.314,6124146,2655087,11.15
12:08:33.429648335,0.25,87304,2090230,2487091,1152693,31799942,7365473,102521,3.402,3013406,1638726,5.81
12:08:35.756931583,0.25,229330,4396833,1127036,537564,60751908,13873539,206393,3.446,5989111,2831819,7.33
12:08:38.088287941,0.25,87291,2078301,1216284,581770,33492197,8131671,119044,3.613,3294967,1730159,14.20
12:08:40.409799264,0.25,85857,2046820,1214278,580781,31267769,7185616,100632,3.435,2929434,1601945,8.42
12:08:42.764032215,0.25,95096,2230907,1170763,553737,32021728,7179099,102640,3.487,2943168,1597643,12.21
12:08:45.089577953,0.25,86816,2139833,6523402,1967559,66903522,12848409,261330,4.240,6163112,2697476,10.57
12:08:47.405599881,0.25,83775,2033877,2292198,1091257,32118535,7042147,99825,3.430,2910298,1558656,0.67
12:08:49.825335508,0.25,312255,5839705,1108138,520952,35588496,7742021,113040,3.550,3184278,1728555,9.78
12:08:52.151010626,0.25,88189,2094177,1142683,555304,43802354,8510895,125549,3.604,3483531,1897290,15.29
12:08:54.472934923,0.25,96781,2276780,1282586,616613,32137419,7384339,101994,3.393,3005607,1655332,7.97
12:08:56.813935383,0.25,111721,2492666,1140389,547657,36896771,7739209,111299,3.513,3168181,1714462,14.54
12:08:59.153494103,0.25,87179,2099090,1133693,535671,71371257,15427705,280778,3.820,7350880,3228551,4.20
12:09:01.479662262,0.25,84271,2045780,11147091,3081003,35636639,7919120,117469,3.615,3249633,1737445,5.10
12:09:03.804062505,0.25,94296,2228649,1235575,571051,33931326,7667998,107959,3.474,3107738,1685096,2.72
12:09:06.136066857,0.25,82370,1958482,2362660,988002,36644413,8308110,118630,3.503,3386396,1853273,13.80
