horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
01:37:45.516543758,0.25,1651614,50238011,1116156,550737,33673784,7590603,113813,3.394,3353529,1687378,99.64
01:37:47.380533292,0.25,107397,2355602,1430458,648026,32888244,7207503,114342,3.608,3169225,1572469,99.41
01:37:49.278229273,0.25,161357,3622235,972279,471005,30617104,6858016,98929,3.370,2935684,1513525,99.66
01:37:51.191734650,0.25,727020,15899622,5140855,2038197,69765938,15046327,238480,3.625,6579519,3223350,99.64
01:37:53.075053886,0.25,182273,3609525,1085567,545355,31999661,7322547,117968,3.671,3213464,1579186,99.70
01:37:54.932997171,0.25,100401,2192659,4056964,1649704,28467028,6579733,100017,3.519,2842370,1449676,99.55
01:37:56.802572474,0.25,98703,2207478,2668422,1186827,36160620,7739547,118516,3.515,3371905,1698551,99.64
01:37:58.664189194,0.25,293515,11505504,7029997,1921468,106468419,24788171,437543,3.531,12391419,5189054,99.55
01:38:00.537327887,0.25,145542,3017273,49882493,21356845,129361612,27803118,520073,3.863,13461403,5748076,99.47
01:38:02.406443535,0.25,277918,5882163,1066904,548802,29252988,7014083,101451,3.373,3008053,1566453,99.67
01:38:04.320814941,0.25,105982,2339721,984624,495279,29570368,6696282,97077,3.395,2859363,1480271,99.57
01:38:06.198034410,0.25,122106,2918872,1093870,546315,37952365,9773797,134751,3.088,4363258,2116686,99.68
01:38:08.073879623,0.25,111797,2638319,1856924,699194,34248507,7739817,117733,3.453,3409970,1704528,99.54
01:38:09.958373053,0.25,109967,2695393,1139566,574381,113454245,25587643,498001,4.329,11503544,5656684,99.73
01:38:11.991654042,0.25,404322,8432471,2860246,1208727,118781998,25747353,392303,3.275,11979920,5173623,99.56
01:38:13.872299094,0.25,148984,3522285,1340648,610916,178449842,36395223,579480,3.459,16753796,7060060,99.48
01:38:15.735053383,0.25,507269,11796814,7123920,2984936,170102208,36811547,596318,3.455,17261100,7339064,99.30
01:38:17.591894611,0.25,295477,6017209,1176919,558387,35503395,8274924,124988,3.433,3640497,1799411,99.59
01:38:19.465550557,0.25,325391,7028880,1121673,547925,30051158,6865842,101819,3.472,2932551,1509429,99.68
01:38:21.362335208,0.25,161161,3504466,8126369,2439235,77851403,16033977,274183,3.850,7122263,3426894,99.61
01:38:23.242281920,0.25,94165,2135004,2873907,1282911,37653154,9064261,126202,3.217,3922476,1961231,99.66
01:38:25.122699307,0.25,85972,1964232,1251969,589916,36504643,8716738,120041,3.220,3727552,1901675,99.66
01:38:26.991233743,0.25,77318,1791668,1037749,521511,69752285,14955471,292849,3.930,7452557,3105742,99.75
01:38:28.854735143,0.25,107160,2541413,1054507,520668,44118111,10458204,182700,3.796,4812577,2300632,99.44
01:38:30.729239251,0.25,373768,6692290,39158403,17138422,88147912,15517683,253648,3.750,6764680,3279070,99.17
01:38:32.589969098,0.25,106763,2322461,1105483,540997,34082812,7788307,117534,3.537,3323048,1674305,99.68
01:38:34.459663715,0.25,102860,2314098,1067621,522348,33270379,7664420,107697,3.306,3258060,1667872,99.56
01:38:36.348706211,0.25,91644,2158284,1060642,531991,29868605,6905279,90847,3.159,2875791,1516071,98.61
01:38:38.210028228,0.25,84940,2031936,993321,475016,32307370,7762605,105370,3.285,3208045,1719692,99.50
01:38:40.051808850,0.25,245388,10016770,1209185,531874,42234149,9283139,126882,3.261,3890416,1991657,99.70
01:38:42.347840295,0.25,548159,12557469,5821225,2533077,150165573,31395391,489071,3.463,14122511,6278166,99.54
01:38:44.208769659,0.25,80291,2051733,1008131,489765,30856164,7013704,95522,3.296,2898386,1568919,99.42
01:38:46.105711954,0.25,78980,1850395,1031811,491504,33089899,7579288,107217,3.356,3194791,1692586,99.70
01:38:47.974709055,0.25,254390,5259017,1041309,492264,33159656,7758135,111769,3.447,3242402,1692922,99.74
01:38:49.876578907,0.25,234610,4283853,958441,460961,230733843,41656952,374632,2.331,16071067,7851972,99.58
01:38:51.736984193,0.25,335997,8106597,3736693,1701648,79818632,16312856,276616,3.672,7532660,3369594,99.55
01:38:53.587175203,0.25,87418,2075006,2379142,1106419,57455392,12161874,181864,3.483,5221572,2614471,99.63
01:38:55.469561736,0.25,82035,2013790,1039213,517522,28800122,6739857,93372,3.332,2802361,1487833,99.65
01:38:57.340700877,0.25,87785,2082735,910834,454957,71291605,14323866,274495,3.909,7021508,2991007,99.32
01:38:59.213905327,0.25,79596,1917766,948906,447279,40982110,9367776,162521,3.907,4160068,2012313,99.66
01:39:01.061502530,0.25,3050477,55860737,5675920,2589748,48728051,11593571,148559,2.980,4984509,2530532,99.27
01:39:02.974365017,0.25,91940,2138599,1586737,615708,29878770,6907969,93475,3.280,2849862,1544686,98.58
01:39:04.866677953,0.25,90880,2145494,890234,421600,34542326,8155257,102911,3.012,3417075,1796864,99.67
01:39:06.721854915,0.25,89066,2111078,990229,471348,28558646,6722143,94685,3.401,2784001,1497969,99.62
01:39:08.593283995,0.25,80254,1969456,1041844,496583,29510967,6673378,89167,3.235,2756560,1487065,99.54
