horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
15:59:33.179889500,117747,2504969,1314959,632807,42752390,8952606,145469,3.851,3777647,1937523,27.29,13.34,0.68,13.38
15:59:35.545540839,98561,2273261,1361192,652148,40064612,8679167,139342,3.881,3590218,1889354,49.38,6.11,0.24,4.19
15:59:37.895643999,111611,2486113,1243249,590193,384024283,64473169,624959,2.531,24696684,11815922,24.34,14.80,0.72,13.50
15:59:40.241529787,101304,2332895,1437964,671755,81701527,15278553,312110,4.240,7360440,3185861,31.24,10.90,0.45,11.47
15:59:42.611184659,93002,2165233,2528077,1206069,39475548,9606321,135217,3.304,4092703,2110017,29.00,12.04,0.82,9.52
15:59:44.949836886,246927,4551922,1324590,618074,35384817,8011352,117955,3.602,3275157,1743384,34.09,7.02,0.36,13.56
15:59:47.317513302,104567,2406501,1303898,612947,37546422,8575513,129070,3.660,3526088,1894840,13.59,4.83,0.21,4.91
15:59:49.764885278,2858716,50843680,25110873,12862302,985854577,165059847,3955061,5.536,71443979,36797533,50.89,5.65,0.23,4.81
15:59:52.112466574,118055,2601704,1403838,686048,35957677,8110791,118356,3.518,3364344,1789632,32.77,10.01,0.78,7.94
15:59:54.447825228,97634,2256456,1299512,631366,72001373,13494321,276270,4.256,6490725,2837088,27.14,13.21,1.16,12.88
15:59:56.783833081,96150,2432794,2341499,1142425,50889551,13000966,171880,3.090,5561912,2846260,38.49,12.10,0.35,11.31
15:59:59.152973858,255196,4723095,1291974,625237,180246101,51224573,601449,2.761,21785006,10349149,34.00,12.63,1.21,11.36
16:00:01.486498763,111704,2473007,1399154,650705,37938636,8358094,124376,3.604,3451298,1848368,33.98,8.94,0.42,11.94
16:00:03.840848209,98291,2251801,1402750,683236,34982008,7870171,117881,3.657,3223639,1726122,54.33,6.69,0.57,5.40
16:00:06.163524840,100643,2310774,1397281,674895,43854979,9537107,169544,4.110,4125332,2066362,29.63,11.20,1.20,10.29
16:00:08.530129154,98728,2186476,1346023,646706,84641859,15945888,299515,3.930,7622135,3378966,71.89,3.27,0.17,3.01
16:00:10.995860845,3488932,61342715,25854507,12913761,929395258,157243398,3866053,5.677,68099867,34874979,32.85,1.12,0.06,0.79
16:00:13.406329534,399567,7670798,1216174,573146,40628039,8969294,143232,3.860,3710635,1959229,27.61,6.40,1.06,12.81
16:00:15.765236428,109603,2553113,1281212,621142,44253343,9303656,147333,3.820,3857202,2046387,32.88,8.34,0.79,10.94
16:00:18.111871863,116583,2564815,1380173,652767,37839750,8529301,132252,3.732,3543439,1875207,23.71,3.05,0.17,2.37
16:00:20.461922654,125933,2833839,1169336,555596,40578109,8851844,136706,3.734,3661560,1957248,29.48,13.83,0.65,13.81
16:00:22.828615245,93053,2096401,1217047,573864,72336499,14584600,309317,4.438,6969474,3059513,27.71,16.40,0.21,12.38
16:00:25.154880378,108493,2419796,2398503,1137896,43324204,9172799,143987,3.794,3795616,2026793,33.77,9.86,0.98,12.34
16:00:27.511854042,267533,5187921,1137927,542431,41775828,9145676,142075,3.742,3796887,1994265,25.47,12.91,0.39,14.23
16:00:29.852747295,1308293,33708991,1347216,638212,38537482,8578270,128925,3.663,3519337,1884923,19.62,4.21,1.22,4.12
16:00:32.342754501,2566286,38788784,26855874,14036024,36048968,8231523,122420,3.635,3367761,1818794,30.58,8.28,0.53,8.43
16:00:34.707338472,92322,2146619,1364949,659707,38470225,9360703,136305,3.488,3907728,2055492,32.31,10.99,0.30,10.61
16:00:37.080715441,111751,2490235,1303273,624429,35819984,8073204,131415,3.907,3363712,1767730,41.06,11.10,1.14,9.93
16:00:39.451663386,117561,2542106,6468714,1987726,273130709,45377332,495541,2.777,17841627,8517846,23.75,15.38,0.30,14.56
16:00:41.830834434,94017,2113358,1307779,621611,39969937,9189978,138175,3.650,3785427,2025352,28.66,14.14,0.21,11.25
16:00:44.176376526,96768,2251326,1391751,672827,36616278,8096558,117396,3.530,3325950,1784829,27.59,8.86,0.47,8.48
16:00:46.509765015,104754,2416107,1419293,666695,39207919,7956427,126280,3.832,3295131,1742890,29.25,11.95,0.70,9.59
16:00:48.861792651,96338,2129491,1296409,613909,38479498,8308364,125768,3.652,3444202,1836030,30.17,12.19,0.48,10.32
16:00:51.229241721,96140,2229866,1355336,676561,34500984,7698261,116840,3.678,3176870,1642717,23.24,0.51,4.56,0.53
16:00:53.824095920,2788605,42028778,16115213,8232395,40459686,8814026,128456,3.560,3607838,1969158,29.02,5.84,0.17,11.81
16:00:56.186381461,95794,2201566,1584128,680093,48292476,9536832,156594,3.917,3997904,2108363,27.93,13.16,1.51,11.73
16:00:58.547026655,99709,2279609,1275293,638941,34133200,7794292,115076,3.588,3207369,1725624,75.90,2.35,0.17,1.29
16:01:00.888630328,239136,7698047,1401775,652180,45446787,10227783,146443,3.520,4160170,2201333,31.68,9.59,0.18,11.63
16:01:03.220516543,119565,2884810,1458908,638193,143857444,26918112,406740,3.526,11533934,5284698,27.59,14.07,0.46,12.47
16:01:05.610920305,99012,2281697,2739245,1239827,38443052,8821231,136486,3.768,3622282,1904059,35.06,9.47,2.78,8.13
16:01:07.951130769,253730,4630891,1392609,693021,34430322,7331030,113510,3.740,3034869,1580684,26.51,12.80,0.72,11.78
16:01:10.323765408,110179,2488814,1370226,685869,77493124,15789615,212182,3.297,6435886,3310083,35.72,6.22,0.41,12.00
16:01:12.679161779,110562,2452688,1206534,580045,40386854,9002901,138747,3.735,3715249,1982328,15.07,0.40,0.10,0.34
16:01:15.526965778,2723730,40916085,9566833,4966854,40281289,9212498,143667,3.779,3802081,2002194,37.50,10.47,0.35,9.68
16:01:17.851995790,119198,2578353,1204164,569906,41030818,8890320,137368,3.735,3677863,1964845,31.84,14.34,0.59,12.34
16:01:20.185794871,109563,2344009,1210051,581542,42823364,9655405,150225,3.763,3992272,2118564,32.96,5.85,0.38,9.76
16:01:22.530833965,130348,3071356,1392888,687049,37152013,8215034,118446,3.512,3372705,1829732,32.06,14.18,0.57,14.11
16:01:24.858216435,102767,2423262,1307430,618934,33835049,8283345,119506,3.563,3354339,1767710,34.80,10.17,0.13,9.37
16:01:27.416826154,113251,2502078,1381174,645440,67090790,13555585,281850,4.338,6496785,2824806,28.36,7.60,0.64,11.05
16:01:29.757610809,363712,10501570,3603864,1608539,40317291,8774511,124833,3.524,3542723,1930774,34.65,11.28,0.66,8.88
16:01:32.097040314,252553,4628060,1340324,656318,35256514,7937919,118470,3.618,3274212,1758062,32.02,11.38,0.22,8.79
16:01:34.454893294,112571,2550215,45527137,17629822,875485530,146725788,3247598,5.186,62627027,31964791,4.05,0.65,0.06,0.76
16:01:36.988515757,297426,10374376,1302312,630722,33762914,7601804,115059,3.653,3149507,1665342,32.94,11.24,0.39,8.56
16:01:39.333319514,97012,2255621,1846067,810607,65647862,14328929,222310,3.575,6218845,2968506,25.64,11.92,0.53,12.70
16:01:41.637222907,93729,2132148,1349433,651684,79024161,15665946,305447,4.142,7374211,3280238,40.59,10.27,0.48,10.56
16:01:43.982423652,101332,2344454,2644125,1203081,42740174,8386781,131064,3.766,3480630,1833937,27.95,8.21,0.46,10.42
16:01:46.334739206,257856,4765691,1123641,521812,43066459,9334254,146443,3.773,3881610,2079549,32.11,8.92,0.16,7.89
