horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
02:08:08.566485931,0.25,2237107,64761709,1061587,560986,33119648,7011738,116047,3.757,3088451,1473723,99.54
02:08:10.441737235,0.25,113252,2481906,920700,472878,33068166,7355974,118428,3.682,3216034,1633394,99.67
02:08:12.309688383,0.25,107709,2339012,936134,455220,34280692,8012869,120718,3.463,3486004,1755857,99.67
02:08:14.192648344,0.25,4065734,97106990,3504726,1633988,68698475,14485632,236933,3.728,6355458,3125046,99.57
02:08:16.106818849,0.25,412183,8983922,1036390,538831,29986144,6964898,105723,3.528,2996385,1535064,99.70
02:08:17.977489574,0.25,131996,3229522,3274624,1457858,29663461,6572095,96380,3.400,2834444,1456942,99.60
02:08:19.845842011,0.25,200393,4307433,3582539,1432198,31418067,6937280,102681,3.477,2953020,1510926,99.65
02:08:21.715245563,0.25,99403,2358058,4654167,1454252,35389317,8615842,126859,3.332,3807063,1877669,99.74
02:08:23.610171017,0.25,111976,2749271,1000703,531263,80273616,16597771,325875,3.902,8350807,3401512,99.56
02:08:25.482552699,0.25,115090,2606005,981009,491599,58504501,13438440,238772,3.695,6462169,2828903,99.51
02:08:27.338153713,0.25,131302,3738333,1416554,603765,43216509,9645399,138813,3.393,4091569,2024369,98.81
02:08:29.293770027,0.25,5837139,100837170,9143212,3827639,74287499,16191107,289146,3.685,7845989,3299384,99.55
02:08:31.239751486,0.25,205833,5546637,1051697,529296,32755429,7424154,114130,3.580,3187970,1639409,99.67
02:08:33.112376078,0.25,105839,2270637,1208672,643259,31634012,7172494,102686,3.357,3058833,1567306,99.55
02:08:34.983758502,0.25,104644,2322329,1087807,554281,32959101,7521220,105920,3.270,3238687,1651538,99.58
02:08:36.824856573,0.25,92893,2069589,1034144,547644,33484039,7251723,116943,3.725,3139012,1592623,99.67
02:08:38.693068680,0.25,88833,2075629,1032316,543231,33522284,7432097,115277,3.578,3221484,1623115,99.67
02:08:40.568959947,0.25,316106,6578744,1100165,550717,34326275,7513278,114394,3.571,3203491,1653023,99.55
02:08:42.418725037,0.25,277849,5223888,994128,497152,31902600,7890383,114083,3.480,3277929,1569710,99.61
02:08:44.440714667,0.25,5099964,85165334,9272959,4275238,89693047,22363450,343018,3.355,10223576,4834884,99.63
02:08:46.380411228,0.25,516434,11925721,5948504,2492447,147415760,30314170,515251,3.701,13920644,5963935,99.68
02:08:48.230662156,0.25,516953,12437228,10413683,4284263,171568649,38247340,599265,3.413,17556689,7658743,99.60
02:08:50.065147282,0.25,581292,12965067,3832644,1729897,32373983,7528148,107752,3.385,3183296,1664692,99.67
02:08:51.925964043,0.25,95896,2190523,1737853,632960,85876205,20486759,350767,3.464,10126698,4350414,99.59
02:08:53.787659163,0.25,88258,2074280,1097866,532632,37874917,8191396,120432,3.451,3489695,1784703,99.54
02:08:55.650313769,0.25,93130,2136619,1029084,495051,41767747,10226532,130335,2.966,4394215,2255630,99.66
02:08:57.521280723,0.25,109095,2625674,1230381,565034,30285858,6790216,91883,3.285,2797216,1520667,99.53
02:08:59.433694132,0.25,5153658,87531574,11716413,4591569,55026557,12427412,185232,3.446,5375613,2721257,99.65
02:09:01.406435311,0.25,87536,2117779,1037522,495646,32182533,7349216,101404,3.337,3039090,1619233,99.63
02:09:03.277848436,0.25,91340,2325741,1037749,487406,34260288,7933588,111022,3.366,3298149,1727350,99.59
02:09:05.142164995,0.25,76029,1873981,1422050,661841,33749348,7975356,108362,3.279,3304483,1776572,99.11
02:09:07.015312586,0.25,102629,2477063,1043348,500992,31636420,7371891,104658,3.359,3116055,1650922,99.57
02:09:08.887188132,0.25,251531,4880859,981925,473832,32323206,7395283,101662,3.301,3079381,1648272,99.21
02:09:11.940813851,0.25,89604,2066049,953901,475129,32085088,6916650,96259,3.315,2903694,1548207,99.65
02:09:13.809834381,0.25,108557,2622395,4990926,2281491,1975179525,236066774,5277842,4.979,106007047,43448868,99.65
02:09:15.812972137,0.25,266543,5820663,1037477,487161,76048640,17004744,187888,2.695,6970563,3546575,99.12
02:09:17.704388546,0.25,83131,1999060,1130074,506471,74118462,16356884,271798,3.369,8068434,3339184,99.77
02:09:19.586594490,0.25,84267,2002685,2436404,1152260,32402978,7320569,97446,3.236,3010900,1623565,99.59
02:09:21.456192191,0.25,95509,2328846,1501214,592884,34510484,7900252,108286,3.312,3269298,1707428,99.64
02:09:23.325583591,0.25,83040,2088350,957155,461229,35636207,8115653,119210,3.482,3423717,1778039,99.65
02:09:25.201428904,0.25,78151,1889593,870529,426708,41111479,8806226,121662,3.274,3715914,1904936,99.71
02:09:27.062172353,0.25,486400,15935968,1298075,558986,28896836,6586338,89415,3.292,2715796,1467863,99.75
