horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
15:42:23.566813716,108651,2444882,1317843,646079,36551937,8180533,118722,3.506,3386722,1831554,27.62,10.04,1.05,10.81
15:42:25.905021604,108618,2906584,2699712,1088665,40486809,8811639,129981,3.592,3618647,1899170,28.75,12.38,0.46,14.16
15:42:28.428695261,137410,3129919,1191832,589210,40510564,8657743,135803,3.771,3601138,1912013,54.88,6.27,0.42,5.53
15:42:30.811357858,2527282,40445139,24145706,12496714,823522876,145851058,3650425,5.760,63378055,31708170,28.27,13.94,0.46,11.84
15:42:33.185116575,106896,2403718,1210937,585660,68409462,14181029,283125,4.205,6733585,2967682,29.69,13.50,1.23,11.50
15:42:35.531553983,136273,3431380,2905140,1218766,113248343,29185630,363715,3.061,11880671,6067456,34.86,11.11,0.12,10.80
15:42:38.020995897,94622,2174703,2308523,1027378,45280407,8946121,150429,3.993,3767042,1959820,30.32,9.51,1.55,15.16
15:42:40.361597191,93208,2233891,1312815,677792,42727389,8568725,135800,3.829,3546458,1877579,29.61,6.68,0.17,14.99
15:42:42.711852402,102656,2279954,1306439,638809,42283820,8865401,133555,3.675,3634367,1969687,52.60,9.11,0.08,9.18
15:42:45.063059839,111797,2768790,1391961,653126,44131798,9072756,144439,3.837,3764205,1985179,26.32,11.69,0.36,8.96
15:42:47.575050694,182975,5380846,2417343,1116737,64112152,14920477,232821,3.620,6430831,3116559,39.95,8.37,1.10,8.65
15:42:49.953905667,238895,4369526,1316807,618979,1295005885,248242562,5015416,4.609,108826217,47729718,2.77,0.57,0.03,0.43
15:42:52.880869616,112952,2423259,1280663,630125,44115052,8902576,138581,3.759,3686424,1955782,21.72,7.98,0.98,13.16
15:42:55.232873832,112096,2458161,1470063,640137,74022818,15251443,309513,4.361,7097275,3227734,27.05,15.44,0.35,13.95
15:42:57.576610858,102166,2370227,1190489,578674,60274979,14147997,225923,3.672,6151974,2911797,43.24,4.51,0.37,9.15
15:42:59.930340426,95522,2150981,1349346,633380,42326160,8641487,137258,3.824,3589445,1896396,29.74,9.74,,16.20
15:43:02.294561715,102100,2380633,10485441,2871073,58733432,11486170,155578,3.362,4627297,2346676,32.78,11.27,0.48,8.76
15:43:04.654229679,110135,2444807,1272506,604932,33506348,7644123,113279,3.614,3134189,1666573,77.63,2.78,0.06,2.76
15:43:07.028888671,123455,2627642,1216128,570670,39954674,9172056,142456,3.770,3778890,2039201,60.01,6.10,0.47,5.78
15:43:09.367356908,115940,2642429,1433453,676971,58656140,12139077,222884,4.072,5474081,2589524,32.58,0.54,3.94,0.39
15:43:12.125297335,3551666,67577841,24607602,9227572,442537082,81667097,1365840,3.742,36504098,15990165,37.19,9.49,1.41,13.31
15:43:14.539794377,103660,2419089,1478395,721071,43885166,8795180,154543,4.144,3729586,1930132,30.35,14.26,1.41,13.95
15:43:16.946338606,115790,2502047,1372098,639964,42659291,10224989,169151,3.957,4274823,2291361,64.66,2.65,0.70,4.34
15:43:19.372383442,108029,2386253,1284359,643881,38032231,8410958,125835,3.655,3442982,1880005,32.98,12.18,1.72,12.61
15:43:21.792372770,101290,2261846,1334565,664543,36079972,8125135,122364,3.681,3324594,1777859,21.81,2.96,0.65,5.06
15:43:26.109492267,469568,13917581,2793707,1257958,33844715,7488079,113739,3.686,3085926,1674029,30.12,12.77,0.86,11.73
15:43:28.514631733,128625,2854118,1822099,755940,49150425,9002794,149060,4.009,3718385,1972207,25.44,13.07,0.98,11.44
15:43:30.916042500,3801765,69941064,24108792,12370123,834883176,147050246,3610170,5.661,63771002,32107205,13.64,1.95,0.13,1.42
15:43:33.553105063,110524,2385359,1260080,626905,36553218,8289828,129213,3.773,3424244,1826358,31.72,13.60,1.77,11.44
15:43:35.956247284,207412,6341859,1409441,694187,43341986,8536003,137125,3.891,3524174,1874868,26.99,11.17,1.40,10.32
15:43:38.360154828,264971,5514999,1381238,675185,36867081,8057171,121899,3.703,3291826,1807948,33.97,12.43,0.47,10.62
15:43:40.758580518,95600,2088219,1411575,684025,42985928,9615276,152616,3.916,3897031,1939583,31.69,11.86,1.36,13.27
15:43:43.141577142,95230,2072978,1449362,692845,36572286,8003555,122695,3.684,3330295,1770339,45.04,6.88,0.87,7.66
15:43:45.545396354,106037,2289906,6969741,2010575,146913796,33484182,405099,2.976,13613561,6619600,29.23,9.80,1.23,11.48
15:43:47.956682820,119292,2754885,2552873,1073148,68440296,14768739,296020,4.158,7120122,3107725,29.25,14.93,1.09,12.14
15:43:50.347855226,100597,2183103,2674288,1270628,1043600366,206885899,4544795,5.068,89677042,41407069,3.05,0.64,0.25,0.53
15:43:52.849329460,119620,2550989,1224757,584440,44167573,9573140,150293,3.802,3952613,2144171,34.93,11.37,1.66,9.73
15:43:55.257761814,101320,2225669,1379830,692299,54749673,15101737,184641,2.968,6220533,3145005,53.00,5.52,0.85,5.16
15:43:57.661294472,122566,2593142,1170344,545839,68546014,16212023,249638,3.529,7074566,3380059,32.53,6.79,0.95,16.03
15:44:00.065606784,111395,2434401,1337704,660052,70886711,13321620,273139,4.294,6361071,2747038,37.04,12.69,0.98,12.14
15:44:02.469209400,100483,2230024,2346649,1106290,37063096,8272601,135359,3.918,3455118,1825297,28.95,5.72,1.94,15.13
15:44:04.877748175,117865,2411994,1280127,589698,44349397,9625728,150363,3.814,3942224,2129920,27.35,9.65,2.19,9.93
15:44:07.332282245,115953,2386443,1346201,640163,38444794,9033934,137539,3.713,3703784,2026827,55.08,4.95,0.26,5.08
15:44:09.715477467,110174,2335022,1420786,672632,55325162,11188015,209217,4.417,4736126,2451812,28.25,0.51,6.70,0.42
15:44:12.336349352,559059,12817074,18296159,5585428,577462098,107628935,1489034,3.299,45141679,20145871,53.58,5.07,1.07,5.17
15:44:14.744842911,268081,5058662,1194991,560882,41825795,9089424,146425,3.939,3717534,1979402,70.80,1.77,0.61,2.64
15:44:17.155107781,98941,2185360,1384600,663907,40103335,8501084,130820,3.719,3517686,1878595,31.68,7.51,2.51,9.30
15:44:19.571872684,100114,2231500,1357839,661135,42435931,8637980,140118,3.904,3588667,1892936,52.19,7.98,0.73,6.77
15:44:21.949565294,100250,2241196,1315746,649060,34280903,8175674,123827,3.715,3333157,1809296,31.35,14.28,1.12,13.33
15:44:24.343083755,113723,2450865,1214721,589705,43565809,9742938,168773,4.055,4162150,1944831,33.22,6.24,1.01,10.42
15:44:26.763463155,116841,2502451,6962720,1972984,47786887,10052338,137792,3.402,4049966,2131112,34.06,10.70,0.94,14.58
15:44:29.155375506,98938,2152951,1394422,648293,38101249,8590134,133804,3.784,3536508,1924234,27.48,5.87,1.42,14.53
15:44:31.597287621,2500209,39833316,23858003,12494912,594731758,91225897,2076882,5.362,38730049,20546178,50.41,8.14,0.27,7.31
15:44:33.995621552,111391,2438722,1227848,593327,39580963,8653939,146561,4.080,3592022,1836361,29.71,9.85,1.02,13.15
15:44:36.420141026,105075,2280659,1695992,804904,66190041,13558494,276431,4.266,6480135,2834822,23.59,10.87,0.94,11.76
15:44:38.838804899,113754,2399900,1345658,649144,37293995,7982835,120373,3.672,3278283,1788049,29.91,7.77,1.49,14.39
15:44:41.252023354,115155,2396842,1187482,572138,39569638,8870134,144735,3.939,3674370,1981983,39.62,8.13,0.64,7.16
15:44:43.636513196,126009,2743363,1391619,689817,37716743,8009438,128999,3.886,3319409,1770399,49.32,7.50,0.89,7.42
15:44:46.174070640,472245,13797070,1220471,587809,43288157,9266414,149271,3.914,3813321,1881632,10.07,2.16,0.21,4.90
15:44:48.614109253,102111,2345491,1130340,565080,38961708,8102615,130829,3.890,3363223,1722960,33.64,5.26,1.16,13.45
15:44:51.036837814,195195,3556145,36157730,15211032,798020819,144589920,3578441,5.683,62967955,31418283,3.32,0.58,0.20,0.36
15:44:53.582666815,115505,2522322,1284459,612528,44335938,9432580,154489,3.936,3925108,2086566,29.18,12.24,0.92,12.74
15:44:55.997174256,217481,6464331,1287279,643636,40487473,9213300,145294,3.781,3842860,2017875,61.18,5.97,0.52,6.44
15:44:58.377573449,197962,4284771,1126221,546989,39802865,8850537,144159,3.952,3647803,1949169,32.23,12.75,0.46,10.42
15:45:00.797516623,115677,2425535,2115417,1034936,38282060,8363499,129195,3.779,3418943,1836896,32.97,9.96,1.03,11.47
15:45:03.185388758,258863,4752009,1129769,535819,39894486,8816234,143687,3.951,3636495,1935309,29.57,11.69,1.54,10.11
15:45:05.575011426,102355,2325516,1353080,651860,40473128,8443469,134763,3.834,3514634,1856029,31.99,10.60,0.49,8.03
15:45:07.996260159,218402,6846557,3058333,1130443,179245436,29899119,333523,2.860,11663236,5546137,54.91,7.23,1.16,5.98
15:45:10.392413852,178211,3282901,1285089,612923,86868218,17256062,422480,5.405,7816481,3595871,2.13,0.68,0.17,0.41
15:45:13.369739067,285818,5343698,18681614,6063249,484390322,83705276,1525184,4.272,35704192,16716609,33.41,8.89,2.77,9.00
15:45:15.822339546,109904,2344921,6597747,2084497,49940386,11019203,184437,3.951,4668070,2452388,27.86,9.90,2.53,10.64
15:45:18.261093938,195387,4489861,1392428,653548,39872744,8576335,132536,3.799,3489165,1906913,30.74,10.81,0.81,10.94
15:45:20.709813931,110730,2412385,1308471,638865,81568614,16773736,342036,4.303,7948441,3534067,31.03,9.59,1.88,13.94
15:45:23.162050435,118794,2693398,3134610,1380920,68036961,13847429,188431,3.397,5546826,2892101,33.52,7.18,1.61,5.73
15:45:25.871443227,122573,2567973,6263325,1954351,40592498,9095325,152116,4.040,3765169,1984290,26.64,7.97,3.26,14.35
15:45:28.313216943,201470,4307756,1199786,581709,40621746,8886384,148601,4.063,3657263,1936115,26.36,12.96,1.48,9.26
15:45:30.761547423,119550,2387185,1211157,569088,677003206,155185808,3187217,4.710,67671667,30634906,3.02,0.54,0.27,0.41
15:45:33.419406046,138334,2824377,1255896,595269,41679325,8849860,139417,3.849,3621712,1964923,28.46,7.72,2.91,9.01
15:45:35.865606199,123822,2476516,5956796,1832350,42582427,9471502,155587,3.992,3897717,2074702,26.16,14.95,1.25,11.15
15:45:38.628877579,127194,2527202,1321329,617210,50662891,11761877,199310,4.026,4950193,2566667,31.49,10.86,1.72,8.63
15:45:41.061777247,116242,2316743,1277840,628451,80031581,15232462,289189,4.091,7068372,3245552,31.42,8.48,1.62,14.62
15:45:43.513304291,127584,2644213,1173364,579906,38572146,8748589,139199,3.851,3614292,1970249,8.01,3.45,0.58,1.99
15:45:45.945518386,121848,2570458,1191090,556524,35526557,7972209,127267,3.869,3289568,1737692,34.98,11.36,2.00,10.22
15:45:48.419694296,189016,4226176,1218344,592949,44217439,8498167,142049,4.039,3517035,1858134,52.86,4.09,0.98,7.97
15:45:50.870717469,118709,2475079,1179958,559586,566510749,133597000,2634204,4.546,57942360,27423902,2.43,0.46,0.18,0.51
15:45:53.595791061,123195,2546158,1182760,561826,39016578,9047749,146063,3.950,3697842,2005209,8.62,3.86,0.67,3.28
15:45:56.050767046,418153,12345202,1171382,587943,39856245,8778329,146707,4.028,3642129,1956445,27.22,12.95,2.26,12.10
15:45:58.520678304,104978,2148843,1449415,718891,40309350,8448278,140894,4.028,3497769,1848444,54.01,7.07,0.56,7.23
15:46:00.975686987,101234,2095576,1387700,693942,45955402,8926676,149282,4.063,3674398,1956332,27.39,12.46,1.68,10.89
15:46:03.426115751,108762,2378077,2764143,1283772,31658561,7070056,111095,3.794,2928035,1560190,27.20,13.67,1.56,12.85
15:46:06.088746682,355125,10323101,1395615,689728,37681267,8480453,139145,3.929,3541382,1905800,27.30,15.12,,12.82
15:46:08.522424252,99990,2194467,1407200,708033,43585447,8332909,137259,3.966,3461024,1843217,57.05,6.64,1.24,6.86
15:46:10.970094602,117368,2317674,1493806,735421,604704829,130906087,2773257,4.682,59229031,27601451,14.95,0.41,0.22,0.36
15:46:13.809857847,108745,2390688,1173226,572332,40842843,8657829,150888,4.155,3631065,1882405,29.22,11.83,0.90,11.96
