horaejecucion,e_core,e_ram,cpu,mem_used
22:12:04.228328065,0.05,0.29,1,2552688
22:12:05.595410374,2.16,0.38,0,2545136
22:12:06.927871560,0.05,0.30,0,2545028
22:12:08.279048106,0.04,0.29,0,2550884
22:12:09.629818006,0.04,0.30,0,2551364
22:12:10.984343545,0.05,0.30,0,2551068
22:12:12.338685733,0.03,0.30,1,2550872
22:12:13.684898605,0.03,0.30,0,2551628
22:12:15.031634729,0.12,0.30,1,2550644
22:12:16.375857060,0.09,0.30,0,2549076
22:12:17.720329518,0.12,0.30,0,2548448
22:12:19.068859651,0.04,0.29,0,2549556
22:12:20.422882691,0.07,0.29,10,2548104
22:12:21.761741746,0.67,0.32,7,2546660
22:12:23.094688606,0.29,0.32,3,2546572
22:12:24.438049681,0.14,0.34,1,2546444
22:12:25.789555881,0.16,0.34,1,2546188
22:12:27.140271061,0.14,0.34,2,2546216
22:12:28.495361768,0.21,0.35,1,2546188
22:12:29.840024317,0.10,0.30,0,2544872
22:12:31.185407275,0.14,0.29,1,2544208
22:12:32.538744273,0.23,0.30,0,2545796
22:12:33.876492322,0.16,0.30,0,2545856
22:12:35.216525322,0.24,0.29,1,2545896
22:12:36.562073602,0.08,0.30,0,2545732
22:12:37.908135506,0.15,0.29,0,2545392
22:12:39.253919325,0.08,0.29,1,2545020
22:12:40.605007757,0.13,0.30,3,2544400
22:12:41.930717385,0.79,0.32,4,2544672
22:12:43.251443370,0.95,0.32,2,2544028
22:12:44.610648385,0.18,0.34,1,2543852
22:12:45.953060474,0.16,0.34,3,2543088
22:12:47.293493376,0.13,0.32,1,2543960
22:12:48.646882506,0.16,0.33,2,2543364
22:12:49.992926213,0.13,0.31,0,2542812
22:12:51.342074452,0.10,0.29,0,2543216
22:12:52.684784986,0.12,0.30,0,2541312
22:12:54.035400966,0.07,0.30,0,2541312
22:12:55.385713410,0.21,0.29,0,2540876
22:12:56.722176485,0.38,0.31,0,2540704
22:12:58.060453339,0.10,0.29,0,2540812
22:12:59.409985801,0.14,0.29,0,2540408
22:13:00.760694397,0.08,0.30,11,2512396
22:13:02.096282963,4.51,0.43,9,2490476
22:13:03.427307879,0.81,0.32,6,2466420
22:13:04.758967001,1.33,0.33,4,2454884
22:13:06.080024799,1.66,0.34,11,2420624
22:13:07.405861794,0.49,0.31,2,2420384
22:13:08.732825784,1.31,0.33,0,2421712
22:13:10.060379032,0.66,0.31,1,2417792
22:13:11.388614797,0.23,0.30,2,2415028
22:13:12.711174065,0.27,0.31,1,2413448
22:13:14.051414631,0.11,0.30,0,2411376
22:13:15.396435523,0.07,0.29,1,2409432
22:13:16.744387847,0.09,0.29,0,2409280
22:13:18.099397300,0.08,0.29,0,2408280
22:13:19.448226245,0.14,0.29,1,2408152
22:13:20.797069322,0.11,0.29,2,2407680
22:13:22.136303852,0.35,0.31,1,2402796
22:13:23.479235214,0.22,0.31,2,2399460
22:13:24.828921082,0.19,0.34,1,2398012
22:13:26.176981339,0.21,0.35,2,2395144
22:13:27.519309391,0.18,0.34,2,2394420
22:13:28.866296013,0.19,0.33,2,2393068
22:13:30.213101435,0.16,0.33,2,2367876
22:13:31.562144802,0.09,0.29,0,2366708
22:13:32.919700306,0.14,0.30,1,2367032
22:13:34.267731874,0.08,0.29,0,2366588
22:13:35.618218768,1.19,0.32,0,2364348
22:13:36.949940729,0.22,0.30,0,2364472
22:13:38.294440745,0.12,0.29,1,2364832
22:13:39.645764791,0.10,0.29,0,2364660
22:13:40.997456427,0.11,0.30,3,2364088
22:13:42.336682101,0.30,0.31,5,2364244
22:13:43.686193346,0.17,0.31,2,2364356
22:13:45.038268327,0.18,0.30,2,2364460
22:13:46.384917308,0.20,0.32,2,2363796
22:13:47.737322738,0.16,0.32,1,2363492
22:13:49.090544438,0.17,0.33,1,2363528
22:13:50.435017743,0.17,0.33,2,2363532
22:13:51.791029327,0.12,0.31,0,2363836
22:13:53.137142854,0.09,0.29,0,2363332
22:13:54.477463432,0.10,0.29,1,2364484
22:13:55.826529902,0.09,0.30,0,2363832
22:13:57.179239067,0.07,0.29,0,2363776
22:13:58.531161599,0.11,0.29,0,2363360
22:13:59.868602418,0.15,0.29,0,2363580
22:14:01.222677057,0.10,0.30,3,2363488
22:14:02.544592835,0.94,0.30,4,2360948
22:14:03.872209272,0.56,0.31,2,2358704
22:14:05.200019321,0.49,0.31,2,2355064
22:14:06.527498083,0.45,0.31,2,2353196
22:14:07.850928783,1.62,0.33,0,2352496
22:14:09.181954680,0.62,0.31,1,2352088
22:14:10.504195424,0.66,0.31,0,2352100
22:14:11.832448275,0.39,0.30,0,2352396
22:14:13.153054857,0.18,0.30,0,2351792
22:14:14.480492762,0.21,0.30,0,2351760
22:14:15.815059438,0.23,0.30,0,2351004
22:14:17.173390916,0.10,0.29,0,2350860
22:14:18.523742354,0.09,0.29,1,2350884
22:14:19.867934916,0.16,0.29,0,2350984
22:14:21.203192206,0.17,0.29,3,2350152
22:14:22.551169069,0.66,0.30,4,2350032
22:14:23.887628142,0.11,0.30,0,2349640
22:14:25.242374184,0.19,0.34,1,2349032
22:14:26.600730529,0.33,0.34,4,2347820
22:14:27.945415601,0.16,0.33,1,2347408
22:14:29.301756428,0.18,0.33,3,2346732
22:14:30.650023707,0.15,0.30,2,2348800
22:14:32.003118295,0.17,0.32,1,2348580
22:14:33.362354686,0.10,0.29,0,2348948
22:14:34.711489670,0.11,0.29,1,2348220
22:14:36.045939791,0.10,0.30,0,2347660
22:14:37.397912783,0.10,0.29,0,2348256
22:14:38.756035662,0.06,0.29,0,2347972
22:14:40.107243995,0.09,0.29,0,2348228
22:14:41.465819651,0.21,0.29,2,2347628
22:14:42.798377069,0.30,0.30,2,2347148
22:14:44.139823562,0.13,0.29,0,2347300
22:14:45.494205808,0.16,0.33,1,2346040
22:14:46.834261643,0.18,0.33,2,2345192
22:14:48.184293356,0.39,0.30,2,2343944
22:14:49.535747593,0.21,0.30,1,2345068
22:14:50.884102110,0.15,0.32,2,2344708
22:14:52.224255297,0.17,0.32,2,2344724
22:14:53.574043923,0.12,0.30,1,2344768
22:14:54.919444593,0.16,0.30,0,2343684
22:14:56.255674392,0.10,0.29,0,2342848
22:14:57.594926313,0.09,0.29,0,2343096
22:14:58.939447307,0.07,0.30,0,2342956
22:15:00.281599938,0.11,0.29,1,2343032
22:15:01.638256702,0.19,0.30,2,2342068
22:15:02.965912720,0.97,0.31,4,2337920
22:15:04.286069161,0.33,0.30,0,2333604
22:15:05.613901519,1.95,0.33,3,2325720
22:15:06.937273499,0.50,0.30,4,2321328
22:15:08.255652356,1.29,0.32,1,2316100
22:15:09.573097394,0.68,0.32,2,2310544
22:15:10.894585977,0.52,0.30,1,2305532
22:15:12.220048386,0.38,0.31,0,2300092
22:15:13.543328684,0.50,0.32,3,2295476
22:15:14.868489366,0.57,0.31,0,2293996
22:15:16.209030831,0.15,0.29,0,2290868
22:15:17.567937337,0.08,0.29,0,2290992
22:15:18.912448682,0.16,0.29,1,2290644
22:15:20.265861067,0.16,0.29,0,2290448
22:15:21.615955925,0.19,0.29,2,2287084
22:15:22.958187957,0.47,0.30,3,2282964
22:15:24.291795015,0.13,0.29,0,2282972
22:15:25.641986673,0.11,0.30,0,2280224
22:15:26.995538986,0.21,0.34,1,2279108
22:15:28.339488787,0.19,0.33,2,2278116
22:15:29.697025409,0.15,0.32,0,2276608
22:15:31.043313389,0.17,0.32,2,2275532
22:15:32.386837880,0.18,0.33,0,2274572
22:15:33.733396076,0.15,0.33,2,2273248
22:15:35.084163281,0.14,0.31,1,2270220
22:15:36.427516738,0.10,0.30,0,2269796
22:15:37.786820961,0.08,0.29,0,2269416
22:15:39.139334287,0.18,0.30,0,2269440
22:15:40.484088497,0.07,0.29,0,2269208
22:15:41.837481135,0.19,0.29,1,2266876
22:15:43.169704142,0.38,0.31,2,2261696
22:15:44.503340933,0.06,0.29,1,2260876
22:15:45.855440638,0.11,0.30,0,2257504
22:15:47.199760787,0.14,0.30,1,2256948
22:15:48.544862939,0.19,0.33,4,2255196
22:15:49.896088186,0.15,0.33,1,2253804
22:15:51.247549398,0.20,0.33,2,2252968
22:15:52.595021826,0.21,0.31,2,2251188
22:15:53.943619267,0.16,0.33,2,2249436
22:15:55.292205682,0.27,0.33,1,2246860
22:15:56.639911842,0.10,0.29,1,2245980
22:15:57.999682307,0.08,0.29,0,2245532
22:15:59.349929745,0.10,0.30,0,2245692
22:16:00.697852712,0.09,0.29,1,2245912
22:16:02.050484012,0.39,0.29,2,2240712
22:16:03.373880333,0.87,0.31,3,2231356
22:16:04.701748846,0.33,0.30,0,2226156
22:16:06.032853001,0.22,0.30,0,2218668
22:16:07.361616832,0.31,0.30,0,2216672
22:16:08.678271176,0.44,0.30,1,2211104
22:16:09.997204930,0.53,0.30,0,2206332
22:16:11.328061846,0.49,0.32,1,2201048
22:16:12.656137336,0.52,0.31,1,2196240
22:16:13.981567603,0.41,0.31,2,2191296
