hora,cpu
18:24:27.898941978,97.3
18:24:29.095214675,76.7
18:24:30.146760951,62.7
18:24:31.186671515,1.2
18:24:32.233682326,1.5
18:24:33.317158019,1.2
18:24:34.375534483,2.7
18:24:35.450444354,64.9
18:24:36.528929685,57.3
18:24:37.641436153,53.3
18:24:38.722445434,49.7
18:24:39.802193985,45.7
18:24:40.910553423,46.7
18:24:42.038695115,4.9
18:24:43.130608118,2.1
18:24:44.209811922,1.8
18:24:45.266418940,2.4
18:24:46.352090437,6.7
18:24:47.399931841,1.8
18:24:48.476452203,3.6
18:24:49.581722774,1.5
18:24:50.659715786,4.2
18:24:51.724796266,1.2
18:24:52.800565945,3
18:24:53.853234932,11.3
18:24:54.938546829,46.6
18:24:56.010229737,49.2
18:24:57.090564035,48.4
18:24:58.205521966,48.1
18:24:59.300223734,45.7
18:25:00.404221629,43.6
18:25:01.472484376,4.5
18:25:02.525763919,2.7
18:25:03.600262849,0.9
18:25:04.682346295,3
18:25:05.750600180,1.2
18:25:06.829111806,6.7
18:25:07.927076884,1.8
18:25:09.010800475,3.6
18:25:10.076215815,1.5
18:25:11.154430766,2.7
18:25:12.251483337,1.8
18:25:13.310675558,33.6
18:25:14.415907642,67.9
18:25:15.530211009,72.1
18:25:16.671699273,61.8
18:25:17.844501125,60.8
18:25:19.022544319,66.4
18:25:20.179217966,50.6
18:25:21.317162946,56.4
18:25:22.499657219,15.9
18:25:23.554215627,10.1
18:25:24.606002475,4.2
18:25:25.693054049,4
18:25:26.780094007,4.9
18:25:27.832619702,3.9
18:25:28.917224661,4.2
18:25:30.006918514,3.9
18:25:31.063095863,3.6
18:25:32.143535823,1.8
18:25:33.227116921,3.3
18:25:34.280294687,2.4
18:25:35.365755985,52.1
18:25:36.476236820,52.7
18:25:37.573544551,45.5
18:25:38.643068738,47.1
18:25:39.754016857,42.8
18:25:40.918536074,45.9
18:25:42.055542526,3
18:25:43.130359768,1.8
18:25:44.219795210,2.1
18:25:45.320828598,4.2
18:25:46.388697513,4.6
18:25:47.470526453,1.5
18:25:48.552333516,1.8
18:25:49.620496436,2.1
18:25:50.699615635,3.6
18:25:51.784447687,3.6
18:25:52.847906235,1.2
18:25:53.932315471,26.7
18:25:55.032477957,46.9
18:25:56.168642770,46.4
18:25:57.294301403,39
18:25:58.406523548,50.8
18:25:59.513129921,39.8
18:26:00.610940474,43.8
18:26:01.712125134,3.6
18:26:02.764109936,2.1
18:26:03.836644178,2.4
18:26:04.916522778,2.4
18:26:05.994497630,3.6
18:26:07.064462079,1.2
18:26:08.148174209,1.8
18:26:09.231502014,2.4
18:26:10.299058806,1.5
18:26:11.378804479,2.4
18:26:12.462958735,1.5
18:26:13.524491679,27.6
18:26:14.630714536,55.2
18:26:15.709692390,54.9
18:26:16.801330949,60.5
18:26:17.855489628,57.4
18:26:18.984145612,57.9
18:26:20.074571459,51.3
18:26:21.219475012,51.9
18:26:22.327740040,19.4
18:26:23.391122703,3.4
18:26:24.480990314,4.8
18:26:25.568821833,7
18:26:26.670833584,6.4
18:26:27.736960141,4.6
18:26:28.823122961,1.8
18:26:29.905741879,2.4
18:26:30.962514907,2.4
18:26:32.042021692,2.1
18:26:33.121470559,1.5
18:26:34.187971584,17.6
18:26:35.302492567,44.8
18:26:36.451525461,44.7
18:26:37.586939109,43.7
18:26:38.729557845,50.3
18:26:39.785112789,51.4
18:26:40.872762200,34
18:26:41.917952994,3.3
18:26:42.969472419,0.9
18:26:44.049646059,2.1
18:26:45.131681516,1.8
18:26:46.194193311,5.5
18:26:47.288475876,0.9
18:26:48.339335868,1.8
18:26:49.419844133,2.4
18:26:50.501170260,2.4
18:26:51.558898671,1.5
18:26:52.639689223,1.5
18:26:53.691311757,35.6
18:26:54.770548246,44.4
18:26:55.865688556,46.9
18:26:57.034661325,42.8
18:26:58.169882438,44.3
18:26:59.313251503,37
18:27:00.461611181,13.4
18:27:01.543374165,2.4
18:27:02.615954457,2.1
18:27:03.701414722,1.5
18:27:04.764421696,1.8
18:27:05.849891906,1.2
18:27:06.940366635,4.8
18:27:07.996223775,3.6
18:27:09.079941119,2.4
18:27:10.161538152,2.7
18:27:11.226164853,1.2
18:27:12.306082928,1.8
18:27:13.400183578,49.1
18:27:14.496753336,59.7
18:27:15.602019012,50
18:27:16.803597934,50.8
18:27:17.897764306,61.6
18:27:18.972039466,33.6
18:27:20.089460372,57.2
18:27:21.215170113,19.7
18:27:22.316272350,6.6
18:27:23.367084998,4.5
18:27:24.437243804,5.1
18:27:25.521787997,5.7
18:27:26.578075525,6.1
18:27:27.657076913,2.1
18:27:28.744652657,2.1
18:27:29.799512579,1.8
18:27:30.880595833,2.1
18:27:31.960396484,1.5
18:27:33.028340646,19.3
18:27:34.116469558,41.7
18:27:35.247181092,51.4
18:27:36.384639693,47.7
18:27:37.460456542,47.4
18:27:38.517937124,53.1
18:27:39.604990405,35.9
18:27:40.666611601,1.8
18:27:41.719436042,2.7
18:27:42.799572718,2.1
18:27:43.887182971,1.2
18:27:44.941930321,3
18:27:46.028032293,1.5
18:27:47.107363808,0.9
18:27:48.193444475,2.1
18:27:49.266134594,2.4
18:27:50.347866882,3.3
18:27:51.448372931,2.4
18:27:52.509471247,33.9
18:27:53.620380814,49
18:27:54.798868732,48.9
18:27:55.943948852,49.2
18:27:57.076855505,46
18:27:58.222090829,34.1
18:27:59.364404959,10.1
18:28:00.433609446,3.6
18:28:01.531577049,1.8
18:28:02.593925036,1.8
18:28:03.678137873,1.8
18:28:04.757916290,1.8
18:28:05.823415360,1.8
18:28:06.902013047,3.3
18:28:07.981657033,1.8
18:28:09.049345522,2.4
18:28:10.131957884,2.4
18:28:11.234447340,11.4
18:28:12.352379887,51.5
18:28:13.445846546,46.9
18:28:14.535182274,34.5
18:28:15.633145691,44.4
18:28:16.790413308,53.4
18:28:17.925041490,50.2
18:28:19.119639078,51
18:28:20.227247417,12.9
18:28:21.350636868,5.4
18:28:22.440602116,3.6
18:28:23.523566022,3.9
18:28:24.586616375,4.2
18:28:25.671037827,4.5
18:28:26.731996046,4.5
18:28:27.809596572,1.8
18:28:28.894332291,2.7
18:28:29.972440001,1.2
18:28:31.043861370,2.4
18:28:32.120973767,10.7
18:28:33.167885913,39.2
18:28:34.255698805,50.6
18:28:35.347169450,43.6
18:28:36.455114173,45.3
18:28:37.583987132,40.2
18:28:38.714045243,39.7
18:28:39.832972231,7.4
18:28:40.909411962,2.4
18:28:41.993226207,1.2
18:28:43.054546123,2.4
18:28:44.132790586,2.4
18:28:45.217059149,2.4
18:28:46.279682340,4.9
18:28:47.372552132,1.8
18:28:48.453234397,1.5
18:28:49.511396603,2.7
18:28:50.594548652,2.4
18:28:51.675028204,3.9
18:28:52.758935197,52.3
18:28:53.859803870,52.9
18:28:54.918173414,51.2
18:28:56.009330907,46.6
18:28:57.113983215,51.7
18:28:58.220409319,39.4
18:28:59.316433049,2.7
18:29:00.376634821,2.4
18:29:01.454691554,2.4
18:29:02.521949611,1.8
18:29:03.605649768,1.8
18:29:04.687829561,1.5
18:29:05.752941421,3
18:29:06.838890787,2.7
18:29:07.890345278,7.9
18:29:08.972954596,2.4
18:29:10.058650262,2.1
18:29:11.147776908,29.9
18:29:12.212401781,34.8
18:29:13.312276423,49.6
18:29:14.385458724,50.3
18:29:15.535061017,51.7
18:29:16.705439099,57.3
18:29:17.842869696,55.5
18:29:18.976864935,40.5
18:29:20.031543415,15.6
18:29:21.088150535,2.7
18:29:22.171266400,3.9
18:29:23.260857718,5.7
18:29:24.344968370,5.4
18:29:25.410745309,4
18:29:26.501211778,5.7
18:29:27.608632949,2.7
18:29:28.694673279,1.5
18:29:29.752613043,2.1
18:29:30.836054209,2.4
18:29:31.920523861,39.2
18:29:32.990819480,30.6
18:29:34.130347397,40.1
18:29:35.308433043,42.4
18:29:36.426152931,50.9
18:29:37.533088206,51.2
18:29:38.607819382,32.8
18:29:39.684677011,3
18:29:40.737934741,2.1
18:29:41.819630274,2.1
