hora,cpu
17:11:32.266255365,3.9
17:11:33.424039817,0.9
17:11:34.473795467,1.5
17:11:35.560714783,1.2
17:11:36.640484493,1.2
17:11:37.742456067,1.5
17:11:38.799976342,9.5
17:11:39.889524371,59
17:11:41.003919146,51.8
17:11:42.096803291,22.4
17:11:43.158063680,3
17:11:44.234175917,2.7
17:11:45.307449047,2.4
17:11:46.407846412,2.4
17:11:47.471163746,1.2
17:11:48.550988285,2.1
17:11:49.600035158,1.5
17:11:50.676058401,4.2
17:11:51.755952089,1.5
17:11:52.825481030,1.5
17:11:53.899230101,1.8
17:11:54.980681837,1.5
17:11:56.049328057,2.7
17:11:57.128682291,1.5
17:11:58.174873196,3
17:11:59.252251439,34.7
17:12:00.338139269,50.4
17:12:01.468290048,38.9
17:12:02.584799744,3.9
17:12:03.652846501,1.5
17:12:04.748238271,1.8
17:12:05.816312986,0.9
17:12:06.891749429,2.1
17:12:07.991818814,1.8
17:12:09.049229765,1.2
17:12:10.134016664,2.7
17:12:11.215133213,1.8
17:12:12.278755886,2.7
17:12:13.353848861,1.8
17:12:14.433635973,3
17:12:15.500375385,1.5
17:12:16.579209471,2.7
17:12:17.634255287,3
17:12:18.706529760,7.2
17:12:19.830017925,69.7
17:12:20.917652621,73.5
17:12:22.090121774,39.8
17:12:23.270471296,30.3
17:12:24.933762083,14.8
17:12:26.013145600,5.5
17:12:27.105702689,3.9
17:12:28.186888581,3.3
17:12:29.239085139,2.7
17:12:30.319187069,6
17:12:31.422946632,0.9
17:12:32.477379102,2.7
17:12:33.550358553,1.8
17:12:34.600362911,4.2
17:12:35.678388942,3
17:12:36.756607935,5.1
17:12:37.816851184,3.9
17:12:38.916404120,2.7
17:12:40.000089268,41.3
17:12:41.050476200,53.2
17:12:42.197853923,42.2
17:12:43.282606082,4.5
17:12:44.336336628,1.8
17:12:45.421017789,4.6
17:12:46.522694220,2.7
17:12:47.609106717,3.3
17:12:48.691407876,3.3
17:12:49.793456427,2.4
17:12:50.851944316,4.3
17:12:51.930191211,2.4
17:12:53.012341519,2.1
17:12:54.069930441,2.7
17:12:55.150455956,1.8
17:12:56.233990514,1.8
17:12:57.296985644,2.7
17:12:58.376383495,2.1
17:12:59.455401344,9.6
17:13:00.539156925,51.4
17:13:01.649151320,54.8
17:13:02.731975490,22.5
17:13:03.805992827,2.7
17:13:04.858080276,3.3
17:13:05.941498231,2.4
17:13:06.994820926,3
17:13:08.073646345,3.6
17:13:09.154342635,2.4
17:13:10.214294865,1.2
17:13:11.295267655,2.1
17:13:12.393732172,2.7
17:13:13.501212104,1.8
17:13:14.579867394,1.8
17:13:15.650520015,1.8
17:13:16.733170848,2.7
17:13:17.813376014,2.7
17:13:18.880111820,2.4
17:13:19.962612329,28.3
17:13:21.081310349,54.4
17:13:22.215251823,54
17:13:23.339231785,34.5
17:13:24.474491890,4.6
17:13:25.546509413,3.7
17:13:26.634443774,3.6
17:13:27.714640464,3.3
17:13:28.773838409,2.1
17:13:29.855990863,2.1
17:13:30.934526456,3.9
17:13:31.997959992,1.2
17:13:33.075414958,4.2
17:13:34.158611244,1.5
17:13:35.222240548,3.3
17:13:36.300946955,2.1
17:13:37.381732461,2.1
17:13:38.445165088,1.2
17:13:39.527217142,2.4
17:13:40.607645867,45.9
17:13:41.701770765,44
17:13:42.853121285,32.5
17:13:43.928104456,3.6
17:13:44.979754208,2.7
17:13:46.058963233,1.8
17:13:47.122573486,3.3
17:13:48.197220133,2.1
17:13:49.245423483,2.1
17:13:50.321980842,3
17:13:51.403695304,3.9
17:13:52.468134128,3
17:13:53.549204004,3.6
17:13:54.629986273,2.4
17:13:55.690011464,2.1
17:13:56.770066491,1.5
17:13:57.852279106,3.3
17:13:58.920675179,1.5
17:14:00.006570840,6.8
17:14:01.125076995,49.2
17:14:02.214918772,54.3
17:14:03.305917415,17
17:14:04.376928456,1.5
17:14:05.427286378,3
17:14:06.526864859,2.4
17:14:07.600710717,2.4
17:14:08.680616435,1.8
17:14:09.735739578,2.1
17:14:10.815011073,3.6
17:14:11.894579023,3.3
17:14:13.003201495,1.2
17:14:14.067702802,1.8
17:14:15.146511474,3.3
17:14:16.243657542,2.4
17:14:17.305740154,4.2
17:14:18.391380289,2.4
17:14:19.471685503,3.9
17:14:20.539593802,42.7
17:14:21.645892771,53.6
17:14:22.805957792,58.3
17:14:24.017860803,15.9
17:14:25.129119942,5.5
17:14:26.199514045,5.5
17:14:27.286896799,3.6
17:14:28.367803597,2.1
17:14:29.446853371,3.6
17:14:30.515150025,5.5
17:14:31.593520213,3
17:14:32.672682164,2.7
17:14:33.747077473,3.3
17:14:34.825028852,4.8
17:14:35.925271978,3
17:14:36.989365668,1.5
17:14:38.069437131,2.1
17:14:39.129150683,1.5
17:14:40.208172562,6.3
17:14:41.310652431,48.9
17:14:42.387082495,50.6
17:14:43.443602356,21.8
17:14:44.522281881,2.7
17:14:45.581086202,2.7
17:14:46.658926663,2.1
17:14:47.767352106,2.7
17:14:48.849707119,1.2
17:14:49.928613035,3.3
17:14:51.002223873,2.7
17:14:52.083119771,4.2
17:14:53.182788946,1.8
17:14:54.245376452,3
17:14:55.323558450,1.5
17:14:56.400465193,1.5
17:14:57.470495722,1.8
17:14:58.552035297,1.5
17:14:59.631465871,3.9
17:15:00.741536217,41
17:15:01.820758506,34.6
17:15:02.959890870,44.6
17:15:04.143489958,4.2
17:15:05.219136476,3
17:15:06.324519126,3.3
17:15:07.425250289,3
17:15:08.505579117,3.6
17:15:09.577684238,1.5
17:15:10.660747941,3
17:15:11.743332894,3
17:15:12.806352903,1.8
17:15:13.906751811,2.7
17:15:14.989079778,1.5
17:15:16.042437959,2.1
17:15:17.121506617,3
17:15:18.220398232,2.4
17:15:19.281200685,2.7
17:15:20.360888342,8.8
17:15:21.479683481,55.5
17:15:22.653077265,62.6
17:15:23.791685151,31.2
17:15:24.913127454,11.8
17:15:25.993970404,3.1
17:15:27.050641405,5.1
17:15:28.139610500,4.9
17:15:29.221141563,2.1
17:15:30.275578299,2.1
17:15:31.353805938,2.1
17:15:32.438024477,2.7
17:15:33.497106961,1.8
17:15:34.578902124,2.1
17:15:35.662987845,1.2
17:15:36.729440227,2.7
17:15:37.806784263,2.1
17:15:38.884293451,1.5
17:15:39.954018984,2.1
17:15:41.031357076,25.1
17:15:42.138561399,41.2
17:15:43.219321445,53.5
17:15:44.287439165,13.2
17:15:45.329570002,2.7
17:15:46.405491058,2.1
17:15:47.481917317,1.2
17:15:48.544182667,2.7
17:15:49.621464750,3.3
17:15:50.721689251,4.2
17:15:51.772418670,2.1
17:15:52.853364319,2.7
17:15:53.935516470,1.5
17:15:54.996290616,1.8
17:15:56.083288463,3
17:15:57.184390237,2.4
17:15:58.284605034,2.5
17:15:59.383844367,2.1
17:16:00.445684485,5.7
17:16:01.522577484,27.4
17:16:02.582728181,45.6
17:16:03.724895120,35.1
17:16:04.813622992,7
17:16:05.945973889,2.4
17:16:07.049170214,3.6
17:16:08.114341496,3.3
17:16:09.196498147,2.1
17:16:10.275197575,2.4
17:16:11.342027592,2.1
17:16:12.424154184,3.3
17:16:13.500704244,1.5
17:16:14.565358277,3
17:16:15.645019669,3
17:16:16.726405424,3.6
17:16:17.789362377,3.3
17:16:18.891537017,2.4
17:16:19.970797414,2.4
17:16:21.056590218,3.9
17:16:22.125782023,57
17:16:23.237834723,48.2
17:16:24.458861890,38.8
17:16:25.522381586,21
17:16:26.574092652,5.2
17:16:27.685141234,5.7
17:16:28.771177564,6.4
17:16:29.877189713,2.1
17:16:30.954745672,6.4
17:16:32.055052070,2.4
17:16:33.155610859,3.3
17:16:34.262267163,2.1
17:16:35.327804590,0.9
17:16:36.411902116,2.7
17:16:37.494955583,2.4
17:16:38.557764583,2.4
17:16:39.639155921,3.3
17:16:40.737752312,4.8
17:16:41.802048173,34.2
17:16:42.886960839,49.5
17:16:44.026407402,41.3
17:16:45.126969191,3.6
17:16:46.180125370,1.5
17:16:47.241793789,3.3
17:16:48.346279143,3
17:16:49.425620372,3.6
17:16:50.528308389,3.4
17:16:51.579847173,1.8
17:16:52.632930894,1.5
17:16:53.695067008,1.2
17:16:54.785059728,2.1
17:16:55.867353012,2.7
17:16:56.925578987,1.8
17:16:58.003817552,1.8
17:16:59.081001954,2.4
17:17:00.144825444,4.8
17:17:01.231379788,1.5
17:17:02.280541329,51.2
17:17:03.371922776,52.5
17:17:04.424962468,22.7
17:17:05.504916532,2.1
17:17:06.584126066,2.1
17:17:07.666206676,3
17:17:08.723783731,2.1
17:17:09.802281702,3
17:17:10.908851798,3.9
17:17:11.990957245,1.8
17:17:13.052888434,3
17:17:14.134245705,1.5
