hora,e_core,e_ram,cpu,mem_used
05:03:55.828320267,0.22,0.33,2,2486332
05:03:57.173665922,0.32,0.34,1,2487012
05:03:58.513883743,0.23,0.34,2,2487176
05:03:59.871579506,0.16,0.32,2,2485492
05:04:01.222149751,0.20,0.31,1,2484268
05:04:02.563953448,0.18,0.33,2,2483152
05:04:03.910620094,0.11,0.30,0,2484316
05:04:05.268068361,0.13,0.29,0,2483572
05:04:06.627515130,0.34,0.30,0,2483288
05:04:07.979750459,0.09,0.29,1,2482776
05:04:09.319687440,0.11,0.29,0,2482900
05:04:10.667459510,0.15,0.30,0,2482720
05:04:12.000196818,0.09,0.29,0,2482940
05:04:13.354741944,0.13,0.29,0,2482700
05:04:14.711328996,0.12,0.30,0,2480420
05:04:16.055617413,0.38,0.34,3,2478532
05:04:17.398367004,0.23,0.34,1,2477700
05:04:18.744156238,0.24,0.32,2,2476008
05:04:20.087244159,0.60,0.31,2,2474508
05:04:21.438377274,0.21,0.30,2,2473696
05:04:22.783027863,0.20,0.33,2,2473796
05:04:24.135475666,0.17,0.31,2,2472408
05:04:25.487620016,0.21,0.30,0,2469016
05:04:26.839978251,0.10,0.29,0,2468984
05:04:28.195906382,0.09,0.29,0,2468680
05:04:29.535096582,0.08,0.30,0,2468640
05:04:30.876929009,0.07,0.29,1,2468636
05:04:32.239837134,0.14,0.29,0,2468676
05:04:33.587487751,0.08,0.29,0,2468652
05:04:34.939951369,0.12,0.30,0,2465312
05:04:36.286005406,0.16,0.29,0,2464612
05:04:37.628462027,0.47,0.33,1,2461260
05:04:38.961895020,0.42,0.32,0,2457404
05:04:40.283496055,0.37,0.32,1,2455088
05:04:41.609202513,0.34,0.31,2,2451984
05:04:42.928597214,0.33,0.31,1,2447852
05:04:44.248296608,0.38,0.32,2,2441688
05:04:45.570054839,0.45,0.31,2,2439372
05:04:46.898033466,0.31,0.32,1,2435840
05:04:48.224157830,0.21,0.30,0,2434120
05:04:49.551499192,0.22,0.30,0,2433204
05:04:50.886934579,0.14,0.29,0,2432692
