hora,e_core,e_ram,cpu,mem_used
04:08:58.157961065,0.04,0.29,0,2664528
04:08:59.506237203,0.04,0.29,0,2664860
04:09:00.846676758,0.05,0.29,1,2661920
04:09:02.197133968,0.04,0.29,0,2661896
04:09:03.546613611,0.04,0.30,0,2660704
04:09:04.897289002,0.05,0.30,0,2663404
04:09:06.248988467,0.04,0.29,1,2663240
04:09:07.600084400,0.05,0.30,0,2662940
04:09:08.939141985,0.06,0.29,0,2663212
04:09:10.284788095,0.05,0.29,0,2663484
04:09:11.637995249,0.08,0.30,0,2663384
04:09:12.988088748,0.06,0.30,0,2663336
04:09:14.338134015,0.04,0.29,1,2663236
04:09:15.687636617,0.08,0.30,0,2662820
04:09:17.028364849,0.05,0.29,0,2663128
04:09:18.377889290,0.03,0.29,0,2662912
04:09:19.727427485,0.07,0.30,0,2663116
04:09:21.075646941,0.05,0.29,0,2662996
04:09:22.425641939,0.05,0.29,1,2662292
04:09:23.782232597,0.08,0.30,1,2663048
04:09:25.133204894,0.04,0.29,0,2662536
04:09:26.478130872,0.04,0.29,0,2662760
04:09:27.832977533,0.07,0.30,0,2662760
04:09:29.179685923,0.04,0.29,1,2663008
04:09:30.526109469,0.05,0.29,0,2662656
04:09:31.883664905,0.08,0.30,0,2662564
04:09:33.224283454,0.05,0.29,1,2662472
04:09:34.570443196,0.16,0.30,0,2661776
04:09:35.916315385,0.06,0.30,1,2662616
04:09:37.256505201,0.04,0.29,1,2662020
04:09:38.609936922,0.05,0.29,0,2662440
04:09:39.958264346,0.07,0.30,0,2661760
04:09:41.301904924,1.04,0.34,3,2660096
04:09:42.634355153,0.21,0.33,2,2659376
04:09:43.974450551,0.21,0.31,3,2656532
04:09:45.310747936,0.19,0.33,5,2655920
04:09:46.656067223,0.27,0.33,1,2655660
04:09:48.004555743,0.18,0.31,0,2655188
04:09:49.345866139,0.08,0.29,1,2654808
04:09:50.688393591,0.07,0.29,0,2655636
04:09:52.050932385,0.09,0.30,0,2655328
04:09:53.393946379,0.10,0.29,0,2655592
04:09:54.742017177,0.12,0.30,0,2654824
04:09:56.092834977,0.11,0.30,1,2655088
04:09:57.442769130,0.08,0.29,0,2654868
04:09:58.797589251,0.10,0.29,0,2654740
04:10:00.152085822,0.10,0.29,0,2653404
04:10:01.494664436,0.10,0.29,2,2653536
04:10:02.843792517,0.21,0.30,2,2652852
04:10:04.187293890,0.08,0.31,8,2652528
04:10:05.538245019,0.12,0.32,3,2652052
04:10:06.891681612,0.15,0.31,1,2650700
04:10:08.237053325,0.30,0.31,2,2650772
04:10:09.580577561,0.08,0.29,1,2650892
04:10:10.924785591,0.07,0.29,2,2650448
04:10:12.279480580,0.11,0.29,0,2650328
04:10:13.618705165,0.08,0.29,0,2650780
04:10:14.973913778,0.09,0.30,0,2650092
04:10:16.314821177,0.10,0.29,0,2650100
04:10:17.670560256,0.12,0.29,0,2649084
04:10:19.024106541,0.06,0.29,0,2649136
04:10:20.368052867,0.13,0.29,0,2649596
04:10:21.723358100,0.11,0.29,0,2649884
04:10:23.073049454,0.08,0.29,1,2649400
04:10:24.415307270,0.62,0.37,5,2587956
04:10:25.743685303,0.86,0.35,1,2559592
04:10:27.066023897,0.73,0.32,0,2557120
04:10:28.389850629,0.54,0.31,3,2555920
04:10:29.718761437,0.55,0.31,3,2555312
04:10:31.043640275,0.38,0.32,0,2554724
04:10:32.373062191,0.18,0.29,0,2553568
04:10:33.723008929,0.15,0.29,0,2553984
04:10:35.069492654,0.10,0.29,0,2552604
04:10:36.421648863,0.09,0.29,0,2551884
04:10:37.767445436,0.09,0.29,0,2551832
04:10:39.114621940,0.08,0.29,0,2552048
04:10:40.450819618,0.11,0.29,0,2551612
04:10:41.799999852,0.09,0.29,0,2552004
04:10:43.151728858,0.05,0.29,0,2550976
04:10:44.506394094,0.20,0.30,2,2548952
04:10:45.850240675,0.17,0.31,1,2547220
04:10:47.191591263,0.22,0.33,3,2546396
04:10:48.538351701,0.18,0.34,2,2546416
04:10:49.880235355,0.14,0.32,0,2546084
04:10:51.233927365,0.10,0.29,3,2546188
04:10:52.587487174,0.08,0.29,0,2545604
04:10:53.935911733,0.07,0.30,0,2543976
04:10:55.288755600,0.09,0.29,0,2542804
04:10:56.639194321,0.10,0.29,0,2542300
04:10:57.992007821,0.11,0.29,0,2542076
04:10:59.340891410,0.10,0.29,0,2542620
04:11:00.689516601,0.09,0.29,0,2542380
04:11:02.026107378,0.11,0.29,0,2542448
04:11:03.387859939,0.13,0.29,0,2542112
04:11:04.738628949,0.11,0.30,1,2539244
04:11:06.090368800,0.23,0.35,2,2537916
04:11:07.442210790,0.19,0.35,1,2536764
04:11:08.797535544,0.14,0.31,2,2535444
04:11:10.147124020,0.16,0.33,1,2534464
04:11:11.488839260,0.10,0.32,0,2533836
04:11:12.844082124,0.20,0.30,0,2533564
04:11:14.187368610,0.12,0.29,1,2531184
04:11:15.530157587,0.10,0.29,0,2530648
04:11:16.879656994,0.08,0.29,0,2531272
04:11:18.219673142,0.09,0.30,0,2530768
04:11:19.567861062,0.07,0.29,0,2530764
04:11:20.919068418,0.10,0.29,0,2530904
04:11:22.266622832,0.09,0.30,1,2530416
04:11:23.610618896,0.09,0.29,1,2530372
04:11:24.954516094,0.10,0.29,1,2528040
04:11:26.313277646,0.43,0.32,5,2525180
04:11:27.640896891,0.52,0.31,14,2520908
04:11:28.967066207,0.39,0.33,1,2517192
04:11:30.290709370,0.83,0.33,4,2513500
04:11:31.614739024,0.32,0.31,1,2511416
04:11:32.946615709,0.54,0.31,0,2509440
04:11:34.277431006,0.12,0.30,4,2505784
04:11:35.616979978,0.11,0.30,0,2505396
04:11:36.966300325,0.15,0.30,0,2504992
04:11:38.314154380,0.11,0.29,0,2505388
04:11:39.665941851,0.09,0.29,1,2505348
04:11:41.002198065,0.11,0.29,0,2504120
04:11:42.351588764,0.13,0.30,0,2504236
04:11:43.685079701,0.07,0.29,0,2503960
04:11:45.040382965,0.19,0.29,0,2501328
04:11:46.391631846,0.16,0.30,2,2501068
04:11:47.734796397,0.25,0.30,4,2499872
04:11:49.066273767,0.17,0.33,2,2498472
04:11:50.407590738,0.19,0.33,2,2497780
04:11:51.761817276,0.12,0.31,1,2495272
04:11:53.102566309,0.83,0.30,0,2495284
04:11:54.450929525,0.13,0.29,1,2492120
04:11:55.804757592,0.11,0.29,0,2493220
04:11:57.159288428,0.05,0.30,0,2493456
04:11:58.511367904,0.13,0.29,0,2493104
04:11:59.861362954,0.12,0.29,1,2492996
04:12:01.223505526,0.11,0.29,0,2493152
04:12:02.565859302,0.13,0.29,0,2492752
04:12:03.920209342,0.08,0.29,1,2490844
04:12:05.276691656,0.15,0.29,0,2490100
04:12:06.620526412,0.14,0.29,2,2489872
04:12:07.970935966,0.14,0.33,12,2477100
04:12:09.301382372,1.63,0.36,2,2468216
04:12:10.635231180,0.16,0.33,3,2466600
04:12:11.979413124,0.11,0.32,1,2473416
04:12:13.325117057,0.08,0.29,0,2471872
04:12:14.678607787,0.14,0.30,0,2469136
04:12:16.015045197,0.16,0.29,0,2468876
04:12:17.363803623,0.08,0.29,0,2469512
04:12:18.709895090,0.11,0.29,0,2469200
04:12:20.054270968,0.09,0.29,0,2468432
04:12:21.399988802,0.09,0.29,0,2468224
04:12:22.751007744,0.14,0.29,0,2469692
04:12:24.099492473,0.13,0.29,0,2467304
04:12:25.451077119,0.13,0.29,0,2467040
04:12:26.802984294,0.12,0.29,0,2466120
04:12:28.142448002,0.57,0.31,2,2463100
04:12:29.471302731,0.44,0.32,0,2458860
04:12:30.796181395,0.44,0.31,1,2454916
04:12:32.121750178,0.41,0.32,2,2451440
04:12:33.440897040,0.27,0.31,0,2449320
04:12:34.761711206,0.20,0.30,0,2444660
04:12:36.115620830,0.32,0.30,0,2443240
