hora,e_core,e_ram,cpu,mem_used
04:47:58.182127181,0.08,0.30,0,2695480
04:47:59.530545034,0.04,0.29,1,2695232
04:48:00.873659427,0.04,0.30,0,2695144
04:48:02.222476848,0.11,0.30,0,2695324
04:48:03.559666535,0.05,0.29,1,2695036
04:48:04.901417156,0.11,0.30,0,2694220
04:48:06.251665827,0.05,0.29,0,2694212
04:48:07.595785021,0.06,0.30,0,2694436
04:48:08.933747617,0.05,0.29,0,2694288
04:48:10.286001567,0.03,0.29,0,2693804
04:48:11.628994497,0.05,0.29,0,2694112
04:48:12.974792631,0.07,0.30,0,2694420
04:48:14.330905467,0.04,0.29,0,2686336
04:48:15.679656880,0.05,0.29,1,2684932
04:48:17.031960351,0.04,0.29,0,2684732
04:48:18.383831555,0.05,0.29,0,2685120
04:48:19.732083050,0.05,0.30,1,2684940
04:48:21.088156370,0.04,0.29,1,2684708
04:48:22.433601052,0.04,0.29,0,2684480
04:48:23.781040252,0.05,0.30,1,2684336
04:48:25.127722445,0.18,0.30,0,2683272
04:48:26.479691087,0.04,0.29,0,2682768
04:48:27.827727506,0.04,0.29,0,2682740
04:48:29.174361957,0.06,0.30,0,2683200
04:48:30.530586487,0.05,0.29,0,2683360
04:48:31.883717761,0.04,0.29,0,2682644
04:48:33.222820099,0.05,0.30,0,2682576
04:48:34.583952047,0.04,0.29,1,2682644
04:48:35.933060279,0.04,0.30,0,2682004
04:48:37.286730064,0.04,0.30,0,2682124
04:48:38.632089671,0.04,0.29,1,2682148
04:48:39.981923484,0.05,0.29,0,2682344
04:48:41.319364873,1.33,0.36,5,2680404
04:48:42.667714565,0.15,0.34,0,2679328
04:48:44.020080449,0.27,0.34,3,2676096
04:48:45.361023267,0.11,0.32,2,2675544
04:48:46.724006850,0.26,0.31,3,2675204
04:48:48.065497444,0.22,0.32,3,2675204
04:48:49.403136173,0.16,0.32,2,2674992
04:48:50.755547314,0.09,0.29,1,2675644
04:48:52.084892411,0.11,0.30,0,2675460
04:48:53.427864080,0.25,0.29,0,2675560
04:48:54.789448635,0.10,0.29,1,2674988
04:48:56.130657753,0.13,0.30,0,2675428
04:48:57.476858626,0.06,0.29,0,2675164
04:48:58.829394702,0.11,0.29,0,2674064
04:49:00.186623050,0.16,0.30,0,2671792
04:49:01.529236798,0.07,0.29,0,2671752
04:49:02.885205851,0.14,0.30,4,2673008
04:49:04.229749151,0.21,0.32,2,2672896
04:49:05.574580558,0.14,0.34,1,2672808
