hora,e_core,e_ram,cpu,mem_used
03:42:58.147594268,0.05,0.29,0,2686164
03:42:59.509554865,0.04,0.30,0,2685604
03:43:00.850114432,0.05,0.29,0,2686328
03:43:02.200256055,0.04,0.29,0,2685760
03:43:03.550352103,0.06,0.29,0,2685688
03:43:04.902224958,0.08,0.30,1,2685368
03:43:06.252266230,0.04,0.29,0,2684956
03:43:07.602066765,0.07,0.30,0,2685452
03:43:08.946330321,0.05,0.30,0,2685224
03:43:10.293970093,0.04,0.29,0,2685496
03:43:11.643368009,0.07,0.29,0,2685224
03:43:12.991893657,0.06,0.30,0,2685460
03:43:14.341787849,0.04,0.29,1,2685596
03:43:15.690432806,0.05,0.30,0,2685340
03:43:17.043424631,0.04,0.30,0,2685236
03:43:18.390152935,0.05,0.29,0,2685204
03:43:19.739698735,0.11,0.30,0,2685144
03:43:21.087615053,0.04,0.29,0,2685444
03:43:22.436184454,0.05,0.30,1,2684872
03:43:23.787480682,0.09,0.30,0,2685680
03:43:25.129844286,0.04,0.30,0,2676656
03:43:26.474031829,0.04,0.30,0,2676416
03:43:27.822796321,0.09,0.30,0,2676676
03:43:29.169640470,0.04,0.29,0,2676404
03:43:30.526124614,0.04,0.30,0,2676636
03:43:31.874609429,0.07,0.30,0,2676372
03:43:33.226378207,0.04,0.29,0,2676060
03:43:34.580201363,0.03,0.30,3,2658880
03:43:35.917141041,0.08,0.30,0,2659476
03:43:37.268450834,0.05,0.29,1,2659268
03:43:38.626472106,0.05,0.29,0,2658892
03:43:39.980710053,0.08,0.30,0,2659052
03:43:41.321308948,0.52,0.34,2,2657300
03:43:42.670891374,0.24,0.33,2,2656104
03:43:44.022057406,0.27,0.32,2,2652972
03:43:45.361376219,0.29,0.32,0,2652892
03:43:46.707335945,0.09,0.29,0,2652496
03:43:48.056082558,0.29,0.31,0,2652628
03:43:49.407920530,0.08,0.29,0,2652600
03:43:50.753583941,0.08,0.29,0,2652476
03:43:52.102432302,0.13,0.30,0,2652584
03:43:53.447948878,0.06,0.29,1,2652420
03:43:54.797090882,0.17,0.30,0,2652584
03:43:56.150922812,0.08,0.29,0,2652676
03:43:57.502711448,0.11,0.29,0,2652420
03:43:58.849654858,0.07,0.29,0,2652256
03:44:00.193254466,0.11,0.29,0,2651180
03:44:01.551658339,0.09,0.29,1,2650924
03:44:02.903654826,0.23,0.36,0,2650580
03:44:04.255587538,0.18,0.35,4,2649900
03:44:05.596693138,0.18,0.32,2,2649996
03:44:06.945460788,1.07,0.31,0,2650256
03:44:08.287844145,0.09,0.30,0,2649788
03:44:09.642622112,0.24,0.29,0,2649728
03:44:10.985644284,0.08,0.29,0,2649828
03:44:12.329544647,0.07,0.29,1,2649972
03:44:13.677371281,0.07,0.29,1,2649948
03:44:15.025882940,0.05,0.29,0,2649608
03:44:16.379239545,0.07,0.29,0,2649284
03:44:17.740511567,0.07,0.29,0,2649616
03:44:19.087364182,0.09,0.29,0,2649940
03:44:20.432621753,0.08,0.29,0,2649052
03:44:21.792104636,0.08,0.29,0,2649064
03:44:23.143499720,0.34,0.34,5,2623376
03:44:24.462289667,0.96,0.34,3,2555140
03:44:25.795277292,1.10,0.33,0,2552344
03:44:27.123400946,0.80,0.32,3,2551592
03:44:28.442415296,0.26,0.31,0,2551320
03:44:29.775985248,0.06,0.29,0,2550512
03:44:31.111937589,0.13,0.29,1,2551100
03:44:32.460895734,0.15,0.29,0,2550504
03:44:33.804947601,0.07,0.30,0,2550808
03:44:35.143986707,0.07,0.30,0,2550832
03:44:36.495133762,0.12,0.29,0,2550696
03:44:37.856367094,0.09,0.29,0,2550840
03:44:39.192936221,0.09,0.29,1,2550972
03:44:40.545856206,0.13,0.29,0,2550400
03:44:41.894680154,0.10,0.29,0,2550504
03:44:43.243780792,0.07,0.29,1,2549796
03:44:44.588196780,0.16,0.33,4,2548240
03:44:45.943029057,0.16,0.30,1,2548384
03:44:47.292305957,0.28,0.33,1,2548336
03:44:48.639720344,0.17,0.29,0,2548340
03:44:49.995168245,0.14,0.30,0,2548236
03:44:51.350299281,0.09,0.29,1,2548592
03:44:52.702654834,0.07,0.29,0,2548004
03:44:54.056891515,0.10,0.30,0,2547080
03:44:55.407299529,0.07,0.29,0,2546616
03:44:56.758835924,0.07,0.29,0,2546584
03:44:58.119333896,0.10,0.30,0,2546796
03:44:59.462888676,0.08,0.29,1,2546712
03:45:00.816422179,0.12,0.29,0,2546820
03:45:02.171246198,0.11,0.30,0,2546544
03:45:03.526354406,0.09,0.29,0,2546776
03:45:04.866586750,0.23,0.36,0,2545992
03:45:06.222249648,0.86,0.35,1,2545072
03:45:07.562159843,0.20,0.34,2,2544696
03:45:08.902865774,0.14,0.30,0,2544880
03:45:10.240286577,0.10,0.30,0,2544236
03:45:11.595951657,0.09,0.29,1,2544464
03:45:12.949301458,0.13,0.30,0,2544252
03:45:14.296366159,0.08,0.30,1,2542376
03:45:15.640152404,0.13,0.29,0,2542324
03:45:16.984515917,0.10,0.29,0,2542452
03:45:18.341388312,0.08,0.30,0,2542404
03:45:19.691595754,0.09,0.29,0,2542568
03:45:21.034717749,0.09,0.29,0,2542428
03:45:22.391496458,0.10,0.29,1,2542480
03:45:23.739444136,0.08,0.30,0,2541240
03:45:25.089981893,0.32,0.33,5,2537004
