horaEjecucion,cpu,mem_used
14:56:28.520643998,6.2,784792
14:56:30.052718653,1.7,784736
14:56:31.608758874,1,784692
14:56:33.164735606,1.3,784800
14:56:34.659635538,1,784436
14:56:36.175067145,1.4,784592
14:56:37.729665915,5.6,780444
14:56:39.169106678,1.4,779800
14:56:40.652221665,1,779484
14:56:42.168682643,1.3,779536
14:56:43.673009667,1,779652
14:56:45.187667112,11.4,772660
14:56:46.704664129,14.4,772564
14:56:48.247445506,21.4,770912
14:56:49.749290407,15.8,772612
14:56:51.247698969,8.1,776072
14:56:52.796914119,4.9,777220
14:56:54.270769775,1.3,777504
14:56:55.784200507,1.7,777676
14:56:57.288978520,1,777776
14:56:58.803623361,0.6,777528
14:57:00.303784780,1,777708
14:57:01.769476829,1,777772
14:57:03.280734811,0.7,778028
14:57:04.805309451,16.7,772204
14:57:06.376790956,20.1,771244
14:57:07.920896182,30.4,771360
14:57:09.392230704,22.9,773236
14:57:10.889957188,2.4,775680
14:57:12.378715171,3.4,776992
14:57:13.896905882,1.4,777212
14:57:15.374271027,1,777356
14:57:16.830547992,1,777140
14:57:18.344266677,1.3,777288
14:57:19.902558883,1.3,777280
14:57:21.428755209,1,777264
14:57:22.929968319,1,777288
14:57:24.443423234,20,772628
14:57:25.960156935,18.3,770660
14:57:27.481576708,17.7,771724
14:57:28.928271240,20,773768
14:57:30.409362172,5.5,774992
14:57:31.880632966,4.5,776488
14:57:33.405563995,2.4,776768
14:57:34.918898541,2.7,776904
14:57:36.373150506,3.1,776892
14:57:37.889897232,2.7,776828
14:57:39.431457765,3.7,776768
14:57:40.999909330,1.7,776464
14:57:42.563507653,1.4,776876
14:57:44.099491421,16,770300
14:57:45.592791979,16,770620
14:57:47.042145636,13.8,771888
14:57:48.555812484,7.4,773524
14:57:50.082480401,3.1,775028
14:57:51.613804755,1.7,776228
14:57:53.078620163,1,776028
14:57:54.596446751,1,775928
14:57:56.155785947,1,776292
14:57:57.638299440,1,776256
14:57:59.091072920,1,776324
14:58:00.556080444,1.3,775988
14:58:02.070261568,1.4,770400
14:58:03.607713229,15.2,770128
14:58:05.202464117,17.5,771624
14:58:06.660848323,21.5,770664
14:58:08.164111575,5.6,774088
14:58:09.666409839,4,775248
14:58:11.201057489,1,775724
14:58:12.716075322,1,775612
14:58:14.276622770,1,775748
14:58:15.789778336,1,775756
14:58:17.300479393,1,775616
14:58:18.809033700,1,775672
14:58:20.322809594,1,776052
14:58:21.826730869,18.1,769476
14:58:23.311057535,19.6,770264
14:58:24.810164061,15.8,769132
14:58:26.364755767,19.3,771940
14:58:27.909952174,7.6,774144
14:58:29.382668417,4.8,775108
14:58:30.856620856,4.1,775512
14:58:32.330592780,3.8,775428
14:58:33.786223678,3.1,775288
14:58:35.254279766,3.5,775416
14:58:36.721676488,3.4,775560
14:58:38.250593562,3.4,775172
14:58:39.815837812,1,775156
14:58:41.309178610,21.4,769424
14:58:42.802204624,18.6,769660
14:58:44.290888120,17.2,768632
14:58:45.829987505,23.4,770512
14:58:47.273002755,6.2,773860
14:58:48.813185793,1,774324
14:58:50.327618944,1,774456
14:58:51.840937525,1.3,774408
14:58:53.396827099,1.4,774448
14:58:54.891176279,1,774432
14:58:56.360326870,1,774456
14:58:57.871329396,1.3,774416
14:58:59.433730882,1,774456
14:59:00.974880057,23.3,769000
14:59:02.511890462,19.3,767540
14:59:03.964633684,20.7,768412
14:59:05.457351405,15.8,771396
14:59:07.000833090,3.8,773064
14:59:08.519442018,1.4,773772
14:59:10.065946665,1,774288
14:59:11.606357710,1.3,774140
14:59:13.108258009,1,774172
14:59:14.574803843,1,774024
14:59:16.089115274,1,774008
14:59:17.653071094,1.4,774032
14:59:19.163013606,0.6,774220
14:59:20.717841630,18.2,769176
14:59:22.195982109,21.2,767844
14:59:23.738393710,17.3,768884
14:59:25.222633746,12.7,771480
14:59:26.757916965,6.3,772892
14:59:28.272811409,2,773612
14:59:29.734481599,1,774240
14:59:31.200292968,1,773744
14:59:32.717777985,5.9,773644
14:59:34.235562745,2.1,774040
14:59:35.740131342,2.8,773916
14:59:37.204759042,1,773612
14:59:38.713084397,1,773860
14:59:40.224153700,26.7,767168
14:59:41.717298534,18.8,767812
14:59:43.239194657,14.4,768304
14:59:44.719812807,8.4,771448
14:59:46.198648369,2.7,772848
14:59:47.654565586,1,773076
14:59:49.117254277,1,773320
14:59:50.629201894,1,773212
14:59:52.157937279,1,773288
14:59:53.660696368,1,773316
14:59:55.176291011,1,773108
14:59:56.736727211,1,773220
14:59:58.265283192,1.3,767616
14:59:59.792090700,25.4,767000
15:00:01.296591837,19.2,768960
15:00:02.831686285,15.7,767756
15:00:04.334528120,6.5,771004
15:00:05.812487297,2.8,772636
15:00:07.286288432,1,773016
15:00:08.799927665,1,773116
15:00:10.302453481,1,773056
15:00:11.817853913,0.7,773180
15:00:13.373442025,1,773132
15:00:14.901912753,1.3,773224
15:00:16.458819879,1,773116
15:00:17.996008273,21.1,767604
15:00:19.522128876,22.9,767852
15:00:21.044302110,17.9,767072
15:00:22.620450966,23.5,768936
15:00:24.106304012,3.4,771396
15:00:25.656270169,3.5,772520
15:00:27.139112670,3.5,772900
15:00:28.604613509,2,772536
15:00:30.073131678,2.1,772752
15:00:31.540699754,2.7,773160
15:00:32.995378275,3.4,772976
15:00:34.519698418,2.4,772948
15:00:35.975970741,1,772752
15:00:37.431588490,17.7,767528
15:00:38.877516353,19.1,768328
15:00:40.356134912,17.5,766872
15:00:41.888769926,17.3,768804
15:00:43.383929386,3.4,770936
15:00:44.883307784,5.2,771984
15:00:46.404741368,1.7,772528
15:00:47.893373902,0.6,772636
15:00:49.349766319,1,772724
15:00:50.816702011,1.4,772760
15:00:52.327071931,1.3,772552
15:00:53.858228451,1.4,772900
15:00:55.395911760,1,772692
15:00:56.953218864,24.3,767792
15:00:58.469433404,25.6,765668
15:00:59.993588162,17.4,766124
15:01:01.505201176,14.5,768912
15:01:03.006180507,2,771284
15:01:04.525627756,1,772024
15:01:06.071351104,1.3,772000
15:01:07.575995271,1.3,771728
15:01:09.041833005,1,772124
15:01:10.553254434,1,771968
15:01:12.040773924,1,772000
15:01:13.491225199,1,772172
15:01:15.003250700,1.4,772000
15:01:16.514111474,20.6,765708
15:01:18.052525215,19,765988
15:01:19.531429622,19.9,767072
15:01:21.044468365,17.4,769544
15:01:22.535833020,4.5,770476
15:01:24.014035570,2.7,771160
15:01:25.479455959,2.3,771572
15:01:26.945568327,2.4,771200
15:01:28.406318700,3.4,771496
15:01:29.857549913,2.7,771680
15:01:31.381193313,1.4,771488
15:01:32.916274567,2.3,771516
15:01:34.464710279,2.4,771408
15:01:35.981430868,22.3,764948
15:01:37.484687061,18.5,765732
15:01:38.946626571,18.3,765864
15:01:40.479172029,6.2,768656
15:01:42.007273402,2.8,769760
15:01:43.568773858,1.4,770448
15:01:45.088242269,1.3,770952
15:01:46.541031594,1,770880
15:01:48.010057495,1,771052
15:01:49.521471592,1.7,770732
15:01:51.049996166,1,770912
15:01:52.607749951,1,770888
15:01:54.095481698,5.4,765292
15:01:55.618772045,17.1,765800
15:01:57.171721808,26.2,766076
15:01:58.652668295,17.9,766120
15:02:00.185554016,8.7,769308
15:02:01.667024987,1.3,769848
15:02:03.141881781,1,770420
15:02:04.611607775,1,770436
15:02:06.083209179,1,770428
15:02:07.598701845,1.4,770320
15:02:09.144330226,1,770428
15:02:10.684421509,0.7,770552
15:02:12.206559617,1,770412
15:02:13.706115673,18.5,765060
15:02:15.216514014,23.3,765892
15:02:16.756182659,18.3,763568
15:02:18.253821602,18.3,766024
15:02:19.746599796,3.8,769172
15:02:21.265436022,4.5,769788
15:02:22.721073812,2.8,770012
15:02:24.191968237,2,769832
15:02:25.708987661,3,769940
15:02:27.232392106,2.4,769784
15:02:28.792046815,1.7,769828
15:02:30.311859622,2.4,769908
15:02:31.783499218,3.7,769872
15:02:33.235276901,29.5,764936
15:02:34.682209720,20.6,765172
15:02:36.180514435,18.3,763272
15:02:37.638116992,15.8,766004
15:02:39.149740962,3.5,768740
15:02:40.624085826,2.1,770116
15:02:42.091359328,1.3,770328
15:02:43.560292407,1,770064
15:02:45.027172221,1,770244
15:02:46.543432226,1.3,770108
15:02:48.049753176,1,770096
15:02:49.561117539,1.3,770096
15:02:51.059876196,1,770172
15:02:52.570946246,25.6,764936
15:02:54.095870075,20.6,763272
15:02:55.618657722,23.6,763900
15:02:57.124466927,19.9,767016
15:02:58.612788631,2.4,768016
15:03:00.130846889,2,768952
15:03:01.648488851,2.1,769516
15:03:03.170763031,1.4,769440
15:03:04.675645645,1,769664
15:03:06.191425077,1.3,769772
15:03:07.688127954,1,769896
15:03:09.199490127,1.3,770184
15:03:10.675768647,1,770012
15:03:12.187855615,24.1,765940
15:03:13.724093230,17.7,763240
15:03:15.302714569,18.9,764540
15:03:16.799558509,18.6,767488
15:03:18.284719393,4.5,768856
15:03:19.809600734,2.4,769068
15:03:21.302555383,2.4,769084
15:03:22.815198362,1.3,769480
15:03:24.361399854,2.4,769568
15:03:25.921518042,2.1,770228
15:03:27.467358554,2.1,769800
15:03:29.008783209,2.1,769544
15:03:30.539701573,2.4,764096
15:03:32.065180075,30.1,763428
15:03:33.629173416,16.7,763992
15:03:35.124600011,16,764648
15:03:36.575924982,4.6,767180
15:03:38.042906951,1.4,768216
15:03:39.564994605,1.4,768692
15:03:41.081229013,1,768988
15:03:42.536388663,1,769088
15:03:44.048820600,1.7,769096
15:03:45.549643230,1,768988
15:03:47.061320386,1.3,768932
15:03:48.618788539,1,768972
15:03:50.151195690,9.1,763000
15:03:51.701394672,15.9,763496
15:03:53.268354189,24.5,763944
15:03:54.773041922,22.3,764320
15:03:56.254487966,6.5,766972
15:03:57.800446777,1.7,767836
15:03:59.333786184,2.3,768268
15:04:00.843850255,1,768260
15:04:02.356423013,1,768400
15:04:03.876793179,1,768212
15:04:05.435121938,1,768384
15:04:06.972281132,1.3,768420
15:04:08.475809475,1,768648
15:04:09.942196569,19.2,763464
15:04:11.416279770,22.9,764176
15:04:12.865463841,17.6,762596
15:04:14.443192514,18.1,765048
15:04:15.963194947,4.2,767004
15:04:17.446401964,4.8,768044
15:04:18.969041838,1.3,768152
15:04:20.448718828,2.3,768224
15:04:21.902803412,1,767788
15:04:23.374599619,1.7,768108
15:04:24.897465390,2,768192
15:04:26.374288710,1,768356
15:04:27.886257829,1,767976
15:04:29.410454643,24.3,763148
15:04:30.963329062,22.8,761400
15:04:32.498741550,17.3,762900
15:04:34.044321173,20,764908
15:04:35.529877693,1.7,766748
15:04:36.988106607,1.4,767764
15:04:38.503081096,1.3,767876
15:04:40.027729388,0.7,767976
15:04:41.526913137,1,768024
15:04:43.040187331,1,768000
15:04:44.582379703,1,767728
15:04:46.073741160,1,768112
15:04:47.532245823,0.7,767612
15:04:49.011819278,15.6,760860
15:04:50.514519900,16.1,762232
15:04:51.981529889,18.6,761676
15:04:53.482250685,12.3,764824
15:04:54.963651173,3.1,766112
15:04:56.431719602,1.4,766644
15:04:57.898149501,1.3,767136
15:04:59.352730197,0.6,766956
15:05:00.866887496,1,767328
15:05:02.361997975,1,767292
15:05:03.828415021,1,767352
15:05:05.339305315,1,767120
15:05:06.878279937,1,765000
15:05:08.377662019,21.4,760892
15:05:09.885235569,22.2,762604
15:05:11.404112550,18.4,762136
15:05:12.913893333,10.8,766244
15:05:14.412725742,1.7,766712
15:05:15.938772640,1,766900
15:05:17.478470821,1.7,766956
15:05:18.968486516,2.4,767024
15:05:20.429134406,3.1,767072
15:05:21.941611494,2,766940
15:05:23.483067697,2.4,767080
15:05:25.016120928,2,767156
15:05:26.497385123,14.7,760680
15:05:27.998014162,20,761628
15:05:29.465186928,13.1,760068
15:05:30.965809983,14.1,761292
15:05:32.495637882,8.3,764308
15:05:34.020892475,2,765372
15:05:35.503897458,1,765756
15:05:37.021595326,1.4,765888
15:05:38.577762364,0.7,766028
15:05:40.134592837,1.3,765980
15:05:41.692718880,1.4,765700
15:05:43.202728365,1,765912
15:05:44.713768211,0.6,765980
15:05:46.222611926,25.4,760728
15:05:47.715244170,24.6,759328
15:05:49.182747438,16.1,760300
15:05:50.763766967,20.5,762448
15:05:52.267092389,2,763884
15:05:53.733896503,3.9,765140
15:05:55.250373161,1,765132
15:05:56.794541807,1,765512
15:05:58.310831077,1,765324
15:05:59.821150589,1,765456
15:06:01.286325662,1.7,765676
15:06:02.801974838,1.3,765472
15:06:04.363953089,1.4,765512
15:06:05.917731230,22.6,759208
15:06:07.479048449,22.4,759968
15:06:08.942713594,21.2,760920
15:06:10.408557793,6.3,762532
15:06:11.904609800,3.5,764092
15:06:13.424353920,3.4,764936
15:06:14.967248699,2.7,765200
15:06:16.508611614,3.1,765212
15:06:18.031548121,3.8,765640
15:06:19.591602972,1.7,765516
15:06:21.139622994,1,765408
15:06:22.680156393,1.4,765432
15:06:24.236489189,1.3,765332
15:06:25.718351087,1,765268
15:06:27.179317631,1,765328
15:06:28.644683685,1,765440
15:06:30.093407540,1,765356
15:06:31.604677986,1.4,765300
15:06:33.166180873,0.6,765612
15:06:34.647479768,7.4,782712
15:06:36.091938759,1,782744
15:06:37.570794859,1,782840
15:06:39.081423811,1.7,782972
15:06:40.592702710,1,782892
15:06:42.101174543,1.3,782716
15:06:43.606364469,1.3,782764
15:06:45.118010822,1,782748
15:06:46.614206634,1,782724
15:06:48.122198271,1,782816
15:06:49.674092279,1.4,782808
15:06:51.227118731,1,783004
15:06:52.729428948,1,782832
15:06:54.242891815,1.4,783112
15:06:55.796504834,1,783140
15:06:57.303877635,0.6,782856
15:06:58.814305734,1,782972
15:07:00.339109904,1,783128
15:07:01.877785722,1,782848
15:07:03.436349872,1,783252
15:07:04.937721102,1,783096
15:07:06.446599274,1.3,783096
15:07:07.944567662,1,782888
15:07:09.451281631,1.3,783136
15:07:10.950835171,1,783084
15:07:12.461477718,1,783096
15:07:13.955993738,1,783072
15:07:15.417762539,0.7,783128
15:07:16.929506388,1,782940
15:07:18.457184217,1.3,782972
15:07:19.959083279,1,782948
15:07:21.465086697,1.3,783120
