2019-02-21 15:51:29.296783,2019-02-21 15:51:48.637903,2019-02-21 15:51:49.690437
2019-02-21 15:51:29.394379,2019-02-21 15:51:48.674022,2019-02-21 15:51:49.771537
2019-02-21 15:51:29.281497,2019-02-21 15:51:48.631088,2019-02-21 15:51:49.793544
2019-02-21 15:51:29.428019,2019-02-21 15:51:48.712487,2019-02-21 15:51:49.814570
2019-02-21 15:51:29.299801,2019-02-21 15:51:48.640960,2019-02-21 15:51:49.816266
2019-02-21 15:51:29.281781,2019-02-21 15:51:48.631399,2019-02-21 15:51:49.862157
2019-02-21 15:51:29.284612,2019-02-21 15:51:48.634335,2019-02-21 15:51:49.907249
2019-02-21 15:51:29.283760,2019-02-21 15:51:48.633460,2019-02-21 15:51:49.910977
2019-02-21 15:51:29.439808,2019-02-21 15:51:48.712852,2019-02-21 15:51:49.913878
2019-02-21 15:51:29.537769,2019-02-21 15:51:48.797129,2019-02-21 15:51:49.915671
2019-02-21 15:51:29.360770,2019-02-21 15:51:48.660774,2019-02-21 15:51:49.982725
2019-02-21 15:51:29.501074,2019-02-21 15:51:48.770163,2019-02-21 15:51:50.214643
2019-02-21 15:51:29.299515,2019-02-21 15:51:48.640683,2019-02-21 15:51:50.215618
2019-02-21 15:51:29.424287,2019-02-21 15:51:48.678445,2019-02-21 15:51:50.265258
2019-02-21 15:51:29.550569,2019-02-21 15:51:48.798032,2019-02-21 15:51:50.563689
2019-02-21 15:51:29.464198,2019-02-21 15:51:48.766901,2019-02-21 15:51:50.564524
2019-02-21 15:51:29.583276,2019-02-21 15:51:48.804799,2019-02-21 15:51:50.565277
2019-02-21 15:51:29.393298,2019-02-21 15:51:48.661988,2019-02-21 15:51:50.565947
2019-02-21 15:51:29.427737,2019-02-21 15:51:48.712361,2019-02-21 15:51:50.566505
2019-02-21 15:51:29.361060,2019-02-21 15:51:48.661062,2019-02-21 15:51:50.567041
2019-02-21 15:51:29.535673,2019-02-21 15:51:48.790135,2019-02-21 15:51:50.567591
2019-02-21 15:51:29.551687,2019-02-21 15:51:48.799573,2019-02-21 15:51:50.568289
2019-02-21 15:51:29.345094,2019-02-21 15:51:48.651616,2019-02-21 15:51:50.569236
2019-02-21 15:51:29.582343,2019-02-21 15:51:48.803684,2019-02-21 15:51:50.572417
2019-02-21 15:51:29.461621,2019-02-21 15:51:48.765942,2019-02-21 15:51:50.573363
2019-02-21 15:51:29.500373,2019-02-21 15:51:48.769660,2019-02-21 15:51:50.574189
