horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
13:21:23.075089200,1580485,61230188,23491305,2597253,33527492,13879178,110400,1.764,6258160,1711058,28.73,4.36,0,4.50,57.04
13:21:27.277970991,92158,5738536,5669824,614922,31518064,12932496,110406,1.848,5975568,1592350,25.96,5.99,0,5.99,61.52
13:21:29.747486949,4124880,125574335,46765499,7136545,48827817,18045501,239008,2.773,8620238,2170719,31.56,5.01,0,2.95,57.34
13:21:32.218265666,150251,6853747,6922898,819553,55562472,20291210,242689,2.596,9347060,2476399,73.15,2.14,1.11,1.62,21.98
13:21:34.565381396,127472,6382160,6406488,805900,33914535,13359447,123187,1.977,6229897,1629198,39.52,4.74,0,3.31,51.43
13:21:37.299886512,130580,6521468,6876864,841439,71603351,21845708,321321,3.163,10158586,2650125,44.15,4.72,0,3.34,47.27
13:21:39.640390089,144533,6768599,6848455,847112,31449378,13071040,110026,1.818,6052868,1604550,28.78,6.92,0,3.82,60.07
13:21:41.911476658,118283,6271810,8128844,1033877,37434943,14203658,135702,2.057,6595787,1725005,32.90,6.16,1.32,4.12,55.08
13:21:44.319465025,118486,6288008,6619257,770204,33922450,13777816,132654,2.060,6439422,1679380,34.23,6.95,0,4.00,54.83
13:21:46.576906708,133761,6537636,6589151,792358,37008384,14211906,132735,2.004,6622493,1729149,30.29,6.09,0.34,3.22,59.67
13:21:49.351123669,566198,22421493,6254911,690255,70734296,21358014,316294,3.165,9993083,2585861,23.33,6.57,0.12,3.68,64.96
13:21:51.696377978,508480,20187014,9263577,1223313,31852426,13356916,122821,2.000,6141270,1623178,25.42,5.88,0.79,5.36,62.13
13:21:53.979022905,115987,6323974,6222703,699130,34398824,13726047,112881,1.799,6273175,1678386,32.58,6.33,0.10,3.18,53.37
13:21:56.222728149,365729,12195080,6544212,762728,33000953,13118933,108057,1.769,6106741,1597062,39.55,6.32,0.12,3.28,50.21
13:21:58.494496097,116674,6301784,6145065,694542,33595664,13341364,110978,1.795,6182026,1628866,30.07,5.68,0.23,4.82,59.03
13:22:00.773209645,129570,6652432,6987454,771371,39322888,16293044,156164,2.066,7560021,2009361,57.40,3.93,0.06,2.18,35.90
13:22:02.984488884,131956,6905911,6348237,711761,34975763,13722025,120007,1.896,6328748,1663287,60.67,3.18,0.30,2.07,33.11
13:22:05.211328428,123204,6523416,6259672,685330,32883611,13233257,104392,1.723,6057399,1619742,24.22,6.45,0,3.51,65.29
13:22:07.470818731,1600518,40155252,115767336,23234202,755811564,165204695,3272459,4.070,80405406,18136688,32.55,5.54,0.52,3.56,53.73
13:22:10.201956375,140195,6724469,7709445,934053,73324397,26428823,371615,2.980,12468488,3208528,68.40,2.90,0.57,1.52,24.05
13:22:12.688018543,492452,15142724,6148282,638564,40268740,15015627,143559,2.077,6912213,1834017,29.82,5.98,0.41,4.09,59.69
13:22:15.096440504,101786,6109197,6526237,769594,37521386,14756372,121820,1.810,6731953,1806960,53.67,4.32,0.36,2.92,38.18
13:22:17.399101224,118823,6345021,6266549,690133,33389131,13636350,123415,1.949,6331156,1656623,35.15,6.26,0,3.27,54.18
13:22:19.612299908,103043,6085905,6560714,674768,36607133,13995499,123785,1.900,6514206,1707615,28.79,7.40,1.01,4.32,57.35
13:22:21.808420538,443728,18753676,8886819,1055830,59341171,17967173,271016,3.167,8557120,2152622,24.31,6.54,0.46,3.81,64.89
13:22:24.036578752,107559,6224158,8398359,1168116,35238004,13969544,117228,1.819,6446275,1699527,25.78,7.28,0.56,4.14,61.35
13:22:26.326408079,119028,6419051,39711751,7939311,843642697,196763794,3882947,3.979,97576605,20597469,19.98,4.08,0.60,1.32,51.73
13:22:28.942892778,120013,6511592,6456928,725038,36405505,13863061,126463,1.942,6511269,1670168,25.26,7.21,0,4.19,62.36
13:22:31.327489392,120644,6499085,18904865,2393693,51179964,18637102,207712,2.461,8439938,2224490,54.52,4.21,1.49,2.44,37.24
13:22:33.613771921,120019,6383056,6486881,740895,38684727,15542938,142295,1.972,7214429,1903207,20.06,7.18,0,4.73,67.57
13:22:35.875457625,121902,6498330,6473441,681671,64748040,19848238,280990,3.039,9246539,2399722,23.53,6.91,0,5.22,63.85
13:22:38.194756228,110690,6376333,9099273,1251140,34236150,13509269,110630,1.779,6218583,1644021,30.46,7.83,0,4.05,55.73
13:22:40.451862165,136325,6721344,6211699,701605,30244213,13192344,110901,1.823,6085020,1612312,52.20,5.55,0.94,2.59,38.69
13:22:42.876845460,103174,6094784,6364288,699986,36485483,14069926,129287,1.982,6521817,1696200,31.31,6.03,0.65,3.87,57.57
13:22:45.200934212,115939,6421092,7850940,886811,35708115,13842897,119613,1.850,6466191,1681587,17.73,0.35,8.88,0.27,8.88
13:22:47.792669927,99327,6050887,6011621,620653,33867685,13584145,110721,1.781,6215716,1650787,28.01,7.16,0,4.16,60.67
13:22:50.073447087,118776,6429515,6234493,669612,49568617,17085379,262723,3.223,8151847,2037459,38.05,6.09,0,3.63,52.23
13:22:52.318882150,115879,6338026,11781886,1653484,36071611,13895509,124658,1.926,6472805,1689342,35.36,6.31,0,3.68,54.17
13:22:54.684302107,275238,8715256,6229622,672035,64511533,27711932,261784,2.092,12514856,3498400,25.16,6.33,0.35,5.73,61.29
13:22:56.937067096,94420,5998387,5999594,618765,36409367,14093863,121541,1.861,6532202,1706935,30.67,5.91,0,3.58,58.07
13:22:59.217984373,115131,6462780,6451393,732376,34382992,13649983,110658,1.754,6308845,1670041,29.68,5.84,0.90,3.58,57.08
13:23:01.485448269,109165,6178268,18847007,2405051,52630982,18997810,208881,2.432,8587257,2264268,59.72,3.10,0,2.06,34.85
13:23:03.771237513,121668,6462576,6038120,658429,38263401,14833008,124374,1.823,6823656,1812320,28.78,7.30,0.15,3.13,60.46
