horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
04:08:03.770811241,1379987,51654328,35110496,4117068,26080832,11811353,84677,1.541,5494261,1447411,13.62,7.71,1.61,4.71,71.99
04:08:07.304823230,109227,5880316,5731118,595943,26430229,12129389,81694,1.484,5503455,1503127,45.96,4.80,0.54,2.26,44.76
04:08:09.699311636,1107665,28516554,94020639,16723966,1235903734,343025857,5290970,3.293,160665985,41043172,15.62,0.39,9.51,0.29,8.64
04:08:12.604929002,348677,10375544,8681132,1100543,43373549,16074987,205921,2.720,7570648,1921936,41.81,6.14,0.34,3.72,47.88
04:08:15.066365585,127093,6471884,6816525,836805,32712311,13433541,115311,1.867,6174838,1637665,48.01,4.46,,2.65,43.74
04:08:17.358777094,148165,6834725,6699585,819571,39868477,15104085,144698,2.064,7010343,1853322,69.45,2.72,0.05,1.67,24.45
04:08:19.597858780,152392,6948155,6484650,814072,36252320,15259979,156294,2.222,7034390,1853777,36.47,5.91,,4.16,53.23
04:08:21.871013147,117314,6269407,19447176,2558394,89280467,27463028,377075,2.946,12800083,3381699,35.47,5.38,0.39,4.11,53.84
04:08:24.270200500,125645,6421231,11617724,1505608,44951751,19132027,212303,2.362,8990092,2361333,34.81,6.50,,3.71,54.52
04:08:26.478293665,139986,6748971,6404076,735661,40427266,14746980,144456,2.089,6913846,1784799,35.49,6.04,1.29,3.33,53.74
04:08:28.767121173,390980,11287515,77538042,14941683,903509393,209357517,4229814,4.049,104475381,21698157,7.98,0.43,6.30,0.30,10.08
04:08:31.630799626,138059,6817801,6193066,662958,95957785,45439683,471303,2.465,19119466,5442715,33.47,7.32,0.32,3.53,54.75
04:08:33.820322990,126567,6537333,7756641,785723,37084202,14291096,127943,1.949,6566214,1729580,32.63,5.75,0.41,4.25,56.96
04:08:36.083728109,107819,6103667,6550635,774226,75794329,26345730,480095,4.078,11772545,3206578,32.34,5.49,1.99,3.82,56.22
04:08:38.384212099,116129,6242847,12614626,1785034,32976958,13415923,122019,1.933,6312147,1632121,34.05,6.19,,3.43,55.19
04:08:40.732228009,279236,8742599,6195372,726094,35247936,14059554,128150,1.980,6472195,1708862,24.05,5.38,2.40,3.46,59.73
04:08:43.042393071,143600,7198174,6486028,751653,33349954,13599645,127230,1.996,6372750,1654976,32.93,6.72,0.65,3.47,55.46
04:08:45.288158387,132788,6691875,6629677,769763,37067114,14158118,121583,1.847,6584277,1733103,30.25,6.89,0.50,4.33,57.95
04:08:47.619708189,108884,6237780,6092429,674465,34526053,13610887,118218,1.873,6310194,1644783,12.30,0.58,10.15,0.34,7.96
04:08:50.988218065,428791,12743916,12600258,1830093,76907663,23281307,305289,2.768,11027410,2822735,60.50,3.21,0.38,1.32,25.60
04:08:53.890746219,321267,10415390,6335430,699831,66523221,18844493,263021,2.902,9062553,2245080,55.64,2.99,0.47,2.14,30.07
04:08:56.340092985,268074,9687764,6421074,675305,120988801,36479553,531475,3.065,17341850,4404237,61.81,2.07,0.95,1.42,24.80
04:08:58.753504106,226255,8628667,6413698,722895,37820142,14353554,136162,2.034,6694219,1724610,32.53,6.17,0.99,4.26,55.44
04:09:01.097809348,237907,7942413,6151209,677406,32627314,13307831,105826,1.720,6154155,1621919,58.57,3.48,,3.39,34.56
04:09:03.407453160,116857,6063601,6300498,727820,34010013,13306538,116257,1.871,6214086,1618936,28.76,7.71,0.86,3.31,58.12
04:09:05.661683300,114411,6144242,6299654,778216,31286301,13490415,127158,2.045,6217291,1635954,59.26,3.97,0.49,2.06,33.64
04:09:07.962939788,1903658,46836760,105816750,19748786,847590226,188720571,3729391,4.019,92798589,20199142,16.05,0.44,7.31,0.20,10.70
04:09:10.748008633,121618,6474003,8627888,1199222,33926011,13522155,109144,1.753,6224834,1642987,30.31,4.44,,3.95,58.93
04:09:13.031512402,301817,9888002,6491252,751432,34842774,13728389,116825,1.840,6348013,1669761,29.41,8.28,,3.44,57.46
04:09:15.333289930,122895,6511344,6537313,737635,33964140,13775491,125699,1.945,6464232,1676420,22.13,6.86,0.18,4.44,64.27
04:09:17.566050537,119415,6493601,6318241,694282,34870409,13692802,112335,1.750,6420842,1663796,51.92,4.31,0.35,2.76,40.02
04:09:19.765753356,121887,6445337,6607609,782707,36333397,14075513,129345,1.968,6573833,1704719,55.03,3.97,0.99,2.26,37.35
04:09:22.111032189,169565,7279406,6170836,704856,32940748,13356395,102706,1.666,6166147,1628613,27.87,6.85,,4.21,59.59
04:09:24.424923022,131354,6589830,6156042,657076,50151619,17469087,266765,3.193,8355006,2093894,26.15,7.60,1.25,5.01,59.65
04:09:26.629707756,126706,6575518,6331080,712242,164157575,48020449,944296,3.988,23680673,4957126,13.79,0.43,10.67,0.20,9.55
04:09:29.640741801,407426,19770775,16269777,2191644,77134483,25708959,299785,2.401,12487844,3056948,18.33,4.66,0.29,2.58,52.29
04:09:31.965501879,113257,6341869,19520603,2315754,33042254,13203470,103070,1.677,6144669,1608702,60.88,3.55,0.32,1.80,32.82
04:09:34.243520869,117424,6391685,6400876,740537,34090026,13641127,109809,1.729,6349858,1656204,27.54,6.83,2.42,4.47,58.12
04:09:36.537152166,133470,7257317,6035969,631460,55529397,19249836,292275,3.212,9098520,2309534,28.84,7.16,0.55,4.21,59.24
04:09:38.752571251,249617,10239445,6155506,682832,38303457,14470572,138157,2.054,6724847,1742106,28.42,7.17,0.37,3.68,60.00
04:09:41.036213873,120798,6488509,8424523,1155190,33706325,13417996,108219,1.735,6238393,1633013,74.92,2.46,0.22,1.34,20.11
04:09:43.267749743,299024,9537511,6119774,675404,34382060,13542862,114829,1.807,6353100,1644061,24.88,7.26,,3.96,62.75
04:09:45.512755685,109086,6220215,6555525,778218,34132614,13735353,130313,2.024,6436813,1663026,5.05,1.00,4.04,0.53,13.74
04:09:48.376717365,3757433,93369889,58639696,10658944,92541319,25758840,340583,2.740,12430830,3189022,44.02,4.83,1.20,2.35,41.58
04:09:50.884116183,274838,10445748,6384913,699165,65966043,18980034,255492,2.808,9099512,2250697,70.68,2.82,0.25,1.20,22.49
04:09:53.377211336,429611,11651265,9421012,1303100,129139678,37252526,534412,3.024,17673414,4455323,37.50,5.13,0.46,4.33,47.26
04:09:55.891101700,148256,7237833,6117041,658837,34696898,13602833,114900,1.794,6403706,1654426,30.34,5.97,0.41,3.87,59.10
04:09:58.166470592,103453,6174790,6070819,667020,32949342,13211165,104521,1.709,6116775,1612337,60.52,3.50,,2.30,33.68
04:10:00.447990302,152770,7504703,6033220,619226,30811324,12788157,102824,1.717,5990208,1559125,25.26,7.08,1.05,4.43,61.60
04:10:02.683973401,115202,6364264,6088135,622790,36086714,13911816,125249,1.919,6527844,1679340,24.05,7.40,,5.19,60.63
04:10:04.925310705,98727,6042052,6468933,714865,58398865,17726359,264000,3.116,8471166,2135631,26.42,7.52,0.47,3.01,59.69
04:10:07.721140774,3114144,78355260,71139658,13922925,48302137,17922808,170423,2.004,8503477,2232294,26.09,6.84,,4.58,62.33
04:10:10.086200289,105048,6127958,7033851,805169,36925896,14273927,121383,1.839,6599527,1737118,28.85,6.08,2.24,4.73,57.34
04:10:12.357351899,496483,21716611,6669842,772922,34868302,13645418,120392,1.880,6405115,1650655,60.02,4.22,0.17,2.85,32.25
04:10:14.699490738,115513,6343133,6250561,713036,29804926,13080701,110876,1.848,6000680,1590363,24.52,7.73,,4.32,62.76
04:10:17.208930019,126497,7039385,9389731,1255648,35585451,14276912,125799,1.886,6671426,1734487,30.78,6.15,0.42,4.31,58.15
04:10:19.453425389,158956,7962373,6701508,767196,36319183,14041270,124218,1.889,6576769,1704371,29.33,6.76,,3.88,59.75
04:10:21.680907413,291620,9492964,7114691,786260,104833528,47584344,464443,2.316,20054150,5693075,28.58,5.47,,4.96,58.72
04:10:23.935005625,105063,6415696,7273686,747314,33478483,13306247,109085,1.758,6204667,1624389,23.07,6.98,,4.22,62.82
04:10:26.474130201,3898223,98504715,84682567,16827438,748060868,174210033,3374703,3.948,85471466,18293439,26.08,5.55,,3.87,53.64
04:10:29.050455419,121247,6529117,6207729,679313,58498489,18058097,260880,3.069,8501436,2190217,24.03,7.26,,4.09,64.08
04:10:31.351684458,134681,6685589,9085927,1294100,29679414,12526725,97677,1.660,5883407,1527145,25.25,7.17,0.64,4.51,62.11
04:10:33.574275088,119303,6517813,6488158,696797,36109213,14169718,123963,1.890,6557999,1714561,27.64,7.60,1.53,3.76,56.67
04:10:35.787205479,279456,8691402,6338327,766682,33277522,13727913,117322,1.840,6376328,1665407,30.07,7.40,,3.47,58.05
04:10:38.112932638,124830,6490250,6106419,660012,53403304,19711893,218826,2.457,8904970,2352040,28.09,7.11,0.74,4.20,59.87
04:10:40.330945674,122075,6551321,6383072,704684,31788216,13073964,97906,1.620,6044951,1598171,25.13,7.91,,4.16,62.44
04:10:42.556033589,105533,6357563,6344921,679392,34073399,13635481,109738,1.735,6325397,1654682,57.29,3.71,0.26,2.38,35.55
04:10:44.821604795,121906,6463318,71560347,13927160,859577579,204758402,3934815,3.904,100781871,22057888,12.97,0.35,7.82,0.36,8.94
04:10:47.889275060,427672,12440280,6848133,786087,66308075,20133074,266716,2.816,9472554,2390093,27.82,6.51,0.56,3.31,58.93
04:10:50.442080229,239982,9345029,12186710,1920430,85212895,25838628,361983,2.981,12144925,3078786,57.35,3.79,,1.92,32.69
04:10:52.982544436,194172,8981683,12210264,1949947,32296660,13391904,117450,1.864,6299813,1615458,28.95,6.52,1.30,4.13,58.81
04:10:55.302979003,125869,6588721,6257779,674204,57258748,17691535,252420,3.018,8364302,2137865,23.61,6.65,,4.91,64.40
04:10:57.508015976,114832,6384595,8372693,1153293,37651601,14857945,119063,1.749,6805817,1816758,53.79,4.26,0.41,2.74,37.37
04:10:59.782838982,105318,6171836,6467603,720390,35794434,14183035,115045,1.759,6541032,1717820,24.51,7.79,1.88,5.02,60.46
04:11:02.061361303,287858,9956826,7286318,890963,32710876,13183461,100585,1.647,6105549,1603438,29.49,7.30,,3.80,58.57
04:11:04.347349805,210136,8608384,103381722,19295685,853523788,206143362,3949201,3.874,101938717,21810345,13.41,0.38,9.45,0.31,10.69
04:11:07.201926663,105997,6217793,6049986,618004,33869376,13538881,117013,1.838,6365739,1634255,27.51,6.76,0.73,3.72,61.28
04:11:09.434099509,116847,6596643,6365174,709214,59613900,18192377,267940,3.094,8660111,2185479,32.95,6.04,0.98,4.25,55.67
04:11:11.660561431,114920,6337149,9098069,1246354,92702607,44405878,429063,2.295,18692085,5290635,37.90,6.22,1.24,3.52,50.25
