horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:31:42.681946256,0.25,95409,5354078,5742691,623365,54637805,17425804,269385,3.282,8207216,2096694,7.67
12:31:45.033889440,0.25,102119,5519358,7764069,1109432,26550415,11570289,91690,1.728,5305223,1408340,7.11
12:31:47.462730559,0.25,111735,5682742,5858567,651372,28510674,11806142,99211,1.819,5454116,1434253,7.03
12:31:49.912468313,0.25,477573,19831477,5501787,567130,30082097,12492658,104378,1.823,5726576,1508726,2.14
12:31:52.708054441,0.25,105998,5615610,6938491,718192,47644703,17596184,266465,3.254,8189764,2129764,7.12
12:31:55.156591891,0.25,96502,5501821,5494783,578015,30447331,12642961,117610,2.014,5840730,1518811,7.00
12:31:57.548945185,0.25,107924,5729514,5520224,582995,26098415,11548277,89990,1.678,5364066,1407710,7.12
12:31:59.960093601,0.25,511556,21538589,5742883,626849,26948132,12061653,90380,1.623,5569138,1458202,6.94
12:32:02.329368697,0.25,108267,5779400,5609132,562643,29744443,12906360,108797,1.826,5958269,1556678,7.89
12:32:04.703986186,0.25,91337,5557052,5821707,623123,47268878,16766722,264122,3.281,8049873,1990361,8.41
12:32:07.054211531,0.25,88668,5512170,8176027,1187469,26902082,11937747,91357,1.638,5577293,1440493,7.63
12:32:09.446556388,0.25,247308,7925957,5622612,586902,28340733,12418493,99273,1.705,5823525,1500404,5.80
12:32:12.220261842,0.25,3418569,85999672,16807981,2666040,79583299,22430889,331949,3.096,10721350,2661572,4.01
12:32:15.028415829,0.25,114322,5913067,5770644,620918,28539686,12383591,102700,1.814,5660855,1505793,7.57
12:32:17.413170664,0.25,230446,7561992,5775269,618351,27126463,11790911,92425,1.702,5430408,1436034,7.59
12:32:19.785073494,0.25,99096,5515865,5640511,598480,30051173,12691547,119145,2.040,5841663,1533589,4.62
12:32:22.169363707,0.25,106650,5749638,5467255,594342,28303364,12209708,109777,1.931,5683737,1470870,5.78
12:32:24.573070131,0.25,122262,5970537,5810910,659903,26173508,11342551,90586,1.722,5259631,1379017,7.97
12:32:26.904452835,0.25,113647,5805946,5402499,549132,46684311,16767821,254412,3.243,7844812,2008870,6.98
12:32:29.243669367,0.25,91648,5415280,7865242,1083236,83995056,44566089,449411,2.406,18680534,5314811,7.17
12:32:31.647920029,0.25,3520934,85998512,95405010,17994034,362872301,96744318,1680292,3.604,46619227,10787549,7.18
12:32:34.219588035,0.25,102882,5809081,5846258,640098,27279864,12232526,103838,1.838,5649528,1475996,7.90
12:32:36.603634511,0.25,101857,5571299,5577067,576295,29062759,12458274,106245,1.842,5769042,1507980,7.11
12:32:38.951533037,0.25,100032,5567349,5774402,606425,55202366,19391597,279474,3.125,8944050,2345399,8.12
