horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
01:35:54.250542261,1421011,54747213,35662933,4383412,31540411,13179187,100241,1.647,6085240,1618381,23.28,5.78,0.74,4.32,65.22
01:35:57.329620766,86223,5687121,5767237,575310,30851014,13386001,109358,1.757,6223142,1638795,21.96,6.80,,6.02,65.15
01:35:59.597839263,90649,5723935,14931823,2640500,840161370,214803355,3280992,3.396,96624090,24805228,55.53,3.07,0.06,1.94,32.87
01:36:02.112906181,194652,8289267,7747509,859367,38484659,14868124,177338,2.525,7022310,1786361,33.74,6.50,0.31,4.49,54.13
01:36:04.392972988,162088,7109848,7066811,781381,62732099,18925142,305185,3.367,9064545,2265680,61.84,3.31,0.14,2.24,31.87
01:36:06.604116540,128411,6528658,6448233,674236,39959281,14236228,141214,2.115,6677079,1736726,23.38,6.78,0.63,4.43,63.98
01:36:08.845673350,114431,6306214,9819630,1375232,31863865,12936117,104100,1.723,6042367,1580427,52.03,3.97,0.20,2.46,40.32
01:36:11.068413338,406066,14272494,6227999,688621,35487974,13870783,121066,1.899,6374889,1689430,29.51,6.50,0.41,3.98,58.80
01:36:13.265568396,272052,8696538,6094601,659695,41140627,15700062,140791,1.952,7213818,1924903,27.46,6.49,,4.74,60.86
01:36:15.487433757,102697,5939662,5940800,678887,30098487,13096304,113090,1.895,5966644,1604925,28.66,5.77,0.35,4.80,60.42
01:36:17.914688690,128078,6804986,85081983,16913922,133273964,43939429,517572,2.419,21397033,5444856,63.55,3.06,0.49,1.44,29.97
01:36:20.248698141,238735,8917947,6248115,722006,91181507,44190772,438884,2.364,18566179,5302096,27.17,6.88,0.84,4.57,60.36
01:36:22.455651259,117718,6308802,6276129,711487,32806601,13129588,111744,1.826,6118033,1598502,28.48,6.66,0.25,4.42,59.71
01:36:24.704040262,117199,6571858,5959266,621907,69444368,23910127,446524,4.136,10797265,2904170,25.92,6.79,1.08,4.04,61.15
01:36:26.930134795,96098,5953450,8952211,1231366,32579282,13100636,105723,1.733,6099078,1589043,46.15,4.82,0.29,2.66,44.59
01:36:29.160482444,206549,7610979,6076833,624973,34019154,13583213,110566,1.760,6282219,1654506,26.04,5.71,,4.04,63.68
01:36:31.450201140,100197,5892829,6078174,644649,34089232,13566927,113170,1.814,6238613,1658613,26.02,6.73,0.59,4.76,61.11
01:36:33.803883996,106178,6082481,6118467,690722,34439673,13296188,113753,1.835,6198359,1620074,24.35,6.48,0.30,4.85,63.56
01:36:36.106229384,783232,21142683,60197262,10972075,56161934,19011401,205670,2.293,8971125,2364316,33.22,6.45,0.36,5.01,51.59
01:36:38.681519433,136816,6606323,12658205,1661082,87046319,25434056,444358,3.613,12299863,3039331,30.88,6.43,0.28,3.97,57.96
01:36:41.029304397,488166,20339421,10812654,1503207,28353552,12574076,105203,1.802,5838742,1530386,29.56,6.54,0.24,4.90,56.18
01:36:43.356224575,271438,8501999,6151789,651882,30623322,12621188,89953,1.528,5885990,1542003,24.70,6.90,1.04,5.55,61.36
01:36:45.647592191,107733,6134166,6161777,650192,32655861,12925873,107608,1.781,6041286,1569937,28.49,6.78,0.16,5.09,59.26
01:36:47.846812860,117376,6289592,6205894,668934,33636845,13007367,109883,1.795,6121946,1581143,20.17,7.47,,4.60,67.69
01:36:50.161710941,256582,10601759,5937150,681481,88662640,45105844,493740,2.596,19020466,5401308,56.54,3.83,,2.71,36.41
01:36:52.459925161,110066,6131954,6136736,652062,32384844,13057558,106492,1.748,6092626,1585688,26.02,6.58,0.24,2.94,62.78
01:36:54.868155454,138573,9349344,8613010,1021650,56166909,17283410,256523,3.120,8223043,2081320,31.24,7.46,,4.35,56.95
01:36:57.088621026,109454,6165913,8971907,1214470,32763203,13121237,103962,1.713,6069088,1596179,27.69,7.05,0.53,3.74,60.43
01:36:59.306339837,100168,6015401,8191236,1130658,33540191,13202630,107722,1.744,6177808,1607058,26.98,7.61,,4.46,60.24
01:37:01.555674975,274188,8852961,5843520,601439,31826156,12922696,102884,1.713,6005569,1568039,26.70,5.86,0.69,4.61,61.37
01:37:03.800743198,94229,5875786,6066066,630135,32787242,13118166,105695,1.740,6073129,1599230,25.05,6.93,0.74,3.77,62.78
01:37:06.038179934,109593,6105549,5896610,662553,27874256,12342393,100199,1.746,5739807,1500137,16.09,8.08,0.54,4.26,69.04
01:37:08.435326833,95863,5970756,6155060,658923,32449061,13040213,103295,1.705,6058650,1587326,55.23,4.12,0.31,2.24,37.60
01:37:10.656215073,114870,6256954,20283664,2388733,34621452,13522098,112087,1.783,6287830,1642726,26.65,6.72,,4.74,61.23
01:37:13.068107095,226783,11375318,8437867,912871,58735962,17867173,259576,3.062,8477097,2148201,27.88,7.35,0.36,4.21,60.10
01:37:15.332337208,95660,5985354,8205875,1127075,32301398,13006601,101139,1.662,6084311,1585995,21.34,6.50,0.75,4.53,65.87
01:37:17.530119577,249738,8164577,6100430,638380,31109042,12581800,97332,1.637,5947112,1515579,18.08,7.04,1.04,4.01,69.77
01:37:19.748466842,246647,8247277,9593603,1142253,33680244,13196903,109282,1.779,6144420,1598680,74.91,2.30,0.40,1.34,20.86
01:37:21.976003878,101253,6225066,5784643,597449,43462218,17350794,167338,2.063,8112273,2146983,25.38,7.61,1.00,4.36,60.96
01:37:24.341605926,109322,6418675,5928276,648807,33145416,13134928,105294,1.726,6100636,1597262,49.43,4.72,,2.79,42.27
01:37:26.626096725,111900,6163637,6151815,642439,31103874,12915476,107021,1.777,6023311,1570091,37.26,5.88,0.72,2.55,53.59
01:37:28.950431539,100081,6052963,5598440,576387,58429991,17999632,263927,3.124,8449136,2166958,34.21,3.35,0.11,1.84,32.86
01:37:31.491741944,437999,14240901,21175503,3702274,39177769,15364464,128969,1.807,7135912,1880017,27.66,6.85,1.40,4.31,59.78
01:37:33.777299726,260012,8449978,5844092,572536,32301814,13635122,106899,1.687,6334899,1672568,18.13,8.63,,3.56,69.08
01:37:36.016656587,93209,5975950,6970405,696517,39843251,15657929,131848,1.825,7225199,1913666,19.69,7.60,0.80,5.02,66.88
01:37:38.609970831,104923,6123653,5981743,603340,30249173,12689003,98946,1.672,5918838,1545679,53.94,4.08,,2.01,39.96
01:37:40.843662057,456921,20523794,5845897,585762,31435342,12815342,96709,1.609,6011716,1554982,28.69,5.79,0.67,4.26,59.69
01:37:43.160148221,96756,5911427,5817574,571524,60742330,18023868,274011,3.157,8679012,2152631,25.16,5.62,1.16,4.77,63.30
01:37:45.398629725,98351,6085588,8606213,1169724,31909940,12790358,102520,1.714,5981297,1557687,29.55,6.23,,3.95,60.26
01:37:47.633444339,96452,6037293,9468253,1190589,75208799,26551242,387452,3.031,12780996,2919051,11.80,3.64,0.14,1.11,39.14
01:37:50.047717855,174809,7692173,5947505,614938,29598012,12897008,97987,1.660,5902646,1573387,22.70,6.83,0.40,3.92,65.87
01:37:52.357883969,142570,7827506,6250741,695401,33493633,13411062,105919,1.717,6167174,1631881,22.45,5.87,,4.10,67.58
01:37:54.698891385,100131,6284060,5729460,586590,31003656,12568564,89954,1.530,5880311,1542747,61.30,3.85,,2.41,31.82
01:37:56.985212146,122594,6784813,5912822,597166,28839346,12408556,90209,1.568,5752424,1514436,20.93,6.35,,4.95,66.50
01:37:59.222394015,93620,5868636,5799606,582613,57517582,17879153,258377,3.054,8460445,2149674,24.25,7.01,0.55,3.82,62.41
01:38:01.442713368,95086,5980812,8242122,1113804,31001340,12670624,93611,1.583,5914227,1540125,22.61,6.88,,5.19,64.68
01:38:03.815473928,106880,6111178,5966084,633386,30695772,13537122,99235,1.600,6201620,1669945,20.04,6.21,,5.72,67.96
01:38:06.153394585,96456,5957130,35534176,7030415,472864712,114292462,2173210,3.893,55829364,12307717,22.65,5.61,0.47,4.05,59.18
01:38:08.578100044,92708,5951312,6842470,702915,31670210,12947465,100820,1.684,5987486,1578073,22.54,7.72,0.46,4.13,64.53
01:38:10.803499307,269591,12989525,6036605,634644,32807428,13145136,105940,1.730,6123832,1608951,57.80,3.26,0.24,2.86,35.06
01:38:13.028185237,111217,6181282,6041967,631407,37573096,14722070,120270,1.785,6739507,1800958,25.88,7.06,1.01,3.72,60.28
01:38:15.241013811,105786,6214731,5984697,610828,32654462,13046911,103295,1.687,6123205,1583812,22.91,6.29,0.89,4.77,64.58
01:38:17.461987153,95593,5935220,6078736,634008,63734263,19655654,262390,2.866,9155260,2380445,20.40,6.77,,4.41,67.96
01:38:19.680395663,108792,6246924,8658150,1165304,31164455,12894327,95720,1.612,5936410,1575238,77.36,2.33,0.08,1.19,18.43
01:38:21.929765005,93656,5900799,5962602,603988,31513614,13033534,101717,1.675,6072260,1582127,24.96,7.18,1.31,4.12,59.16
01:38:24.153381060,242773,8220110,21841396,4131297,687200206,153341954,3134246,4.188,74843776,16154765,51.81,2.68,0.16,2.16,32.84
01:38:26.713596387,290675,10180711,16524144,2870973,41913303,16426589,175339,2.268,7730283,2002984,33.22,5.87,0.57,3.60,55.75
01:38:28.958866111,95888,5944888,5901993,609519,37935020,15449285,120717,1.691,7140485,1904380,64.37,3.42,,1.61,30.60
01:38:31.179236287,98541,5932912,6095132,646742,32531916,13211686,105037,1.706,6156384,1608719,19.43,7.09,0.47,3.80,69.22
01:38:33.489091889,90273,5887318,5897084,595278,66532646,21207595,284362,2.878,9880836,2578158,19.30,7.21,0.79,3.92,67.59
01:38:35.720918354,99864,6079028,6120839,658513,33261334,13052216,105604,1.729,6108714,1588683,25.11,6.51,0.87,5.44,61.58
01:38:37.927780571,104952,6244066,9110513,1206240,31786649,12881374,98267,1.628,6035933,1562324,27.20,6.73,0.11,4.36,59.78
01:38:40.114167099,374246,12088872,6080901,629689,33355405,13500563,104886,1.679,6247021,1646337,24.41,8.36,,3.60,63.63
01:38:42.346420597,266292,9359799,69541906,14188960,193127010,57924100,791780,2.801,28268719,6897689,19.13,5.78,,4.04,60.03
01:38:44.710656969,93315,5918175,5813099,570429,32701406,13209030,99889,1.623,6154149,1628505,19.53,7.18,0.54,6.55,65.16
01:38:47.025031943,89496,5816039,5915853,639714,29921921,12631939,88191,1.514,5826756,1541638,56.51,3.95,,2.59,35.98
01:38:49.315805161,117061,6449774,5792203,591426,29788520,12741646,96257,1.643,5858866,1556483,28.74,7.37,,4.65,58.78
01:38:51.578425712,94011,5892185,6138917,665172,68891025,20991249,290563,2.965,9800067,2544432,26.31,7.58,0.30,4.44,60.08
01:38:53.770323182,88601,5889548,5851029,567349,60494545,18564262,262134,2.975,8811745,2246926,20.39,7.64,0.88,4.26,66.82
01:38:56.000830547,92949,5838485,8477107,1166690,32034689,13108956,100837,1.663,6064268,1596405,22.83,5.90,,4.20,66.67
01:38:58.231971430,268000,9293651,6046127,626658,31082010,12814266,91521,1.537,5955264,1559308,24.30,6.21,0.52,4.29,59.59
01:39:00.430832999,256235,8893312,87962939,17924453,70575863,28377551,219538,1.594,13769537,3758247,24.88,6.31,,5.02,59.57
01:39:02.769240230,102273,6084217,6182565,663257,31519538,12853138,98389,1.640,5999667,1570765,27.21,6.87,,4.31,61.04
01:39:05.098300586,100102,6127659,5937760,625907,33447508,13432887,106426,1.703,6249786,1636170,48.80,4.55,0.84,2.66,43.06
01:39:07.394891685,101548,6099000,5970010,611179,29685539,12742476,97480,1.659,5874862,1551433,22.31,7.80,,3.48,66.25
01:39:09.633651672,87608,5864970,5808119,573655,49925262,18471011,195798,2.334,8387413,2196432,78.59,2.14,,1.07,17.21
01:39:11.830471260,102576,6352335,6040874,607449,58287459,18195525,251690,2.946,8544502,2203509,22.37,6.96,,4.44,65.84
01:39:14.046611149,93805,5913434,8191104,1092849,30265541,12674023,90391,1.545,5851288,1544198,21.73,6.48,0.81,5.17,63.95
01:39:16.253849877,98508,5974795,8186322,1092628,31297292,12906589,94318,1.583,5957216,1574261,21.53,8.23,0.74,3.79,64.86
01:39:18.474577855,241966,8172413,86648819,17673399,87031803,30502813,285468,1.907,14968002,3960264,48.30,3.77,0.12,1.72,37.51
01:39:21.039694711,591086,21259250,12205614,1974851,41285575,16693615,175713,2.244,7831222,2012437,16.62,7.50,0.45,4.84,69.65
01:39:23.253425035,101644,6140514,6166446,642905,30408546,12546194,92296,1.577,5852801,1532110,51.58,4.36,,2.47,41.25
01:39:25.463771445,110197,6200580,6133760,633919,30904085,12803263,91006,1.536,5925875,1556902,21.81,7.94,1.05,3.76,65.43
01:39:27.750469060,99162,6086992,6139220,645436,32778455,13259447,103074,1.655,6228573,1625763,19.71,7.77,0.26,4.17,68.10
01:39:29.989057762,101425,6030828,5833909,572576,55001870,17037103,238520,2.960,8057328,2050622,17.89,7.10,0.41,4.71,69.90
01:39:32.222067568,93466,5951405,9191788,1237895,31660632,12821305,99120,1.658,5976822,1553201,22.67,7.92,3.75,3.42,61.56
01:39:34.438020532,103064,5985456,6226396,646115,31662448,12882486,102184,1.691,6041326,1563121,20.41,7.34,,4.67,66.65
