horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,mosquitto,perf,swapper
14:28:31.809685643,1049210,45734898,34938631,4255966,31109375,12966019,100919,1.713,5892592,1593967,19.06,6.63,0.64,4.93,68.34
14:28:35.759651609,99121,5794414,5873706,595618,30673712,12929742,105353,1.763,5974681,1592745,59.69,3.32,0.26,2.66,33.89
14:28:38.067805991,2107231,51342532,99777398,17154794,1289980132,341644385,5561503,3.426,162343582,40779023,14.57,0.35,9.60,0.14,8.93
14:28:41.080109235,391522,11739762,7710257,870642,60498656,23912952,295208,2.656,11114219,2935016,37.66,6.20,0.45,4.01,51.68
14:28:43.697312450,128019,6492429,7370024,864146,35627996,14348184,139731,2.097,6664765,1742816,65.36,3.43,0.20,1.82,28.76
14:28:46.030639367,158043,7361709,7747986,958423,41342293,15450735,148770,2.078,7158397,1886400,40.61,5.60,0,2.97,50.10
14:28:48.286111893,143332,6750755,6065985,732498,71804523,21935466,326972,3.185,10264986,2658773,30.48,6.68,0.82,3.44,56.84
14:28:50.674064433,122646,6458421,12396701,1701104,33704178,13931671,131915,2.062,6397353,1694849,33.38,6.92,0.03,4.17,54.09
14:28:52.993620646,159982,7019161,6845124,820895,49210626,19525656,196586,2.166,9075745,2415400,34.05,5.63,0,3.21,55.32
14:28:55.282142122,289248,9168333,6517537,749039,38118571,14553827,139064,2.067,6728205,1773782,31.97,5.51,0.12,3.66,57.92
14:28:57.591586541,126634,6575409,6598254,793565,823947518,199236196,3842396,3.947,97343153,20644384,23.66,0.38,6.82,0.15,8.51
14:29:00.750489297,483787,19181580,6616497,816023,36529016,14401749,134466,2.038,6598829,1758623,31.13,5.77,0,4.20,58.32
14:29:03.273405269,317669,9869483,6692503,791995,31765901,13564985,125386,1.991,6297477,1647977,30.25,6.22,0.46,4.84,58.24
14:29:05.612912016,122193,6464204,6353667,773894,38340017,14836686,126422,1.855,6814629,1814492,38.30,5.39,0.20,3.51,51.84
14:29:07.949292481,131936,6603924,6460056,726612,32263377,13174126,112447,1.839,6113564,1600809,30.53,6.37,0.60,3.44,57.58
14:29:10.195966553,113239,6220945,6568941,743286,124030495,54625675,622970,2.677,23267338,6540107,58.55,3.54,0.10,1.72,35.05
