2019-02-21 14:41:12.097774,2019-02-21 14:41:31.683158,2019-02-21 14:41:32.454743
2019-02-21 14:41:12.056095,2019-02-21 14:41:31.652300,2019-02-21 14:41:33.033384
2019-02-21 14:41:12.059793,2019-02-21 14:41:31.655676,2019-02-21 14:41:33.379586
2019-02-21 14:41:12.088068,2019-02-21 14:41:31.681897,2019-02-21 14:41:33.380738
2019-02-21 14:41:12.058130,2019-02-21 14:41:31.654261,2019-02-21 14:41:33.381474
2019-02-21 14:41:12.074431,2019-02-21 14:41:31.663284,2019-02-21 14:41:33.382850
2019-02-21 14:41:12.115645,2019-02-21 14:41:31.718403,2019-02-21 14:41:33.383587
2019-02-21 14:41:12.067308,2019-02-21 14:41:31.661841,2019-02-21 14:41:33.384417
2019-02-21 14:41:12.056353,2019-02-21 14:41:31.652542,2019-02-21 14:41:33.385150
2019-02-21 14:41:12.099224,2019-02-21 14:41:31.714881,2019-02-21 14:41:33.385734
2019-02-21 14:41:12.086689,2019-02-21 14:41:31.680780,2019-02-21 14:41:33.471955
2019-02-21 14:41:12.155217,2019-02-21 14:41:31.782230,2019-02-21 14:41:33.472797
2019-02-21 14:41:12.101757,2019-02-21 14:41:31.717163,2019-02-21 14:41:33.585796
2019-02-21 14:41:12.185455,2019-02-21 14:41:31.795153,2019-02-21 14:41:33.586627
2019-02-21 14:41:12.077808,2019-02-21 14:41:31.672083,2019-02-21 14:41:33.587195
2019-02-21 14:41:12.065841,2019-02-21 14:41:31.660412,2019-02-21 14:41:33.587864
2019-02-21 14:41:12.212909,2019-02-21 14:41:31.886788,2019-02-21 14:41:33.588603
2019-02-21 14:41:12.231923,2019-02-21 14:41:31.900848,2019-02-21 14:41:33.589343
2019-02-21 14:41:12.222116,2019-02-21 14:41:31.896373,2019-02-21 14:41:33.590041
2019-02-21 14:41:12.075634,2019-02-21 14:41:31.669704,2019-02-21 14:41:33.675516
2019-02-21 14:41:12.119506,2019-02-21 14:41:31.738037,2019-02-21 14:41:33.771118
2019-02-21 14:41:12.055847,2019-02-21 14:41:31.652053,2019-02-21 14:41:33.773578
2019-02-21 14:41:12.210034,2019-02-21 14:41:31.798452,2019-02-21 14:41:33.775790
2019-02-21 14:41:12.232988,2019-02-21 14:41:31.908259,2019-02-21 14:41:33.979197
2019-02-21 14:41:12.292917,2019-02-21 14:41:31.932461,2019-02-21 14:41:33.980892
2019-02-21 14:41:12.085744,2019-02-21 14:41:31.679811,2019-02-21 14:41:33.982284
2019-02-21 14:41:12.153085,2019-02-21 14:41:31.779540,2019-02-21 14:41:33.983688
2019-02-21 14:41:12.292787,2019-02-21 14:41:31.932324,2019-02-21 14:41:33.984928
2019-02-21 14:41:12.152781,2019-02-21 14:41:31.778932,2019-02-21 14:41:33.986348
2019-02-21 14:41:12.230438,2019-02-21 14:41:31.899411,2019-02-21 14:41:33.991220
2019-02-21 14:41:12.064953,2019-02-21 14:41:31.659453,2019-02-21 14:41:34.070299
2019-02-21 14:41:12.245495,2019-02-21 14:41:31.916340,2019-02-21 14:41:34.072310
2019-02-21 14:41:12.231176,2019-02-21 14:41:31.900186,2019-02-21 14:41:34.074133
2019-02-21 14:41:12.076526,2019-02-21 14:41:31.670884,2019-02-21 14:41:34.076049
2019-02-21 14:41:12.183769,2019-02-21 14:41:31.783609,2019-02-21 14:41:34.077505
2019-02-21 14:41:12.154007,2019-02-21 14:41:31.780872,2019-02-21 14:41:34.078748
2019-02-21 14:41:12.291912,2019-02-21 14:41:31.931550,2019-02-21 14:41:34.169899
2019-02-21 14:41:12.291748,2019-02-21 14:41:31.921039,2019-02-21 14:41:34.171873
2019-02-21 14:41:12.058457,2019-02-21 14:41:31.654555,2019-02-21 14:41:34.178414
2019-02-21 14:41:12.076807,2019-02-21 14:41:31.671180,2019-02-21 14:41:34.271732
2019-02-21 14:41:13.314040,2019-02-21 14:41:32.963922,2019-02-21 14:41:34.272875
2019-02-21 14:41:12.154646,2019-02-21 14:41:31.781492,2019-02-21 14:41:34.274103
2019-02-21 14:41:12.245065,2019-02-21 14:41:31.910523,2019-02-21 14:41:34.275976
2019-02-21 14:41:12.292050,2019-02-21 14:41:31.931793,2019-02-21 14:41:34.663256
2019-02-21 14:41:12.067691,2019-02-21 14:41:31.662118,2019-02-21 14:41:34.664097
2019-02-21 14:41:12.244018,2019-02-21 14:41:31.909588,2019-02-21 14:41:34.664686
2019-02-21 14:41:12.210345,2019-02-21 14:41:31.885750,2019-02-21 14:41:34.665234
2019-02-21 14:41:12.231773,2019-02-21 14:41:31.900723,2019-02-21 14:41:34.665781
2019-02-21 14:41:12.078874,2019-02-21 14:41:31.672948,2019-02-21 14:41:34.666323
2019-02-21 14:41:13.335278,2019-02-21 14:41:33.075570,2019-02-21 14:41:34.666864
2019-02-21 14:41:13.332425,2019-02-21 14:41:33.068881,2019-02-21 14:41:34.725658
2019-02-21 14:41:12.088979,2019-02-21 14:41:31.682853,2019-02-21 14:41:34.726655
2019-02-21 14:41:12.232250,2019-02-21 14:41:31.907554,2019-02-21 14:41:34.727592
2019-02-21 14:41:12.117584,2019-02-21 14:41:31.736528,2019-02-21 14:41:34.728970
2019-02-21 14:41:12.212215,2019-02-21 14:41:31.886651,2019-02-21 14:41:34.730557
2019-02-21 14:41:12.244506,2019-02-21 14:41:31.909986,2019-02-21 14:41:34.770975
2019-02-21 14:41:12.209305,2019-02-21 14:41:31.797674,2019-02-21 14:41:34.771998
2019-02-21 14:41:12.228807,2019-02-21 14:41:31.897683,2019-02-21 14:41:34.772827
2019-02-21 14:41:12.101460,2019-02-21 14:41:31.716842,2019-02-21 14:41:34.773894
2019-02-21 14:41:12.220886,2019-02-21 14:41:31.889733,2019-02-21 14:41:34.775226
2019-02-21 14:41:12.219923,2019-02-21 14:41:31.888522,2019-02-21 14:41:34.776202
2019-02-21 14:41:12.060079,2019-02-21 14:41:31.655955,2019-02-21 14:41:34.777397
2019-02-21 14:41:12.183385,2019-02-21 14:41:31.783136,2019-02-21 14:41:34.831186
2019-02-21 14:41:12.220350,2019-02-21 14:41:31.888954,2019-02-21 14:41:34.974611
2019-02-21 14:41:12.243526,2019-02-21 14:41:31.909053,2019-02-21 14:41:34.976192
2019-02-21 14:41:12.153712,2019-02-21 14:41:31.780517,2019-02-21 14:41:34.977792
2019-02-21 14:41:12.290924,2019-02-21 14:41:31.920416,2019-02-21 14:41:34.980903
2019-02-21 14:41:12.221231,2019-02-21 14:41:31.890048,2019-02-21 14:41:34.985462
2019-02-21 14:41:12.100200,2019-02-21 14:41:31.715917,2019-02-21 14:41:34.989708
2019-02-21 14:41:12.115289,2019-02-21 14:41:31.718080,2019-02-21 14:41:34.991331
2019-02-21 14:41:13.346591,2019-02-21 14:41:33.077138,2019-02-21 14:41:35.068329
2019-02-21 14:41:12.057570,2019-02-21 14:41:31.653704,2019-02-21 14:41:35.163548
2019-02-21 14:41:12.075331,2019-02-21 14:41:31.663874,2019-02-21 14:41:35.165184
2019-02-21 14:41:12.085088,2019-02-21 14:41:31.674503,2019-02-21 14:41:35.166492
2019-02-21 14:41:12.222529,2019-02-21 14:41:31.896813,2019-02-21 14:41:35.168184
2019-02-21 14:41:12.293207,2019-02-21 14:41:31.932833,2019-02-21 14:41:35.249624
2019-02-21 14:41:12.221700,2019-02-21 14:41:31.890584,2019-02-21 14:41:35.251527
2019-02-21 14:41:12.229745,2019-02-21 14:41:31.898560,2019-02-21 14:41:35.253013
2019-02-21 14:41:12.218884,2019-02-21 14:41:31.887546,2019-02-21 14:41:35.254328
2019-02-21 14:41:12.055600,2019-02-21 14:41:31.651805,2019-02-21 14:41:35.335184
2019-02-21 14:41:12.078240,2019-02-21 14:41:31.672381,2019-02-21 14:41:35.339744
2019-02-21 14:41:12.101019,2019-02-21 14:41:31.716538,2019-02-21 14:41:35.345833
2019-02-21 14:41:13.315295,2019-02-21 14:41:32.967410,2019-02-21 14:41:35.349618
2019-02-21 14:41:12.211497,2019-02-21 14:41:31.886362,2019-02-21 14:41:35.431098
2019-02-21 14:41:12.290791,2019-02-21 14:41:31.920208,2019-02-21 14:41:35.432353
2019-02-21 14:41:12.220625,2019-02-21 14:41:31.889355,2019-02-21 14:41:35.433544
2019-02-21 14:41:13.305284,2019-02-21 14:41:32.953800,2019-02-21 14:41:35.435434
2019-02-21 14:41:13.333200,2019-02-21 14:41:33.073750,2019-02-21 14:41:35.906979
2019-02-21 14:41:12.057851,2019-02-21 14:41:31.653979,2019-02-21 14:41:35.907790
2019-02-21 14:41:12.065249,2019-02-21 14:41:31.659846,2019-02-21 14:41:35.908381
2019-02-21 14:41:12.293377,2019-02-21 14:41:31.932967,2019-02-21 14:41:35.908928
2019-02-21 14:41:12.230130,2019-02-21 14:41:31.898981,2019-02-21 14:41:35.911095
2019-02-21 14:41:12.098549,2019-02-21 14:41:31.684044,2019-02-21 14:41:35.912438
2019-02-21 14:41:12.076191,2019-02-21 14:41:31.670603,2019-02-21 14:41:36.005113
2019-02-21 14:41:13.356044,2019-02-21 14:41:33.085105,2019-02-21 14:41:36.005954
2019-02-21 14:41:12.151485,2019-02-21 14:41:31.738943,2019-02-21 14:41:36.006518
2019-02-21 14:41:12.229064,2019-02-21 14:41:31.897976,2019-02-21 14:41:36.007050
2019-02-21 14:41:12.220057,2019-02-21 14:41:31.888669,2019-02-21 14:41:36.007758
2019-02-21 14:41:12.088384,2019-02-21 14:41:31.682185,2019-02-21 14:41:36.008454
2019-02-21 14:41:13.334197,2019-02-21 14:41:33.074779,2019-02-21 14:41:36.009060
2019-02-21 14:41:12.230576,2019-02-21 14:41:31.899573,2019-02-21 14:41:36.182271
2019-02-21 14:41:13.331381,2019-02-21 14:41:33.067717,2019-02-21 14:41:36.184664
2019-02-21 14:41:12.184986,2019-02-21 14:41:31.794827,2019-02-21 14:41:36.186222
2019-02-21 14:41:12.066730,2019-02-21 14:41:31.661271,2019-02-21 14:41:36.187497
2019-02-21 14:41:12.244919,2019-02-21 14:41:31.910395,2019-02-21 14:41:36.188664
2019-02-21 14:41:13.315951,2019-02-21 14:41:32.968541,2019-02-21 14:41:36.190232
2019-02-21 14:41:13.314166,2019-02-21 14:41:32.964492,2019-02-21 14:41:36.191531
2019-02-21 14:41:12.185937,2019-02-21 14:41:31.795511,2019-02-21 14:41:36.192707
2019-02-21 14:41:13.346162,2019-02-21 14:41:33.076696,2019-02-21 14:41:36.194466
2019-02-21 14:41:13.306171,2019-02-21 14:41:32.956334,2019-02-21 14:41:36.196160
2019-02-21 14:41:13.349807,2019-02-21 14:41:33.084387,2019-02-21 14:41:36.197927
2019-02-21 14:41:12.220757,2019-02-21 14:41:31.889581,2019-02-21 14:41:36.200135
2019-02-21 14:41:13.302604,2019-02-21 14:41:32.938532,2019-02-21 14:41:36.201559
2019-02-21 14:41:12.183050,2019-02-21 14:41:31.782841,2019-02-21 14:41:36.203450
2019-02-21 14:41:12.114728,2019-02-21 14:41:31.717795,2019-02-21 14:41:36.205286
2019-02-21 14:41:12.066122,2019-02-21 14:41:31.660692,2019-02-21 14:41:36.207848
2019-02-21 14:41:13.357210,2019-02-21 14:41:33.086606,2019-02-21 14:41:36.210504
2019-02-21 14:41:13.302231,2019-02-21 14:41:32.937617,2019-02-21 14:41:36.215960
2019-02-21 14:41:12.242929,2019-02-21 14:41:31.908490,2019-02-21 14:41:36.217840
2019-02-21 14:41:12.218306,2019-02-21 14:41:31.887169,2019-02-21 14:41:36.222813
2019-02-21 14:41:13.365659,2019-02-21 14:41:33.098606,2019-02-21 14:41:36.224555
2019-02-21 14:41:13.358999,2019-02-21 14:41:33.087895,2019-02-21 14:41:36.226255
2019-02-21 14:41:12.086050,2019-02-21 14:41:31.680163,2019-02-21 14:41:36.228057
2019-02-21 14:41:12.218638,2019-02-21 14:41:31.887421,2019-02-21 14:41:36.230018
2019-02-21 14:41:13.304656,2019-02-21 14:41:32.945568,2019-02-21 14:41:36.231727
2019-02-21 14:41:12.222838,2019-02-21 14:41:31.897118,2019-02-21 14:41:36.233717
2019-02-21 14:41:12.244330,2019-02-21 14:41:31.909853,2019-02-21 14:41:36.236862
2019-02-21 14:41:12.232433,2019-02-21 14:41:31.907701,2019-02-21 14:41:36.238859
2019-02-21 14:41:12.230992,2019-02-21 14:41:31.900031,2019-02-21 14:41:36.241045
2019-02-21 14:41:12.292644,2019-02-21 14:41:31.932190,2019-02-21 14:41:36.281380
