timestamp1,Hora,timestamp2,Hpaso21,Hpaso22
2019-02-01 19:45:50.041245,2019-02-01 19:46:10.846,2019-02-01 19:46:10.558262,,
2019-02-01 19:45:50.041904,2019-02-01 19:46:10.846,2019-02-01 19:46:10.558787,,
2019-02-01 19:45:50.051573,2019-02-01 19:46:10.951,2019-02-01 19:46:10.566553,,
2019-02-01 19:45:50.050047,2019-02-01 19:46:11.51,2019-02-01 19:46:10.564234,,
2019-02-01 19:45:50.040011,2019-02-01 19:46:11.52,2019-02-01 19:46:10.556666,,
2019-02-01 19:45:50.029558,2019-02-01 19:46:11.152,2019-02-01 19:46:10.554279,,
2019-02-01 19:45:50.050382,2019-02-01 19:46:11.157,2019-02-01 19:46:10.564583,,
2019-02-01 19:45:50.051764,2019-02-01 19:46:11.157,2019-02-01 19:46:10.566833,,
2019-02-01 19:45:50.069015,2019-02-01 19:46:11.153,2019-02-01 19:46:10.591912,,
2019-02-01 19:45:50.052020,2019-02-01 19:46:11.153,2019-02-01 19:46:10.567109,,
2019-02-01 19:45:50.039402,2019-02-01 19:46:11.152,2019-02-01 19:46:10.556035,,
2019-02-01 19:45:50.051061,2019-02-01 19:46:11.152,2019-02-01 19:46:10.565962,,
2019-02-01 19:45:50.070283,2019-02-01 19:46:11.254,2019-02-01 19:46:10.593003,,
2019-02-01 19:45:50.195270,2019-02-01 19:46:11.254,2019-02-01 19:46:10.702870,,
2019-02-01 19:45:50.049878,2019-02-01 19:46:11.355,2019-02-01 19:46:10.564057,,
2019-02-01 19:45:50.040598,2019-02-01 19:46:11.363,2019-02-01 19:46:10.557389,,
2019-02-01 19:45:50.048971,2019-02-01 19:46:11.360,2019-02-01 19:46:10.563150,,
2019-02-01 19:45:50.043575,2019-02-01 19:46:11.357,2019-02-01 19:46:10.562778,,
2019-02-01 19:45:50.050552,2019-02-01 19:46:11.356,2019-02-01 19:46:10.564770,,
2019-02-01 19:45:50.053174,2019-02-01 19:46:11.355,2019-02-01 19:46:10.589855,,
2019-02-01 19:45:50.068787,2019-02-01 19:46:11.458,2019-02-01 19:46:10.591707,,
2019-02-01 19:45:50.041696,2019-02-01 19:46:11.464,2019-02-01 19:46:10.558610,,
2019-02-01 19:45:50.049150,2019-02-01 19:46:11.459,2019-02-01 19:46:10.563322,,
2019-02-01 19:45:50.041503,2019-02-01 19:46:11.458,2019-02-01 19:46:10.558437,,
2019-02-01 19:45:50.051228,2019-02-01 19:46:10.756,2019-02-01 19:46:10.566150,,
2019-02-01 19:45:50.050718,2019-02-01 19:46:11.567,2019-02-01 19:46:10.564982,,
2019-02-01 19:45:50.042918,2019-02-01 19:46:11.565,2019-02-01 19:46:10.559642,,
2019-02-01 19:45:50.042110,2019-02-01 19:46:11.563,2019-02-01 19:46:10.558953,,
2019-02-01 19:45:50.183935,2019-02-01 19:46:11.563,2019-02-01 19:46:10.662566,,
2019-02-01 19:45:50.042533,2019-02-01 19:46:11.560,2019-02-01 19:46:10.559297,,
2019-02-01 19:45:50.191653,2019-02-01 19:46:11.559,2019-02-01 19:46:10.663726,,
2019-02-01 19:45:50.052501,2019-02-01 19:46:11.559,2019-02-01 19:46:10.589065,,
2019-02-01 19:45:50.049713,2019-02-01 19:46:11.559,2019-02-01 19:46:10.563875,,
2019-02-01 19:45:50.033778,2019-02-01 19:46:12.864,2019-02-01 19:46:10.555449,,
2019-02-01 19:45:50.043108,2019-02-01 19:46:12.854,2019-02-01 19:46:10.562400,,
2019-02-01 19:45:50.093556,2019-02-01 19:46:12.843,2019-02-01 19:46:10.631202,,
2019-02-01 19:45:50.040409,2019-02-01 19:46:12.832,2019-02-01 19:46:10.557118,,
2019-02-01 19:45:50.147696,2019-02-01 19:46:12.823,2019-02-01 19:46:10.659969,,
2019-02-01 19:45:50.071211,2019-02-01 19:46:12.813,2019-02-01 19:46:10.629837,,
2019-02-01 19:45:50.068115,2019-02-01 19:46:12.370,2019-02-01 19:46:10.591115,,
2019-02-01 19:45:50.119100,2019-02-01 19:46:12.269,2019-02-01 19:46:10.646914,,
2019-02-01 19:45:50.096007,2019-02-01 19:46:12.269,2019-02-01 19:46:10.633176,,
2019-02-01 19:45:50.379278,2019-02-01 19:46:12.269,2019-02-01 19:46:10.734181,,
2019-02-01 19:45:50.182654,2019-02-01 19:46:12.168,2019-02-01 19:46:10.662087,,
2019-02-01 19:45:50.523412,2019-02-01 19:46:12.168,2019-02-01 19:46:10.863469,,
2019-02-01 19:45:50.119784,2019-02-01 19:46:12.168,2019-02-01 19:46:10.647163,,
2019-02-01 19:45:50.122671,2019-02-01 19:46:12.168,2019-02-01 19:46:10.648147,,
2019-02-01 19:45:50.533097,2019-02-01 19:46:12.67,2019-02-01 19:46:10.947900,,
2019-02-01 19:45:50.148676,2019-02-01 19:46:12.67,2019-02-01 19:46:10.660615,,
2019-02-01 19:45:50.040794,2019-02-01 19:46:12.67,2019-02-01 19:46:10.557906,,
2019-02-01 19:45:50.093041,2019-02-01 19:46:12.67,2019-02-01 19:46:10.630955,,
2019-02-01 19:45:50.306332,2019-02-01 19:46:12.67,2019-02-01 19:46:10.722644,,
2019-02-01 19:45:50.095716,2019-02-01 19:46:11.970,2019-02-01 19:46:10.632985,,
2019-02-01 19:45:50.049541,2019-02-01 19:46:11.969,2019-02-01 19:46:10.563700,,
2019-02-01 19:45:50.196375,2019-02-01 19:46:11.966,2019-02-01 19:46:10.703681,,
2019-02-01 19:45:50.069613,2019-02-01 19:46:11.966,2019-02-01 19:46:10.592342,,
2019-02-01 19:45:50.378802,2019-02-01 19:46:11.966,2019-02-01 19:46:10.733477,,
2019-02-01 19:45:50.052953,2019-02-01 19:46:11.966,2019-02-01 19:46:10.589595,,
2019-02-01 19:45:50.069829,2019-02-01 19:46:11.966,2019-02-01 19:46:10.592573,,
2019-02-01 19:45:50.040991,2019-02-01 19:46:11.966,2019-02-01 19:46:10.558091,,
2019-02-01 19:45:50.096512,2019-02-01 19:46:11.868,2019-02-01 19:46:10.633716,,
2019-02-01 19:45:50.519737,2019-02-01 19:46:11.868,2019-02-01 19:46:10.736477,,
2019-02-01 19:45:50.067407,2019-02-01 19:46:11.868,2019-02-01 19:46:10.590342,,
2019-02-01 19:45:50.145969,2019-02-01 19:46:11.867,2019-02-01 19:46:10.648846,,
2019-02-01 19:45:50.050213,2019-02-01 19:46:11.812,2019-02-01 19:46:10.564415,,
2019-02-01 19:45:50.035391,2019-02-01 19:46:11.767,2019-02-01 19:46:10.555829,,
2019-02-01 19:45:50.040205,2019-02-01 19:46:11.764,2019-02-01 19:46:10.556887,,
2019-02-01 19:45:50.034578,2019-02-01 19:46:11.764,2019-02-01 19:46:10.555640,,
2019-02-01 19:45:50.070770,2019-02-01 19:46:11.764,2019-02-01 19:46:10.593598,,
2019-02-01 19:45:50.193396,2019-02-01 19:46:11.764,2019-02-01 19:46:10.700932,,
2019-02-01 19:45:50.039616,2019-02-01 19:46:11.661,2019-02-01 19:46:10.556231,,
2019-02-01 19:45:50.109103,2019-02-01 19:46:11.661,2019-02-01 19:46:10.645533,,
2019-02-01 19:45:50.049365,2019-02-01 19:46:11.661,2019-02-01 19:46:10.563529,,
2019-02-01 19:45:50.121889,2019-02-01 19:46:11.661,2019-02-01 19:46:10.647924,,
2019-02-01 19:45:50.071698,2019-02-01 19:46:13.233,2019-02-01 19:46:10.630280,,
2019-02-01 19:45:50.071962,2019-02-01 19:46:13.226,2019-02-01 19:46:10.630502,,
2019-02-01 19:45:50.031960,2019-02-01 19:46:13.218,2019-02-01 19:46:10.555017,,
2019-02-01 19:45:50.068542,2019-02-01 19:46:13.211,2019-02-01 19:46:10.591501,,
2019-02-01 19:45:50.302913,2019-02-01 19:46:13.197,2019-02-01 19:46:10.704275,,
2019-02-01 19:45:50.149731,2019-02-01 19:46:13.191,2019-02-01 19:46:10.661083,,
2019-02-01 19:45:50.181996,2019-02-01 19:46:13.184,2019-02-01 19:46:10.661789,,
2019-02-01 19:45:50.148200,2019-02-01 19:46:13.171,2019-02-01 19:46:10.660343,,
2019-02-01 19:45:50.185215,2019-02-01 19:46:13.158,2019-02-01 19:46:10.663066,,
2019-02-01 19:45:50.304264,2019-02-01 19:46:13.152,2019-02-01 19:46:10.705129,,
2019-02-01 19:45:50.193983,2019-02-01 19:46:13.134,2019-02-01 19:46:10.701861,,
2019-02-01 19:45:50.380264,2019-02-01 19:46:13.112,2019-02-01 19:46:10.735142,,
2019-02-01 19:45:50.067600,2019-02-01 19:46:13.92,2019-02-01 19:46:10.590604,,
2019-02-01 19:45:50.097225,2019-02-01 19:46:13.71,2019-02-01 19:46:10.644824,,
2019-02-01 19:45:50.121069,2019-02-01 19:46:13.51,2019-02-01 19:46:10.647665,,
2019-02-01 19:45:50.068324,2019-02-01 19:46:13.41,2019-02-01 19:46:10.591317,,
2019-02-01 19:45:50.530037,2019-02-01 19:46:13.30,2019-02-01 19:46:10.864377,,
2019-02-01 19:45:50.377955,2019-02-01 19:46:13.20,2019-02-01 19:46:10.725271,,
2019-02-01 19:45:50.111284,2019-02-01 19:46:13.11,2019-02-01 19:46:10.646206,,
2019-02-01 19:45:50.530493,2019-02-01 19:46:12.999,2019-02-01 19:46:10.865128,,
2019-02-01 19:45:50.186074,2019-02-01 19:46:12.979,2019-02-01 19:46:10.663419,,
2019-02-01 19:45:50.042328,2019-02-01 19:46:12.967,2019-02-01 19:46:10.559122,,
2019-02-01 19:45:50.195591,2019-02-01 19:46:12.958,2019-02-01 19:46:10.703169,,
2019-02-01 19:45:50.120438,2019-02-01 19:46:12.948,2019-02-01 19:46:10.647459,,
2019-02-01 19:45:50.194616,2019-02-01 19:46:12.927,2019-02-01 19:46:10.702369,,
2019-02-01 19:45:50.032791,2019-02-01 19:46:12.916,2019-02-01 19:46:10.555251,,
2019-02-01 19:45:50.096942,2019-02-01 19:46:12.906,2019-02-01 19:46:10.634194,,
