horaejecucion,e_core,e_ram,cpu,mem_used
15:53:47.346352693,0.39,0.31,6,2426064
15:53:48.662518131,0.36,0.32,3,2423364
15:53:49.993662083,0.41,0.32,3,2419004
15:53:51.326958237,0.49,0.32,1,2414832
15:53:52.642241524,0.39,0.31,0,2410600
15:53:53.966948882,0.32,0.31,1,2408000
15:53:55.286843585,0.27,0.32,1,2406520
15:53:56.625705108,0.12,0.30,0,2402656
15:53:57.970086877,0.15,0.30,0,2402176
15:53:59.310832290,0.07,0.29,0,2401464
15:54:00.653185389,0.28,0.30,0,2400472
15:54:01.976741126,0.22,0.30,0,2398636
15:54:03.322049828,0.09,0.30,1,2397340
15:54:04.676964965,0.12,0.30,0,2398612
15:54:06.022573706,0.22,0.32,2,2396328
15:54:07.368128830,0.16,0.33,4,2394472
15:54:08.715397530,0.15,0.32,3,2393628
15:54:10.050162849,0.16,0.33,3,2391968
15:54:11.399607206,0.16,0.30,3,2391304
15:54:12.742073911,0.14,0.33,1,2390564
15:54:14.095447683,0.07,0.30,1,2389848
15:54:15.444077301,0.09,0.30,0,2388964
15:54:16.791806563,0.09,0.29,0,2386200
15:54:18.135442963,0.10,0.30,0,2385984
15:54:19.491147083,0.09,0.29,1,2385604
15:54:20.839714575,0.11,0.29,0,2385184
15:54:22.186935505,0.10,0.30,1,2384812
15:54:23.541144982,0.09,0.29,0,2384404
15:54:24.883962143,0.12,0.29,1,2384084
15:54:26.225291157,0.26,0.35,2,2380620
15:54:27.581281674,0.18,0.31,1,2379380
15:54:28.929384621,0.19,0.33,2,2378108
15:54:30.279994039,0.14,0.32,3,2375768
15:54:31.627705888,0.19,0.30,1,2374172
15:54:32.972251285,0.15,0.29,0,2375124
15:54:34.327534746,0.13,0.31,0,2375180
15:54:35.670036175,0.16,0.29,1,2371868
15:54:37.029090079,0.08,0.30,0,2371480
15:54:38.382209907,0.06,0.29,1,2371456
15:54:39.729538342,0.17,0.29,0,2370828
15:54:41.074502435,0.11,0.29,0,2370828
15:54:42.420355895,0.07,0.29,0,2370812
15:54:43.774536948,0.08,0.29,0,2370828
15:54:45.108405866,0.36,0.32,3,2366160
15:54:46.434978952,0.54,0.32,1,2359032
15:54:47.767825469,0.58,0.32,1,2354732
15:54:49.091981146,0.41,0.32,2,2350516
15:54:50.417346503,0.36,0.32,2,2346448
15:54:51.736141186,0.33,0.32,1,2343452
15:54:53.063006952,0.31,0.32,0,2340040
15:54:54.395893977,0.27,0.30,0,2339500
15:54:55.730902964,0.13,0.29,3,2336588
15:54:57.053611630,0.09,0.29,0,2335712
15:54:58.395704203,0.16,0.29,0,2333968
15:54:59.734005605,0.24,0.29,0,2332604
15:55:01.079795376,0.08,0.30,0,2333944
15:55:02.431398952,0.08,0.29,1,2333648
15:55:03.791742323,0.10,0.29,0,2333472
15:55:05.146085274,0.20,0.32,1,2332464
15:55:06.494097208,0.29,0.31,1,2328116
15:55:07.850063573,0.17,0.32,2,2326688
15:55:09.206173062,0.19,0.31,1,2325076
15:55:10.558123521,0.18,0.32,1,2323164
15:55:11.907594277,0.13,0.31,0,2323676
15:55:13.249679924,0.22,0.30,0,2323368
15:55:14.609732544,0.07,0.29,1,2322532
15:55:15.962231310,0.12,0.29,1,2320604
15:55:17.307430564,0.09,0.30,0,2320400
15:55:18.659795501,0.10,0.31,1,2319608
15:55:20.015033357,0.08,0.29,0,2319324
15:55:21.363428970,0.15,0.29,0,2319240
15:55:22.712128626,0.10,0.29,0,2318308
15:55:24.061424269,0.14,0.33,2,2316940
15:55:25.398161124,0.18,0.33,3,2315460
15:55:26.755644573,0.15,0.32,2,2311172
15:55:28.106576786,0.21,0.32,0,2310348
15:55:29.451804470,0.20,0.33,2,2307772
15:55:30.801389427,0.09,0.30,1,2306684
15:55:32.158761413,0.22,0.32,1,2304768
15:55:33.507774690,0.13,0.29,0,2304504
15:55:34.855326458,0.09,0.29,0,2306076
15:55:36.203392060,0.13,0.30,2,2302668
15:55:37.548502110,0.15,0.31,1,2301404
15:55:38.899640401,0.11,0.29,0,2301124
15:55:40.245399276,0.09,0.30,0,2300496
15:55:41.587466921,0.17,0.29,0,2301620
15:55:42.938360281,0.08,0.29,0,2301716
15:55:44.285894080,0.56,0.32,0,2298592
15:55:45.612849783,0.50,0.31,1,2291880
