2019-02-15 02:54:00.956185,2019-02-15 02:54:23.088107,2019-02-15 02:54:25.386187
2019-02-15 02:54:00.980187,2019-02-15 02:54:23.104183,2019-02-15 02:54:27.143342
2019-02-15 02:54:01.016228,2019-02-15 02:54:23.141581,2019-02-15 02:54:27.151807
2019-02-15 02:54:00.956708,2019-02-15 02:54:23.088635,2019-02-15 02:54:27.215633
2019-02-15 02:54:00.946330,2019-02-15 02:54:23.079103,2019-02-15 02:54:27.235800
2019-02-15 02:54:00.955620,2019-02-15 02:54:23.087569,2019-02-15 02:54:27.249588
2019-02-15 02:54:00.980720,2019-02-15 02:54:23.104667,2019-02-15 02:54:27.263753
2019-02-15 02:54:00.945783,2019-02-15 02:54:23.078630,2019-02-15 02:54:27.265172
2019-02-15 02:54:00.945341,2019-02-15 02:54:23.078203,2019-02-15 02:54:27.269554
2019-02-15 02:54:01.230791,2019-02-15 02:54:23.156074,2019-02-15 02:54:27.275266
2019-02-15 02:54:00.947414,2019-02-15 02:54:23.080061,2019-02-15 02:54:27.281454
2019-02-15 02:54:00.949454,2019-02-15 02:54:23.081951,2019-02-15 02:54:27.284011
2019-02-15 02:54:01.226910,2019-02-15 02:54:23.142621,2019-02-15 02:54:27.288522
2019-02-15 02:54:01.231011,2019-02-15 02:54:23.166337,2019-02-15 02:54:27.291960
2019-02-15 02:54:00.990630,2019-02-15 02:54:23.132648,2019-02-15 02:54:27.293883
2019-02-15 02:54:01.011895,2019-02-15 02:54:23.133136,2019-02-15 02:54:27.295364
2019-02-15 02:54:00.947895,2019-02-15 02:54:23.080531,2019-02-15 02:54:27.300311
2019-02-15 02:54:01.243146,2019-02-15 02:54:23.201817,2019-02-15 02:54:27.306822
2019-02-15 02:54:01.242187,2019-02-15 02:54:23.199140,2019-02-15 02:54:27.308822
2019-02-15 02:54:01.014221,2019-02-15 02:54:23.140334,2019-02-15 02:54:27.309941
2019-02-15 02:54:00.989501,2019-02-15 02:54:23.131627,2019-02-15 02:54:27.310962
2019-02-15 02:54:01.241229,2019-02-15 02:54:23.168779,2019-02-15 02:54:27.369395
2019-02-15 02:54:01.392303,2019-02-15 02:54:23.287947,2019-02-15 02:54:27.425549
2019-02-15 02:54:01.406299,2019-02-15 02:54:23.312993,2019-02-15 02:54:27.426993
2019-02-15 02:54:00.954870,2019-02-15 02:54:23.086744,2019-02-15 02:54:27.472564
2019-02-15 02:54:01.410132,2019-02-15 02:54:23.348816,2019-02-15 02:54:27.474257
2019-02-15 02:54:01.245158,2019-02-15 02:54:23.240577,2019-02-15 02:54:27.477755
2019-02-15 02:54:01.245624,2019-02-15 02:54:23.242401,2019-02-15 02:54:27.482400
2019-02-15 02:54:01.409382,2019-02-15 02:54:23.345856,2019-02-15 02:54:27.503567
2019-02-15 02:54:01.241697,2019-02-15 02:54:23.170399,2019-02-15 02:54:27.571016
2019-02-15 02:54:01.392787,2019-02-15 02:54:23.288716,2019-02-15 02:54:27.571902
2019-02-15 02:54:01.227970,2019-02-15 02:54:23.144801,2019-02-15 02:54:27.572765
2019-02-15 02:54:00.957351,2019-02-15 02:54:23.089134,2019-02-15 02:54:27.574104
