2019-02-23 07:43:10.900704,2019-02-23 07:43:29.249759,2019-02-23 07:43:32.913146
2019-02-23 07:43:10.890676,2019-02-23 07:43:29.239637,2019-02-23 07:43:33.040969
2019-02-23 07:43:10.900052,2019-02-23 07:43:29.249254,2019-02-23 07:43:33.043362
2019-02-23 07:43:10.889155,2019-02-23 07:43:29.238239,2019-02-23 07:43:33.045874
2019-02-23 07:43:10.986153,2019-02-23 07:43:29.334456,2019-02-23 07:43:33.047160
2019-02-23 07:43:10.892104,2019-02-23 07:43:29.241095,2019-02-23 07:43:33.150264
2019-02-23 07:43:10.908811,2019-02-23 07:43:29.261584,2019-02-23 07:43:33.250279
2019-02-23 07:43:10.889617,2019-02-23 07:43:29.238701,2019-02-23 07:43:33.251378
2019-02-23 07:43:10.887567,2019-02-23 07:43:29.236677,2019-02-23 07:43:33.252721
2019-02-23 07:43:11.036560,2019-02-23 07:43:29.494177,2019-02-23 07:43:33.254123
2019-02-23 07:43:10.890094,2019-02-23 07:43:29.239170,2019-02-23 07:43:33.255293
2019-02-23 07:43:11.018966,2019-02-23 07:43:29.422440,2019-02-23 07:43:33.256412
2019-02-23 07:43:10.888696,2019-02-23 07:43:29.237780,2019-02-23 07:43:33.258026
2019-02-23 07:43:10.898149,2019-02-23 07:43:29.247318,2019-02-23 07:43:33.273070
2019-02-23 07:43:10.934463,2019-02-23 07:43:29.292537,2019-02-23 07:43:33.275435
2019-02-23 07:43:11.029428,2019-02-23 07:43:29.454087,2019-02-23 07:43:33.276616
2019-02-23 07:43:10.951582,2019-02-23 07:43:29.307448,2019-02-23 07:43:33.277660
2019-02-23 07:43:11.014991,2019-02-23 07:43:29.419794,2019-02-23 07:43:33.278670
2019-02-23 07:43:10.986408,2019-02-23 07:43:29.334985,2019-02-23 07:43:33.360990
2019-02-23 07:43:11.048869,2019-02-23 07:43:29.646220,2019-02-23 07:43:33.362475
2019-02-23 07:43:12.075829,2019-02-23 07:43:29.817374,2019-02-23 07:43:33.363678
2019-02-23 07:43:11.019229,2019-02-23 07:43:29.422987,2019-02-23 07:43:33.365211
2019-02-23 07:43:10.891156,2019-02-23 07:43:29.240094,2019-02-23 07:43:33.366625
2019-02-23 07:43:10.947891,2019-02-23 07:43:29.293645,2019-02-23 07:43:33.368387
2019-02-23 07:43:10.899099,2019-02-23 07:43:29.248290,2019-02-23 07:43:33.369733
2019-02-23 07:43:12.076251,2019-02-23 07:43:29.844841,2019-02-23 07:43:33.397623
2019-02-23 07:43:12.119168,2019-02-23 07:43:30.938377,2019-02-23 07:43:33.663722
2019-02-23 07:43:10.905807,2019-02-23 07:43:29.258510,2019-02-23 07:43:33.692248
2019-02-23 07:43:11.029752,2019-02-23 07:43:29.476204,2019-02-23 07:43:33.728210
2019-02-23 07:43:11.026011,2019-02-23 07:43:29.451252,2019-02-23 07:43:33.729386
2019-02-23 07:43:12.185655,2019-02-23 07:43:31.043808,2019-02-23 07:43:33.809393
2019-02-23 07:43:10.950797,2019-02-23 07:43:29.306900,2019-02-23 07:43:33.810987
2019-02-23 07:43:12.076045,2019-02-23 07:43:29.843879,2019-02-23 07:43:33.813692
2019-02-23 07:43:12.118717,2019-02-23 07:43:30.936863,2019-02-23 07:43:33.832441
2019-02-23 07:43:12.094512,2019-02-23 07:43:30.882437,2019-02-23 07:43:33.908530
2019-02-23 07:43:11.047273,2019-02-23 07:43:29.622947,2019-02-23 07:43:33.910247
2019-02-23 07:43:10.921880,2019-02-23 07:43:29.263098,2019-02-23 07:43:33.911934
2019-02-23 07:43:12.078565,2019-02-23 07:43:30.851502,2019-02-23 07:43:33.941216
